Demo,,,目標設定,目標設定,目標設定,實際作為,實際作為,供應鏈管理,,2030年溫室氣體絕對減量目標,,,,2030年再生能源使用率目標,,,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略
統一編號,公司,產業類別,2030年溫室氣體絕對減量目標,2030年再生能源使用率目標,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略,>> Data,是否設定中期溫室氣體絕對減量目標,中期減量目標年設定,中期溫室氣體絕對減量目標值（百分比）,中期減量基準年設定,再生能源目標年設定,再生能源目標值（百分比）,是否取得RE100認證？,年節電率目標,再生能源使用佔總發電量（百分比）,22-24 能效進步率,範疇三（值）,是否設定範疇三減量目標,範疇三減量目標實際作為
89004161,華泰電子股份有限公司,電子業,,,,,,,,TRUE,203000%,23.0%,"2,021",2025,2.7%,FALSE,1.0%,1%,-3.1%,"61,937",TRUE,積極建置範疇三碳排資訊平台、擴大供應鏈溫室氣體管理、推動策略供應商減碳
89939090,晉瑜企業股份有限公司,水泥業
22099174,元隆電子股份有限公司,半導體業
04312878,和益化學工業股份有限公司,石化業,,,,,,,,TRUE,203000%,1.3%,2018-2022,NA,NA,FALSE,NA,0%,0.5%,"86,221",FALSE,減少由採購的貨物及處置固體與液體廢棄物產生之排放、減少處置廢棄物產生之排放、落實供應商在地採購策略
35082604,中興紡織廠股份有限公司,石化業
38033305,台硝股份有限公司,石化業
16138282,合晶科技股份有限公司,半導體業,,,,,,,,TRUE,203500%,14.0%,"2,023",2030,5.2%,FALSE,1.5%,1%,13.6%,"2,439",FALSE,發放上游供應鏈溫室氣體排放問卷、參與電動貨車共享運輸
73686632,得力實業股份有限公司,紡織業,,,,,,,,TRUE,203000%,50.0%,2018-2022,NA,NA,FALSE,NA,0%,-11.2%,NA,FALSE,NA
89002500,台灣恩智浦半導體股份有限公司,半導體業,,,,,,,,TRUE,203000%,55.0%,"2,021",2027,50.0%,FALSE,NA,44%,,"9,756,145",TRUE,供應商參與、提升產品效能以減少使用階段能耗、識別較小影響類別的減量機會
54389725,漢磊科技股份有限公司,半導體業,,,,,,,,FALSE,202600%,NA,"2,021",NA,NA,FALSE,1.0%,1%,17.6%,NA,FALSE,要求關鍵供應商遵循從業道德規範、推動在地採購比例提升、對關鍵供應商進行溫室氣體排放調查
03794905,台灣糖業股份有限公司,食品業,,,,,,,,FALSE,NA,NA,NA,NA,NA,FALSE,1.0%,9%,-2.4%,NA,FALSE,NA
53667030,台塑科騰化學有限公司,石化業
27366467,新科光電材料股份有限公司,石化業
85793919,龍慶鋼鐵企業股份有限公司,鋼鐵業
20939460,立安東化工股份有限公司,石化業
75970680,勝一化工股份有限公司,石化業,,,,,,,,TRUE,203000%,30.0%,"2,022",NA,NA,FALSE,NA,18%,,"448,964",FALSE,NA
97173920,李長榮科技股份有限公司,銅製造業,,,,,,,,TRUE,203000%,30.0%,"2,021",2030,10.0%,FALSE,1.5%,1%,9.6%,NA,FALSE,使用100%回收銅線作為原料、推動回收銅與環境友善原料應用、廢棄物委託再利用公司處理
43816068,敬鵬工業股份有限公司,電子業,,,,,,,,TRUE,203000%,50.0%,"2,021",2030,30.0%,FALSE,5.0%,13%,-12.5%,"76,609",TRUE,要求供應商提供碳排放數據、推動綠色供應鏈、降低運輸碳足跡
22554807,先豐通訊股份有限公司,電子業
22101116,華東科技股份有限公司,半導體業,,,,,,,,FALSE,NA,NA,"2,021",2030,30.0%,FALSE,3.0%,1%,-0.3%,"18,405",FALSE,增加廢棄物回收率、推動供應商推行ESG、完成供應鏈碳足跡調查
04380087,合眾紙業股份有限公司,造紙業
05258865,聯華氣體工業股份有限公司,石化業
19004316,華新科技股份有限公司,電子業,,,,,,,,TRUE,203000%,15.0%,"2,021",2050,100.0%,FALSE,1.0%,0%,5.4%,"33,844",FALSE,持續向上下游供應商討論蒐集數據、規劃供應商進行溫室氣體與產品碳足跡盤查、找出減碳熱點並提出減碳方案
88121697,東盟開發實業股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,15.0%,"2,018",NA,NA,FALSE,1.0%,2%,,NA,FALSE,運輸低碳化、低碳原料使用
12205020,中環股份有限公司,電子業,,,,,,,,FALSE,NA,NA,"2,024",NA,NA,FALSE,1.0%,0%,,81,FALSE,推動綠色採購、開發環保包裝、推動廢棄物資源回收
11384405,東南實業股份有限公司,石化業,,,,,,,,TRUE,203000%,20.0%,"2,022",NA,NA,FALSE,NA,0%,14.7%,NA,FALSE,NA
11768704,義美食品股份有限公司,食品業
28112646,新唐科技股份有限公司,半導體業,,,,,,,,TRUE,203000%,50.0%,"2,021",NA,NA,FALSE,1.0%,1%,12.9%,"144,926",TRUE,供應商低碳轉型、低碳產品設計、提升產品效能協助客戶減碳
04748660,聯成化學科技股份有限公司,石化業,,,,,,,,FALSE,,,,NA,NA,FALSE,NA,0%,11.6%,"196,408",FALSE,NA
97168665,台日古河銅箔股份有限公司,銅製造業
23531178,合興石化工業股份有限公司,石化業
22663571,福隆玻璃纖維股份有限公司,非金屬製品加工業
46007218,大享容器工業股份有限公司,非金屬製品加工業
33405832,德州儀器工業股份有限公司,半導體業
38119936,台灣通用器材股份有限公司,半導體業
56121907,味丹企業股份有限公司,食品業
75688109,漢泰鋼鐵廠股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,NA,NA,NA,NA,FALSE,NA,2%,,NA,FALSE,NA
53170263,聯穎光電股份有限公司,半導體業
27790294,誠美材料科技股份有限公司,光電業,,,,,,,,TRUE,203000%,3.0%,"2,040",NA,NA,FALSE,NA,2%,0.5%,"59,658",TRUE,訂定供應商減碳目標、簽訂供應商溫室氣體減量承諾書、在地採購
89480404,中聯油脂股份有限公司,食品業
16130423,宏捷科技股份有限公司,半導體業,,,,,,,,TRUE,203000%,50.0%,"2,023",2030,20.0%,FALSE,1.0%,0%,-41.6%,"4,672",FALSE,推動砷化鎵廢水廠內自行處理、非有害有機廢液獨立收集、廢棄物資源化轉製原料
70750217,精金科技股份有限公司,光電業,,,,,,,,TRUE,203000%,30.0%,"2,017",NA,NA,FALSE,1.0%,1%,22.7%,"13,350",TRUE,提高在地採購比例、導入ISO 14064盤查、推動供應商永續管理
04226091,台燿科技股份有限公司,電子業,,,,,,,,TRUE,203000%,42.0%,"2,021",NA,NA,FALSE,NA,1%,-14.7%,"65,197",FALSE,NA
70848177,住華科技股份有限公司,電子業
28438186,藍海氣體工業股份有限公司,石化業
16446128,台塑旭彈性纖維股份有限公司,石化業
28997300,元晶太陽能科技股份有限公司,光電業,,,,,,,,FALSE,,,,NA,NA,FALSE,1.0%,0%,26.9%,NA,FALSE,推動供應商盤查碳排放、評鑑供應商環保合規性
24001900,日皓造紙工業股份有限公司,造紙業
07472834,新隆纖維染整股份有限公司,紡織業
80601119,采鈺科技股份有限公司,電子業,,,,,,,,FALSE,NA,NA,NA,2030,40.0%,TRUE,1.5%,37%,10.2%,"32,350",FALSE,與供應商合作展開行動方案、提升包裝包材回收再利用率、員工通勤排放納入盤查
84980915,巧新科技工業股份有限公司,鋁製造業,,,,,,,,FALSE,NA,NA,"2,022",NA,NA,FALSE,1.5%,1%,-9.2%,"295,424",TRUE,提高再生鋁使用比例、推動廢塑膠空桶回收再利用、要求供應商執行溫室氣體盤查
28730458,餘慶堂興業股份有限公司,水泥業
51158518,盧森堡商達爾國際股份有限公司,半導體業,,,,,,,,FALSE,NA,NA,"2,023",NA,NA,FALSE,NA,20%,,NA,FALSE,NA
44528635,六和機械股份有限公司,汽機車業
23218022,矽格股份有限公司,半導體業,,,,,,,,TRUE,203000%,25.0%,"2,021",2030,30.0%,TRUE,1.5%,3%,1.3%,"19,612",FALSE,產品碳足跡盤查、供應鏈ESG管理、廢棄物減量
45018531,名佳利金屬工業股份有限公司,銅製造業
27763753,聯合再生能源股份有限公司,光電業,,,,,,,,TRUE,203000%,24.0%,"2,022",NA,NA,FALSE,1.0%,0%,30.1%,"8,858",FALSE,NA
25021158,晶碩光學股份有限公司,眼鏡製造業,,,,,,,,FALSE,NA,NA,NA,NA,NA,FALSE,1.0%,0%,,"19,792",TRUE,推動水回收系統、研發新型低耗能鏡片製程、提高廢棄物回收再利用率
03244705,萬洲化學股份有限公司,石化業
11520909,南港輪胎股份有限公司,石化業,,,,,,,,FALSE,NA,NA,NA,NA,NA,FALSE,1.0%,10%,-41.7%,NA,TRUE,推動供應鏈碳盤查、要求供應商進行減量行動、開發低碳替代材料
03543210,台榮產業股份有限公司,碾穀、磨粉及澱粉製品製造業,,,,,,,,TRUE,203000%,NA,"2,024",2030,10.0%,FALSE,NA,0%,,NA,FALSE,NA
12488060,國瑞汽車股份有限公司,汽機車業
11893409,台達化學工業股份有限公司,石化業,,,,,,,,TRUE,203000%,27.0%,"2,017",NA,NA,FALSE,1.0%,0%,3.3%,"82,509",TRUE,優先採用低碳運輸、加強供應鏈碳管理、產品循環回收再利用
23503047,上銀科技股份有限公司,金屬加工用機械設備製造業,,,,,,,,TRUE,203000%,42.0%,"2,021",2030,NA,FALSE,2.0%,2%,4.4%,"272,987",TRUE,低碳產品研發、供應鏈產品碳足跡訓練輔導、綠色採購
36514783,台灣卜蜂企業股份有限公司,食品業,,,,,,,,FALSE,NA,,,NA,NA,FALSE,NA,0%,4.3%,NA,FALSE,NA
24410807,友達晶材股份有限公司,光電業
28230046,達輝光電股份有限公司,光電業
24004006,三陽工業股份有限公司,汽機車業,,,,,,,,TRUE,203000%,8.0%,"2,022",2029,10.0%,FALSE,1.0%,0%,-15.2%,"8,065",TRUE,研發低碳高效能產品、推動供應鏈減碳、使用環境友善原料
18770509,東隆興業股份有限公司,紡織業,,,,,,,,TRUE,203000%,20.0%,NA,NA,NA,FALSE,NA,0%,-6.2%,16,FALSE,NA
70781345,安瀚視特股份有限公司,非金屬製品加工業
34263157,三洋窯業股份有限公司,非金屬製品加工業
58176511,宏全國際股份有限公司,鋼鐵業,,,,,,,,FALSE,NA,NA,"2,022",2030,10.0%,FALSE,1.5%,0%,-3.7%,"218,515",TRUE,推動In-House駐廠連線吹瓶減少運輸碳排放、採購再生原料(rPET)
96922622,台耀化學股份有限公司,石化業,,,,,,,,FALSE,NA,NA,"2,022",NA,NA,FALSE,1.0%,1%,-3.0%,"58,952",FALSE,供應鏈管理、在地採購、綠色採購
90505585,鴻揚半導體股份有限公司,半導體業
07568009,環球水泥股份有限公司,水泥業,,,,,,,,TRUE,203000%,5.0%,"2,024",2050,100.0%,FALSE,1.0%,0%,4.3%,"13,078",FALSE,廢棄物轉為資源、綠色建材、石膏板回收
04695235,台灣國際造船股份有限公司,造船業,,,,,,,,TRUE,2025、2040、2050,10.0%,"2,011",NA,NA,FALSE,NA,3%,11.7%,NA,FALSE,NA
07014916,大同染整股份有限公司,紡織業
22663158,科德寶遠東股份有限公司,紡織業
34175598,錦美紙業股份有限公司,造紙業
33144175,怡華實業股份有限公司,紡織業,,,,,,,,TRUE,203000%,5.0%,"2,022",NA,NA,FALSE,2.0%,0%,,NA,FALSE,NA
22956507,遠東氣體工業股份有限公司,石化業
25131486,紡安股份有限公司,紡織業
12529007,環泰企業股份有限公司,食品業,,,,,,,,TRUE,203700%,20.0%,"2,027",NA,NA,FALSE,NA,0%,,NA,FALSE,NA
70776899,達邁科技股份有限公司,電子業,,,,,,,,TRUE,203000%,35.0%,"2,023",2030,2.0%,FALSE,1.0%,1%,-4.6%,NA,TRUE,建立供應鏈碳管理機制、達成供應鏈碳中和、推動在地採購
36550632,國聯矽業化學股份有限公司,石化業,,,,,,,,TRUE,203000%,25.0%,"2,021",2030,100.0%,FALSE,NA,47%,,"21,600,000",TRUE,減少採購原物料排放、使用替代原料來源、減少物流與包裝排放
12691423,台合科技股份有限公司,石化業
70552666,台星科股份有限公司,電子業,,,,,,,,TRUE,202900%,9.0%,"2,024",2028,15.0%,FALSE,1.0%,3%,-2.9%,"13,085",FALSE,NA
05007903,金車股份有限公司,食品業
80445899,連大興有限公司,紡織業
75339004,長興材料工業股份有限公司,石化業,,,,,,,,TRUE,203000%,30.0%,"2,020",2030,10.0%,FALSE,NA,6%,8.9%,"499,914",TRUE,建立綠色採購及與客戶合作開發低碳產品
54796568,東齊染整股份有限公司,紡織業
16638110,旭德科技股份有限公司,電子業
11833698,台豐印刷電路工業股份有限公司,電子業
12617727,曜智實業股份有限公司,紡織業
76026851,楠梓電子股份有限公司,電子業,,,,,,,,TRUE,203000%,NA,"2,022",NA,NA,FALSE,1.6%,0%,14.1%,NA,FALSE,NA
34258318,白馬窯業股份有限公司,非金屬製品加工業
47255947,台亞半導體股份有限公司,半導體業,,,,,,,,FALSE,,,,2025,NA,FALSE,1.0%,1%,15.8%,"8,064",TRUE,深化供應商減碳合作、在地採購降低運輸風險
70751779,欣銓科技股份有限公司,半導體業,,,,,,,,TRUE,203000%,20.0%,"2,020",2030,20.0%,TRUE,1.0%,10%,3.6%,"143,767",FALSE,與客戶溝通減少包材、運輸設備電氣化、提升原物料在地採購占比
11820053,台灣史谷脫紙業股份有限公司,造紙業
84149456,矽格聯測股份有限公司,半導體業
16635562,豐年豐和企業股份有限公司,食品業
28042430,欣建工業股份有限公司,鋼鐵業
16441469,能元科技股份有限公司,電池製造業,,,,,,,,FALSE,NA,NA,NA,2025,8.6%,FALSE,NA,8%,,"33,775",FALSE,推動供應商減碳、低碳原物料採購、閉環回收體系
54393468,美商蘋果電子股份有限公司,光電業
75992214,燁興企業股份有限公司,鋼鐵業,,,,,,,,TRUE,203500%,20.0%,"2,014",NA,NA,FALSE,1.0%,3%,4.9%,NA,FALSE,NA
43031502,台灣普利司通股份有限公司,石化業
52264848,和大工業股份有限公司,汽機車業,,,,,,,,FALSE,NA,NA,"2,016",NA,NA,FALSE,1.5%,0%,3.8%,"8,505",FALSE,NA
22822281,廣達電腦股份有限公司,電子業,,,,,,,,TRUE,203000%,42.0%,"2,022",2030,50.0%,FALSE,NA,48%,-2.5%,NA,TRUE,產品碳足跡平台建置、供應商碳管理、低碳產品設計
11912102,台灣紙業股份有限公司,石化業
97160544,漢翔航空工業股份有限公司,航空業,,,,,,,,TRUE,203000%,18.0%,"2,023",2030,NA,FALSE,5.0%,3%,-7.3%,"32,853",FALSE,供應商碳盤查問卷調查、納入碳足跡符合國際要求、與供應商共同建構綠色產品
59619900,建大工業股份有限公司,石化業,,,,,,,,TRUE,203000%,25.0%,NA,NA,NA,FALSE,1.0%,2%,-4.9%,NA,FALSE,NA
07220710,宏洲纖維工業股份有限公司,石化業,,,,,,,,TRUE,203000%,30.0%,"2,022",2026,10.0%,FALSE,1.0%,0%,11.6%,NA,FALSE,NA
23418128,泓達化工股份有限公司,石化業
86691377,建榮工業材料股份有限公司,紡織業,,,,,,,,FALSE,NA,NA,"2,022",NA,NA,FALSE,NA,0%,-26.6%,NA,FALSE,NA
88680066,晉禾企業股份有限公司,鋼鐵業
23313356,銓盟企業股份有限公司,紡織業
89397503,台鹽實業股份有限公司,食品業,,,,,,,,FALSE,NA,NA,"2,022",NA,NA,FALSE,1.0%,0%,6.1%,NA,TRUE,導入產品碳足跡盤查與碳標籤、包裝水PET瓶減重、使用再生聚酯回收材質(rPET)
34227006,金元福包裝企業股份有限公司,石化業,,,,,,,,FALSE,NA,NA,"2,024",2030,60.0%,TRUE,1.5%,8%,,"197,036",FALSE,NA
89356756,東欣實業股份有限公司,紡織業
13079654,鉅輝鋼鐵股份有限公司,鋼鐵業
25049986,台群工業股份有限公司,紡織業
07220508,東培工業股份有限公司,鋼鐵業
44883108,台灣華可貴股份有限公司,紡織業
35878589,台灣湯淺電池股份有限公司,電池製造業
22360437,碁富食品股份有限公司,食品業
70738116,紘楷股份有限公司,紡織業
84149884,昇陽國際半導體股份有限公司,半導體業,,,,,,,,TRUE,203000%,10.0%,"2,023",2040,100.0%,FALSE,1.0%,0%,4.5%,"10,491",TRUE,廠內源頭減量使用、攜手供應鏈共同設定減碳行動
83387850,三芳化學工業股份有限公司,石化業,,,,,,,,TRUE,202500%,18.0%,"2,018",2027(越南廠),100.0%,FALSE,1.0%,11%,,"108,482",TRUE,低碳產品與綠色供應鏈管理、減少長距離運輸碳排放、使用再生料
35192807,和友紡織股份有限公司,紡織業
12209807,南帝化學工業股份有限公司,石化業,,,,,,,,TRUE,203000%,10.0%,"2,021",2040,100.0%,FALSE,1.0%,2%,-10.3%,"151,591",FALSE,減少廢棄物產生
89392269,遠東先進纖維股份有限公司,石化業
86980046,嘉聯益科技股份有限公司,電子業,,,,,,,,TRUE,203000%,10.0%,"2,022",NA,NA,FALSE,NA,0%,13.9%,"21,282",FALSE,推動在地採購減少物流成本、包裝材料回收再利用、廢棄物回收再利用
88187108,春雨工廠股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,12.0%,"2,021",2030,20.0%,FALSE,NA,0%,5.2%,"260,197",FALSE,邀請供應鏈減碳、增加綠色原物料採購、使用低碳運輸工具
91004618,上評資源循環股份有限公司,造紙業
53372182,古河銅箔股份有限公司,銅製造業
22266307,年興紡織股份有限公司,紡織業,,,,,,,,TRUE,204000%,60.0%,"2,022",NA,NA,FALSE,NA,NA,-4.9%,NA,FALSE,採購當地化學品、在地採購副料、供應商在地化
57002416,大鐘印染股份有限公司,紡織業
56054251,巨大機械工業股份有限公司,自行車業,,,,,,,,TRUE,203000%,25.0%,"2,021",2030,18.5%,FALSE,NA,16%,8.7%,"517,681",TRUE,擴大環保材料應用、推動綠色供應鏈、推動電池回收服務
22099890,元太科技工業股份有限公司,光電業,,,,,,,,TRUE,203000%,80.0%,"2,021",2030,100.0%,TRUE,1.0%,58%,14.7%,"89,450",TRUE,包材回收專案、低碳物流管理、供應商減碳計畫
13035951,香榮實業股份有限公司,紡織業
84570243,翔新企業股份有限公司,紡織業
16083358,中華凸版電子股份有限公司,半導體業
23528103,敦南科技股份有限公司,半導體業
70815339,亞太優勢微系統股份有限公司,半導體業
07205416,東明纖維工業股份有限公司,紡織業
22474430,獻麒紡織工業股份有限公司,紡織業
34286449,台灣半導體股份有限公司,半導體業,,,,,,,,FALSE,NA,NA,NA,NA,NA,FALSE,1.0%,23%,0.1%,"5,014",FALSE,NA
22267777,大統新創股份有限公司,紡織業,,,,,,,,TRUE,203000%,70.0%,"2,021",NA,NA,FALSE,1.0%,0%,-23.2%,NA,FALSE,NA
16847968,艾克爾先進科技股份有限公司,半導體業
69905810,可成科技股份有限公司,鋁製造業,,,,,,,,TRUE,203000%,46.2%,"2,022",2030,60.0%,FALSE,1.5%,5%,53.6%,"180,994",TRUE,積極參與產業鏈低碳計畫、完善供應鏈上下游合作、廢棄物減量與循環再利用
30901647,辛耘企業股份有限公司,半導體業,,,,,,,,TRUE,203000%,50.0%,"2,016",2030,10.0%,FALSE,1.0%,0%,-27.2%,NA,FALSE,NA
28114454,晶成半導體股份有限公司,半導體業
07620770,新瑞倡企業股份有限公司,紡織業
22099343,台灣高技股份有限公司,電子業,,,,,,,,FALSE,NA,NA,NA,NA,NA,FALSE,NA,0%,,"32,026",FALSE,NA
55625676,,半導體業,,,,,,,,TRUE,204000%,50.0%,"2,021",NA,NA,FALSE,10.0%,0%,,"12,015",FALSE,NA
