Demo,,,目標設定,目標設定,目標設定,實際作為,實際作為,供應鏈管理,,2030年溫室氣體絕對減量目標,,,,2030年再生能源使用率目標,,,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略
統一編號,公司,產業類別,2030年溫室氣體絕對減量目標,2030年再生能源使用率目標,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略,>> Data,是否設定中期溫室氣體絕對減量目標,中期減量目標年設定,中期溫室氣體絕對減量目標值（百分比）,中期減量基準年設定,再生能源目標年設定,再生能源目標值（百分比）,是否取得RE100認證？,年節電率目標,再生能源使用佔總發電量（百分比）,22-24 能效進步率,範疇三（值）,是否設定範疇三減量目標,範疇三減量目標實際作為
11384806,長春石油化學股份有限公司,石化業,,,,,,,,TRUE,203000%,30.0%,"2,021",,,FALSE,1.5%,3%,13.8%,"5,232,000",FALSE,供應商碳排係數下降、推動綠色採購、運輸供應商管理
12800225,群創光電股份有限公司,光電業,,,,,,,,TRUE,203000%,25.0%,"2,020",2030,20.0%,FALSE,1.0%,1%,-3.1%,"2,876,000",TRUE,低碳製程轉型、供應商參與減碳、資源循環回收
84149738,友達光電股份有限公司,光電業,,,,,,,,TRUE,203000%,42.0%,"2,021",2030,30.0%,TRUE,30.0%,7%,-7.5%,"4,631,035",TRUE,原物料減碳、原燃物料減碳、產品使用能耗改善
47217677,聯華電子股份有限公司,半導體業,,,,,,,,TRUE,203000%,42.0%,"2,020",2030,50.0%,TRUE,30.0%,17%,,"1,713,507",TRUE,原物料碳足跡盤查及減量、推動低碳供應鏈專案、降低非必要的資本支出
12233428,大連化學工業股份有限公司,石化業
33085508,正隆股份有限公司,造紙業,,,,,,,,TRUE,203000%,20.0%,"2,018",NA,NA,FALSE,1.0%,0%,3.3%,"376,793",FALSE,供應商碳盤查輔導、綠色採購、低碳物流
28518076,台灣美光記憶體股份有限公司,半導體業,,,,,,,,TRUE,203000%,42.0%,"2,020",2025,100.0%,,,9%,,,,要求供應商揭露範疇三排放、將GHG排放納入採購決策、舉辦供應商研討會分享減碳專案
11384708,長春人造樹脂廠股份有限公司,石化業
80353271,台灣美光晶圓科技股份有限公司,半導體業
03084741,中國石油化學工業開發股份有限公司,石化業,,,,,,,,TRUE,203000%,50.0%,"2,005",NA,NA,FALSE,1.0%,0%,-23.2%,"1,356,334",FALSE,NA
