公司,事業統編,2022範疇一,2023範疇一,2024範疇一,2022範疇二,2023範疇二,2024範疇二,2022總排放,2023總排放,2024總排放,2022營收,2023營收,2024營收,2022密集度,2023密集度,2024密集度,密集度變化
國喬石油化學股份有限公司,4212250,"318,971.98","416,998.26","503,346.52","35,884.73","20,354.38","3,253.54","354,856.71","437,352.64","506,600.06",18176.626,15719.189,16418.417,19.52269415,27.82285015,30.85559710172,58.05%
臺南紡織股份有限公司,68919301,"55,048.95","49,629.66","34,076.53","79,062.07","74,369.64","62,359.11","134,111.02","123,999.30","96,435.64",21968.232,19445.212,17190.251,6.104770743,6.376855135,5.60990296186,-8.11%
穩懋半導體股份有限公司,70752257,"46,202.71","36,260.89","33,681.32","115,107.80","108,607.76","76,852.84","161,310.51","144,868.65","110,534.16",18334.336,15836.498,17457.713,8.798273905,9.147770549,6.33153724087,-28.04%
可成科技股份有限公司,69905810,"3,757.57","1,324.20","1,058.70","22,689.22","9,915.57","8,896.03","26,446.78","11,239.77","9,954.73",27820.529,18073.884,18084.188,0.9506210324,0.6218790604,0.55046596507,-42.09%
矽格股份有限公司,23218022,259.58,251.69,195.26,"41,956.99","40,075.05","38,855.11","42,216.57","40,326.73","39,050.36",18694.345,15479.501,18218.144,2.258253499,2.605169895,2.14348728389,-5.08%
燿華電子股份有限公司,5637971,"4,002.48","2,962.52","4,258.41","94,340.17","84,520.19","89,957.22","98,342.65","87,482.71","94,215.63",17423.501,14960.822,18531.998,5.644253127,5.847453435,5.08394345823,-9.93%
台達化學工業股份有限公司,11893409,"6,604.71","5,510.15","6,827.49","31,738.43","32,782.35","32,754.11","38,343.14","38,292.50","39,581.60",18083.799,15205.462,18622.91,2.120303372,2.518338476,2.12542508126,0.24%
頎邦科技股份有限公司,16130009,"7,708.26","8,640.56","9,457.72","132,854.67","126,835.62","127,584.68","140,562.93","135,476.18","137,042.41",24010.157,20056.388,20337.566,5.854311157,6.754764617,6.73838796639,15.10%
中華紙漿股份有限公司,94025264,"578,127.95","553,320.42","555,959.22","188,316.60","174,235.20","157,121.90","766,444.55","727,555.62","713,081.12",23651.129,20955.451,20767.53,32.40625638,34.71915828,34.33634717273,5.96%
大統益股份有限公司,20927014,"29,545.13","12,072.14","4,714.52","64,871.39","88,705.19","104,179.99","94,416.52","100,777.33","108,894.51",24676.96,23560.347,22066.604,3.826100136,4.277412807,4.93481053995,28.98%
南茂科技股份有限公司,16130042,"3,743.92","3,826.92","3,013.80","227,753.47","221,132.85","235,796.90","231,497.39","224,959.77","238,810.71",23517.064,21356.228,22695.909,9.843804907,10.5336846,10.52219190692,6.89%
台燿科技股份有限公司,4226091,"20,904.52","19,987.62","18,149.43","27,722.48","25,476.64","25,207.57","48,627.00","45,464.26","43,357.00",18472.128,16002.537,23070.425,2.632452525,2.841065764,1.87933252205,-28.61%
東聯化學股份有限公司,14057995,"30,434.40","26,542.06","20,976.34","309,618.79","317,216.83","291,738.64","340,053.20","343,758.89","312,714.98",22081.099,20816.931,23784.62,15.40019362,16.51342794,13.14778121324,-14.63%
上銀科技股份有限公司,23503047,"1,322.33",287.40,817.58,"43,902.67","37,463.18","34,154.74","45,225.00","37,750.58","34,972.32",29314.648,24632.772,24391.684,1.542744092,1.532534787,1.43378046387,-7.06%
旺宏電子股份有限公司,22099548,"135,495.66","119,134.50","115,448.17","230,544.63","236,168.91","232,756.54","366,040.29","355,303.42","348,204.71",43487.454,27623.608,25883.475,8.417146932,12.86231038,13.45278058684,59.83%
京元電子股份有限公司,22507241,"4,941.32","4,476.13","6,161.70","273,896.11","275,643.96","298,090.45","278,837.43","280,120.09","304,252.15",36781.996,33025.307,26856.031,7.580812906,8.481982923,11.32900650882,49.44%
台灣卜蜂企業股份有限公司,36514783,"26,638.47","16,655.32","11,422.68","20,555.17","20,768.55","20,361.90","47,193.64","37,423.87","31,784.59",28959.22,29159.749,27957.258,1.629658534,1.283408509,1.13689940551,-30.24%
宏全國際股份有限公司,58176511,727.39,711.52,630.76,"32,930.96","35,246.20","31,376.15","33,658.35","35,957.71","32,006.91",24696.308,26409.207,28408.164,1.362889951,1.361559626,1.12667999241,-17.33%
福懋興業股份有限公司,14001199,"192,397.73","78,689.55","59,183.34","87,425.71","83,080.94","80,975.63","279,823.44","161,770.50","140,158.97",34722.655,28501.509,28715.705,8.058814627,5.675857373,4.88091690592,-39.43%
中國石油化學工業開發股份有限公司,3084741,"864,166.20","658,677.80","683,822.66","163,820.68","184,782.97","172,051.24","1,027,986.88","843,460.77","855,873.90",25027.795,26414.254,29442.175,41.07380934,31.93203071,29.06965602915,-29.23%
中鴻鋼鐵股份有限公司,7838854,"138,164.68","142,832.03","124,542.49","120,252.92","117,802.42","98,318.30","258,417.61","260,634.45","222,860.79",44503.494,37764.208,30461.521,5.806681381,6.90162627,7.31614123930,26.00%
景碩科技股份有限公司,70785139,"16,217.37","12,175.25","20,250.59","247,288.14","224,539.60","240,295.82","263,505.51","236,714.85","260,546.41",41626.486,26832.187,30534.979,6.330236715,8.822048311,8.53271947559,34.79%
台灣糖業股份有限公司,3794905,"62,704.12","59,740.89","60,884.66","2,855.42","2,787.62","2,520.95","65,559.54","62,528.51","63,405.61",28823.585,30187.223,31434.791,2.274510267,2.071356812,2.01705206184,-11.32%
新唐科技股份有限公司,28112646,"36,272.65","18,725.68","20,522.89","35,316.64","35,031.35","33,297.93","71,589.28","53,757.02","53,820.82",41872.426,35348.149,31923.29,1.709699839,1.520787411,1.68594214443,-1.39%
元太科技工業股份有限公司,22099890,314.16,399.46,632.92,"17,259.59","19,166.43","19,031.74","17,573.74","19,565.89","19,664.65",30060.509,27119.755,32163.133,0.58461219,0.7214626386,0.61140343511,4.58%
南亞電路板股份有限公司,16096804,"9,388.39","3,227.80","5,498.22","477,488.77","439,642.31","422,416.07","486,877.16","442,870.11","427,914.30",64646.836,42252.578,32283.331,7.531337806,10.48149322,13.25496120583,76.00%
南亞科技股份有限公司,89390656,"59,787.80","56,653.82","37,972.92","370,856.02","373,670.30","370,074.85","430,643.82","430,324.12","408,047.77",56952.275,29892.306,34131.667,7.561485823,14.39581543,11.95510814048,58.11%
建大工業股份有限公司,59619900,"15,304.07","10,746.19","11,434.57","18,581.76","16,071.40","15,282.72","33,885.83","26,817.59","26,717.29",38617.881,34443.676,34202.669,0.8774647682,0.7785925637,0.78114634855,-10.98%
豐興鋼鐵股份有限公司,55389357,"226,105.49","197,345.96","181,292.11","510,068.08","499,394.27","479,450.54","736,173.57","696,740.22","660,742.64",38604.929,34882.023,34379.324,19.06941909,19.97419186,19.21918650873,0.79%
華新科技股份有限公司,19004316,"2,508.68","2,448.51","2,991.62","53,208.14","53,493.09","56,028.13","55,716.83","55,941.60","59,019.74",35297.163,32797.671,34755.041,1.578507315,1.705657697,1.69816344052,7.58%
力鵬企業股份有限公司,33955322,"115,796.35","127,621.51","142,650.05","109,006.85","80,863.51","88,687.87","224,803.20","208,485.03","231,337.92",28501.393,29669.737,34825.223,7.887446063,7.026858041,6.64282666618,-15.78%
台橡股份有限公司,3553737,"96,746.43","101,347.44","107,069.33","52,404.09","42,997.72","31,921.76","149,150.52","144,345.17","138,991.09",33841.197,31426.889,37208.665,4.407365378,4.593046738,3.73544952500,-15.25%
金像電子股份有限公司,30955404,"24,646.08","17,955.67","28,464.04","69,914.99","65,303.53","59,720.85","94,561.07","83,259.20","88,184.89",32785.064,30043.95,38951.89,2.884272851,2.77124679,2.26394380350,-21.51%
漢翔航空工業股份有限公司,97160544,0.00,"3,580.15","2,770.96",0,"23,297.85","23,561.48",0,"26,878.01","26,332.44",30242.307,39100.002,39338.315,0,0.6874171004,0.66938403437,#DIV/0!
大連化學工業股份有限公司,12233428,"236,676.39","191,180.80","158,565.95","1,350,201.18","1,193,469.86","1,235,452.14","1,586,877.57","1,384,650.66","1,394,018.09",103371.419,47421.548,42475.774,15.3512217,29.19876551,32.81913332527,113.79%
台灣玻璃工業股份有限公司,11914002,"432,205.01","386,750.50","337,967.92","233,734.87","212,129.33","202,802.61","665,939.88","598,879.83","540,770.53",43859.066,45619.038,42502.81,15.18363113,13.12784873,12.72317124444,-16.20%
世界先進積體電路股份有限公司,84149358,"206,943.40","157,847.12","225,714.98","488,497.48","474,431.02","501,336.98","695,440.87","632,278.14","727,051.97",51694.31,38272.57,44054.762,13.45294811,16.52039934,16.50336846673,22.67%
長興材料工業股份有限公司,75339004,"15,108.63","13,974.88","17,458.27","18,415.78","17,360.05","17,443.58","33,524.42","31,334.93","34,901.84",49014.1,42451.576,44191.125,0.6839750194,0.7381334912,0.78979297314,15.47%
力晶積成電子製造股份有限公司,28112667,"89,694.04","49,145.13","68,785.39","576,742.56","533,798.51","614,772.17","666,436.59","582,943.65","683,557.56",76086.619,44022.552,44725.71,8.758919752,13.24193223,15.28332496007,74.49%
統一實業股份有限公司,73252657,"38,641.15","26,049.85","34,181.52","73,548.54","50,288.73","59,948.05","112,189.69","76,338.59","94,129.57",43480.28,35240.202,44859.298,2.580243044,2.16623588,2.09832909111,-18.68%
正隆股份有限公司,33085508,"1,070,465.94","1,116,076.53","1,070,014.22","273,369.18","222,145.92","196,861.58","1,343,835.12","1,338,222.45","1,266,875.80",43921.728,42165.465,45177.687,30.59613502,31.73740524,28.04206864331,-8.35%
中國人造纖維股份有限公司,7066907,"428,636.18","395,245.41","338,853.92","10,253.52","15,411.77","12,375.66","438,889.70","410,657.17","351,229.58",34118.148,38770.31,45380.155,12.86381957,10.59205278,7.73971750427,-39.83%
新光合成纖維股份有限公司,7435515,"123,911.16","106,566.01","109,311.74","198,555.64","180,607.16","177,378.76","322,466.81","287,173.16","286,690.51",45967.673,39565.14,46149.165,7.015077966,7.258236923,6.21225779491,-11.44%
榮成紙業股份有限公司,34202841,"553,840.81","485,181.32","465,175.31","325,331.09","262,149.96","236,648.63","879,171.90","747,331.29","701,823.95",52968.404,46712.029,47799.734,16.598044,15.9986904,14.68259112070,-11.54%
台灣聚合化學品股份有限公司,11917107,"25,507.76","20,983.00","17,225.05","114,342.62","121,408.27","107,717.07","139,850.39","142,391.27","124,942.12",66437.122,52264.762,51008.156,2.105003736,2.724422049,2.44945376971,16.36%
大立光電股份有限公司,22480876,"1,503.67","1,672.36",581.76,"147,745.27","162,602.96","164,159.13","149,248.94","164,275.32","164,740.89",47675.228,48842.247,59457.553,3.130534373,3.3633858,2.77073107936,-11.49%
