年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類
112,S2000424,台灣寶理塑膠股份有限公司大發廠,台灣寶理塑膠股份有限公司,22853994,"4,724.63","71,835.30","76,559.93",100.00%,"76,559.93","76,559.93",100.00%,高雄市,"76,559.93",100.00%,塑膠及合成橡膠原料製造業,石化業
112,S1900630,台達化學工業股份有限公司林園廠,台達化學工業股份有限公司,11893409,"5,510.15","32,782.35","38,292.50",100.00%,"38,292.50","38,292.50",100.00%,高雄市,"38,292.50",100.00%,塑膠及合成橡膠原料製造業,石化業
112,S2603498,泓達化工股份有限公司燕巢廠,泓達化工股份有限公司,23418128,"16,074.47","10,287.67","26,362.13",100.00%,"26,362.13","26,362.13",100.00%,高雄市,"26,362.13",100.00%,塑膠及合成橡膠原料製造業,石化業
112,S1900649,南帝化學工業股份有限公司,南帝化學工業股份有限公司,12209807,"1,387.59","20,302.50","21,690.09",100.00%,"21,690.09","21,690.09",100.00%,高雄市,"21,690.09",100.00%,塑膠及合成橡膠原料製造業,石化業
112,E5600092,中鋼鋁業股份有限公司,中鋼鋁業股份有限公司,96971313,"54,489.56","93,090.68","147,580.24",100.00%,"147,580.24","147,580.24",100.00%,高雄市,"147,580.24",100.00%,鋁製造業,鋁製造業
112,E4900879,台灣福雷電子股份有限公司,台灣福雷電子股份有限公司,22100242,772.98,"56,193.98","56,966.96",47.91%,"118,894.17","56,966.96",47.91%,高雄市,"118,894.17",100.00%,機械器具批發業,機械器具批發業
112,E5600841,中國鋼鐵股份有限公司,中國鋼鐵股份有限公司,30414175,"16,758,851.82","1,155,954.38","17,914,806.19",99.16%,"18,066,406.34","18,066,406.34",100.00%,高雄市,"18,066,406.34",100.00%,鋼鐵製造業,鋼鐵業
112,E56A4792,中國鋼鐵股份有限公司第三冷軋廠,中國鋼鐵股份有限公司,30414175,"49,702.09","101,898.06","151,600.15",0.84%,"18,066,406.34","18,066,406.34",100.00%,高雄市,"18,066,406.34",100.00%,鋼鐵製造業,鋼鐵業
112,E56A7340,東和鋼鐵企業股份有限公司大業廠,東和鋼鐵企業股份有限公司,75280209,"35,059.50","14,073.30","49,132.79",5.98%,"822,114.05","822,114.05",100.00%,高雄市,"77,823.42",9.47%,鋼鐵製造業,鋼鐵業
112,E5600369,東和鋼鐵企業股份有限公司高雄廠,東和鋼鐵企業股份有限公司,75280209,"17,751.77","10,938.86","28,690.62",3.49%,"822,114.05","822,114.05",100.00%,高雄市,"77,823.42",9.47%,鋼鐵製造業,鋼鐵業
112,S1601990,燁聯鋼鐵股份有限公司,燁聯鋼鐵股份有限公司,23218395,"190,757.81","294,245.97","485,003.78",100.00%,"485,003.78","485,003.78",100.00%,高雄市,"485,003.78",100.00%,鋼鐵製造業,鋼鐵業
112,E5600332,協勝發鋼鐵廠股份有限公司,協勝發鋼鐵廠股份有限公司,79254702,"83,797.40","190,747.73","274,545.14",100.00%,"274,545.14","274,545.14",100.00%,高雄市,"274,545.14",100.00%,鋼鐵製造業,鋼鐵業
112,S1602102,中鴻鋼鐵股份有限公司熱軋廠,中鴻鋼鐵股份有限公司,	07838854,"132,159.33","101,533.58","233,692.91",89.66%,"260,634.45","260,634.45",100.00%,高雄市,"260,634.45",100.00%,鋼鐵製造業,鋼鐵業
112,S2500527,中鴻鋼鐵股份有限公司冷軋廠,中鴻鋼鐵股份有限公司,	07838854,"10,672.70","16,268.84","26,941.54",10.34%,"260,634.45","260,634.45",100.00%,高雄市,"260,634.45",100.00%,鋼鐵製造業,鋼鐵業
112,E5600501,海光企業股份有限公司,海光企業股份有限公司,75470524,"29,306.89","97,258.42","126,565.31",68.37%,"185,130.89","185,130.89",100.00%,高雄市,"185,130.89",100.00%,鋼鐵製造業,鋼鐵業
112,E5602952,海光企業股份有限公司嘉興鋼鐵廠,海光企業股份有限公司,75470524,"29,078.52","29,487.06","58,565.58",31.63%,"185,130.89","185,130.89",100.00%,高雄市,"185,130.89",100.00%,鋼鐵製造業,鋼鐵業
112,E56A2617,尚承鋼鐵股份有限公司,尚承鋼鐵股份有限公司,27208480,"92,727.24","77,861.45","170,588.69",100.00%,"170,588.69","170,588.69",100.00%,高雄市,"170,588.69",100.00%,鋼鐵製造業,鋼鐵業
112,E5601197,唐榮鐵工廠股份有限公司,唐榮鐵工廠股份有限公司,75460005,"29,842.39","56,537.88","86,380.27",100.00%,"86,380.27","86,380.27",100.00%,高雄市,"86,380.27",100.00%,鋼鐵製造業,鋼鐵業
112,E5600798,龍慶鋼鐵企業股份有限公司,龍慶鋼鐵企業股份有限公司,85793919,"21,852.11","38,331.24","60,183.35",100.00%,"60,183.35","60,183.35",100.00%,高雄市,"60,183.35",100.00%,鋼鐵製造業,鋼鐵業
112,S25A0144,欣建工業股份有限公司,欣建工業股份有限公司,28042430,"16,979.25","11,803.83","28,783.08",100.00%,"28,783.08","28,783.08",100.00%,高雄市,"28,783.08",100.00%,鋼鐵製造業,鋼鐵業
112,C1500291,盧森堡商達爾國際股份有限公司基隆分公司,盧森堡商達爾國際股份有限公司,51158518,662.55,"9,696.23","10,358.78",25.52%,"40,586.04","10,358.78",25.52%,基隆市,"10,358.78",25.52%,其他電子零組件製造業,電子業
112,P5802421,台塑石化股份有限公司麥寮一廠,台塑石化股份有限公司,86522210,"14,322,859.54",,"14,322,859.54",59.10%,"24,234,494.00","24,234,494.00",100.00%,雲林縣,"24,234,494.00",100.00%,化學原材料製造業,石化業
112,P5806349,台灣塑膠工業股份有限公司海豐廠,台灣塑膠工業股份有限公司,75708007,"90,900.23","178,539.77","269,440.00",3.31%,"8,130,027.41","8,130,027.41",100.00%,雲林縣,"4,564,374.31",56.14%,化學原材料製造業,石化業
112,P5802001,台灣塑膠工業股份有限公司麥寮碳纖廠,台灣塑膠工業股份有限公司,75708007,"4,819.57","165,342.66","170,162.24",2.09%,"8,130,027.41","8,130,027.41",100.00%,雲林縣,"4,564,374.31",56.14%,化學原材料製造業,石化業
112,P5802092,台灣化學纖維股份有限公司海豐廠,台灣化學纖維股份有限公司,58650902,"1,239,393.23","1,759,810.47","2,999,203.70",37.38%,"8,022,912.66","8,002,500.26",99.75%,雲林縣,"4,507,874.46",56.19%,化學原材料製造業,石化業
112,P5801773,台灣化學纖維股份有限公司麥寮廠,台灣化學纖維股份有限公司,58650902,"411,589.40","1,097,081.36","1,508,670.76",18.80%,"8,022,912.66","8,002,500.26",99.75%,雲林縣,"4,507,874.46",56.19%,化學原材料製造業,石化業
112,P5802387,大連化學工業股份有限公司麥寮廠,大連化學工業股份有限公司,12233428,"79,961.33","624,392.57","704,353.91",50.87%,"1,384,650.66","1,384,650.66",100.00%,雲林縣,"704,353.91",50.87%,化學原材料製造業,石化業
112,P5802323,南中石化工業股份有限公司乙二醇廠,南中石化工業股份有限公司,97161348,"1,556.64","76,154.99","77,711.63",100.00%,"77,711.63","77,711.63",100.00%,雲林縣,"77,711.63",100.00%,化學原材料製造業,石化業
112,P5802378,台塑旭彈性纖維股份有限公司麥寮廠,台塑旭彈性纖維股份有限公司,16446128,"4,347.63","39,197.09","43,544.72",100.00%,"43,544.72","43,544.72",100.00%,雲林縣,"43,544.72",100.00%,化學原材料製造業,石化業
112,P5801871,台塑勝高科技股份有限公司麥寮矽晶圓廠,台塑勝高科技股份有限公司,89406518,"5,871.80","223,231.51","229,103.31",100.00%,"229,103.31","229,103.31",100.00%,雲林縣,"229,103.31",100.00%,半導體製造業,半導體業
112,P4602196,福懋科技股份有限公司,福懋科技股份有限公司,23826736,987.86,"111,015.42","112,003.28",100.00%,"112,003.28","112,003.28",100.00%,雲林縣,"112,003.28",100.00%,半導體製造業,半導體業
112,P5802430,台塑石化股份有限公司麥寮三廠,台塑石化股份有限公司,86522210,"5,634,888.94","39,128.85","5,674,017.79",23.41%,"24,234,494.00","24,234,494.00",100.00%,雲林縣,"24,234,494.00",100.00%,未分類其他化學製品製造業,石化業
112,P5801728,台塑石化股份有限公司麥寮二廠,台塑石化股份有限公司,86522210,"4,046,891.77","190,724.90","4,237,616.67",17.49%,"24,234,494.00","24,234,494.00",100.00%,雲林縣,"24,234,494.00",100.00%,未分類其他化學製品製造業,石化業
112,P5801602,台灣塑膠工業股份有限公司麥寮廠,台灣塑膠工業股份有限公司,75708007,"454,469.75","3,670,302.32","4,124,772.08",50.74%,"8,130,027.41","8,130,027.41",100.00%,雲林縣,"4,564,374.31",56.14%,未分類其他化學製品製造業,石化業
112,P5805753,長春石油化學股份有限公司麥寮廠,長春石油化學股份有限公司,11384806,"19,544.25","469,354.17","488,898.42",19.75%,"2,475,901.51","2,475,901.51",100.00%,雲林縣,"488,898.42",19.75%,未分類其他化學製品製造業,石化業
112,P5805780,台灣醋酸化學股份有限公司醋酸廠,台灣醋酸化學股份有限公司,80087041,"16,203.87","119,983.09","136,186.96",100.00%,"136,186.96","136,186.96",100.00%,雲林縣,"136,186.96",100.00%,未分類其他化學製品製造業,石化業
112,P5805244,南亞塑膠工業股份有限公司海豐總廠,南亞塑膠工業股份有限公司,75370905,"159,395.47","506,783.30","666,178.77",17.75%,"3,752,539.36","2,988,528.75",79.64%,雲林縣,"1,604,777.62",42.77%,化學原材料製造業,石化業
112,P5801513,南亞塑膠工業股份有限公司麥寮總廠,南亞塑膠工業股份有限公司,75370905,"233,556.92","705,041.93","938,598.84",25.01%,"3,752,539.36","2,988,528.75",79.64%,雲林縣,"1,604,777.62",42.77%,化學原材料製造業,石化業
112,P4602758,富喬工業股份有限公司,富喬工業股份有限公司,16834268,"28,555.33","46,019.57","74,574.90",49.27%,"151,358.74","151,358.74",100.00%,雲林縣,"151,358.74",100.00%,其他非金屬礦物製品製造業,非金屬製品加工業
112,P4602276,台日古河銅箔股份有限公司,台日古河銅箔股份有限公司,97168665,"2,977.98","48,142.90","51,120.88",100.00%,"51,120.88","51,120.88",100.00%,雲林縣,"51,120.88",100.00%,其他基本金屬製造業,銅製造業
112,P46A5881,古河銅箔股份有限公司,古河銅箔股份有限公司,53372182,"1,044.09","19,709.09","20,753.19",100.00%,"20,753.19","20,753.19",100.00%,雲林縣,"20,753.19",100.00%,其他基本金屬製造業,銅製造業
112,P4607940,上銀科技股份有限公司-雲科廠,上銀科技股份有限公司,23503047,287.40,"37,463.18","37,750.58",100.00%,"37,750.58","37,750.58",100.00%,雲林縣,"37,750.58",100.00%,金屬加工用機械設備製造業,金屬加工用機械設備製造業
112,P46A0069,巧新科技工業股份有限公司二廠,巧新科技工業股份有限公司,84980915,"10,195.53","31,712.99","41,908.52",100.00%,"41,908.52","41,908.52",100.00%,雲林縣,"41,908.52",100.00%,金屬加工處理業,鋁製造業
112,P4600987,福懋興業股份有限公司,福懋興業股份有限公司,14001199,"70,239.06","57,355.54","127,594.61",78.87%,"161,770.50","161,770.50",100.00%,雲林縣,"161,770.50",100.00%,染整業,紡織業
112,P46A0693,艾杰旭顯示玻璃股份有限公司斗六二廠,艾杰旭顯示玻璃股份有限公司,70584724,"84,684.92","161,486.62","246,171.54",63.28%,"389,005.92","389,005.92",100.00%,雲林縣,"360,796.92",92.75%,玻璃及其製品製造業,非金屬製品加工業
112,P4606327,艾杰旭顯示玻璃股份有限公司斗六一廠,艾杰旭顯示玻璃股份有限公司,70584724,"24,092.81","90,532.57","114,625.38",29.47%,"389,005.92","389,005.92",100.00%,雲林縣,"360,796.92",92.75%,玻璃及其製品製造業,非金屬製品加工業
112,P48A0851,富喬工業股份有限公司雲林分公司,富喬工業股份有限公司,16834268,"37,640.07","39,143.77","76,783.84",50.73%,"151,358.74","151,358.74",100.00%,雲林縣,"151,358.74",100.00%,玻璃及其製品製造業,非金屬製品加工業
112,P5500191,合眾紙業股份有限公司林內廠,合眾紙業股份有限公司,	04380087,"32,008.49","23,999.25","56,007.74",100.00%,"56,007.74","56,007.74",100.00%,雲林縣,"56,007.74",100.00%,紙漿、紙及紙板製造業,造紙業
112,P46B5125,中國石油化學工業開發股份有限公司斗六廠,中國石油化學工業開發股份有限公司,	03084741,"15,530.38","11,459.29","26,989.67",3.20%,"843,460.77","26,989.67",3.20%,雲林縣,"26,989.67",3.20%,紡紗業,紡織業
112,P4601984,福懋興業股份有限公司第二廠,福懋興業股份有限公司,14001199,"8,450.49","25,725.40","34,175.89",21.13%,"161,770.50","161,770.50",100.00%,雲林縣,"161,770.50",100.00%,紡織品製造業,紡織業
112,P58A1635,台塑科騰化學有限公司,台塑科騰化學有限公司,53667030,"7,782.11","54,215.75","61,997.85",100.00%,"61,997.85","61,997.85",100.00%,雲林縣,"61,997.85",100.00%,塑膠及合成橡膠原料製造業,石化業
112,P4606818,金居開發股份有限公司斗六二廠,金居開發股份有限公司,16447610,"1,269.06","53,741.86","55,010.92",52.71%,"104,357.19","104,357.19",100.00%,雲林縣,"104,357.19",100.00%,銅製造業,銅製造業
112,P4602552,金居開發股份有限公司斗六一廠,金居開發股份有限公司,16447610,"1,860.62","47,485.65","49,346.27",47.29%,"104,357.19","104,357.19",100.00%,雲林縣,"104,357.19",100.00%,銅製造業,銅製造業
112,P4801322,台榮產業股份有限公司雲林廠,台榮產業股份有限公司,	03543210,"24,638.22","14,203.82","38,842.05",100.00%,"38,842.05","38,842.05",100.00%,雲林縣,"38,842.05",100.00%,碾穀、磨粉及澱粉製品製造業,碾穀、磨粉及澱粉製品製造業
112,P5400070,建大工業股份有限公司雲林廠,建大工業股份有限公司,59619900,"10,746.19","16,071.40","26,817.59",100.00%,"26,817.59","26,817.59",100.00%,雲林縣,"26,817.59",100.00%,橡膠製品製造業,石化業
112,F1606662,南亞科技股份有限公司三廠,南亞科技股份有限公司,89390656,"56,653.82","373,670.30","430,324.12",100.00%,"430,324.12","430,324.12",100.00%,新北市,"430,324.12",100.00%,半導體製造業,半導體業
112,F0401403,德州儀器工業股份有限公司,德州儀器工業股份有限公司,33405832,"1,581.51","46,339.18","47,920.69",100.00%,"47,920.69","47,920.69",100.00%,新北市,"47,920.69",100.00%,半導體製造業,半導體業
112,F0500803,台灣通用器材股份有限公司,台灣通用器材股份有限公司,38119936,"3,781.05","44,135.15","47,916.20",100.00%,"47,916.20","47,916.20",100.00%,新北市,"47,916.20",100.00%,半導體製造業,半導體業
112,F1600491,南亞塑膠工業股份有限公司林口二廠,南亞塑膠工業股份有限公司,75370905,"20,191.64","59,929.52","80,121.15",2.14%,"3,752,539.36","2,988,528.75",79.64%,新北市,"169,895.46",4.53%,塑膠製品製造業,石化業
112,F1304789,燿華電子股份有限公司土城二廠,燿華電子股份有限公司,	05637971,659.40,"41,699.33","42,358.73",48.42%,"87,482.71","87,482.71",100.00%,新北市,"42,358.73",48.42%,印刷電路板製造業,電子業
112,F0801707,三洋窯業股份有限公司,三洋窯業股份有限公司,34263157,"26,899.48","9,325.14","36,224.62",100.00%,"36,224.62","36,224.62",100.00%,新北市,"36,224.62",100.00%,其他非金屬礦物製品製造業,非金屬製品加工業
112,F0701702,南亞塑膠工業股份有限公司樹林廠,南亞塑膠工業股份有限公司,75370905,"52,219.17","37,555.13","89,774.30",2.39%,"3,752,539.36","2,988,528.75",79.64%,新北市,"169,895.46",4.53%,塑膠及合成橡膠原料製造業,石化業
112,F07B5260,南亞電路板股份有限公司樹林一廠,南亞電路板股份有限公司,16096804,"1,616.29","60,819.47","62,435.77",14.10%,"442,870.11","442,870.11",100.00%,新北市,"62,435.77",14.10%,印刷電路板製造業,電子業
112,O1746614,聯亞科技股份有限公司三廠,聯亞科技股份有限公司,22099456,100.28,"213,314.73","213,415.01",38.54%,"553,705.98","553,705.98",100.00%,新竹市,"233,810.32",42.23%,化學原材料製造業,石化業
112,O1743793,聯亞科技股份有限公司二廠,聯亞科技股份有限公司,22099456,2.99,"20,392.32","20,395.31",3.68%,"553,705.98","553,705.98",100.00%,新竹市,"233,810.32",42.23%,化學原材料製造業,石化業
112,O17N2261,亞東工業氣體股份有限公司竹科二廠,亞東工業氣體股份有限公司,22522453,3.32,"32,386.94","32,390.26",9.08%,"356,607.21","356,607.21",100.00%,新竹市,"32,390.26",9.08%,化學原材料製造業,石化業
112,O1709308,台灣積體電路製造股份有限公司十二廠,台灣積體電路製造股份有限公司,22099131,"53,801.63","252,600.02","306,401.66",2.68%,"11,418,277.62","11,418,277.62",100.00%,新竹市,"548,989.88",4.81%,半導體製造業,半導體業
112,O1713311,台灣積體電路製造股份有限公司八廠,台灣積體電路製造股份有限公司,22099131,"70,610.39","171,977.83","242,588.22",2.12%,"11,418,277.62","11,418,277.62",100.00%,新竹市,"548,989.88",4.81%,半導體製造業,半導體業
112,O1709148,聯華電子股份有限公司Fab8D廠,聯華電子股份有限公司,47217677,"59,347.39","147,122.38","206,469.77",14.44%,"1,430,026.92","1,430,026.92",100.00%,新竹市,"554,637.94",38.79%,半導體製造業,半導體業
112,O1706209,聯華電子股份有限公司Fab8A廠,聯華電子股份有限公司,47217677,"45,681.61","104,923.85","150,605.45",10.53%,"1,430,026.92","1,430,026.92",100.00%,新竹市,"554,637.94",38.79%,半導體製造業,半導體業
112,O1706692,聯華電子股份有限公司Fab8E廠,聯華電子股份有限公司,47217677,"26,958.37","72,078.16","99,036.53",6.93%,"1,430,026.92","1,430,026.92",100.00%,新竹市,"554,637.94",38.79%,半導體製造業,半導體業
112,O1708632,聯華電子股份有限公司Fab8F廠,聯華電子股份有限公司,47217677,"23,138.23","75,387.96","98,526.19",6.89%,"1,430,026.92","1,430,026.92",100.00%,新竹市,"554,637.94",38.79%,半導體製造業,半導體業
112,O1751197,世界先進積體電路股份有限公司晶圓二廠,世界先進積體電路股份有限公司,84149358,"38,139.03","126,393.38","164,532.41",26.02%,"632,278.14","632,278.14",100.00%,新竹市,"210,971.85",33.37%,半導體製造業,半導體業
112,O17N5463,世界先進積體電路股份有限公司晶圓五廠,世界先進積體電路股份有限公司,84149358,"6,227.91","40,211.53","46,439.44",7.34%,"632,278.14","632,278.14",100.00%,新竹市,"210,971.85",33.37%,半導體製造業,半導體業
112,O17M3925,力晶積成電子製造股份有限公司P1/2,力晶積成電子製造股份有限公司,28112667,"21,583.49","278,194.47","299,777.96",51.42%,"582,943.65","582,943.65",100.00%,新竹市,"541,998.52",92.98%,半導體製造業,半導體業
112,O17M3896,力晶積成電子製造股份有限公司P3,力晶積成電子製造股份有限公司,28112667,"15,515.24","138,430.02","153,945.26",26.41%,"582,943.65","582,943.65",100.00%,新竹市,"541,998.52",92.98%,半導體製造業,半導體業
112,O1753306,力晶積成電子製造股份有限公司8A,力晶積成電子製造股份有限公司,28112667,"8,788.86","79,486.44","88,275.30",15.14%,"582,943.65","582,943.65",100.00%,新竹市,"541,998.52",92.98%,半導體製造業,半導體業
112,O17A6887,旺宏電子股份有限公司晶圓五廠,旺宏電子股份有限公司,22099548,"55,996.40","151,115.22","207,111.61",58.29%,"355,303.42","355,303.42",100.00%,新竹市,"355,303.42",100.00%,半導體製造業,半導體業
112,O1706307,旺宏電子股份有限公司晶圓二廠,旺宏電子股份有限公司,22099548,"63,138.11","85,053.70","148,191.80",41.71%,"355,303.42","355,303.42",100.00%,新竹市,"355,303.42",100.00%,半導體製造業,半導體業
112,O17K9082,力成科技股份有限公司竹科分公司,力成科技股份有限公司,16082267,"1,829.41","21,795.64","23,625.05",7.71%,"306,448.34","262,250.24",85.58%,新竹市,"40,534.43",13.23%,半導體製造業,半導體業
112,O17N2439,力成科技股份有限公司竹科三廠,力成科技股份有限公司,16082267,995.88,"15,913.49","16,909.37",5.52%,"306,448.34","262,250.24",85.58%,新竹市,"40,534.43",13.23%,半導體製造業,半導體業
112,O1747924,頎邦科技股份有限公司展業廠,頎邦科技股份有限公司,16130009,213.24,"43,503.75","43,716.99",32.27%,"135,476.18","113,014.52",83.42%,新竹市,"43,716.99",32.27%,半導體製造業,半導體業
112,O1704812,台灣茂矽電子股份有限公司,台灣茂矽電子股份有限公司,22099110,"80,834.37","45,102.86","125,937.23",100.00%,"125,937.23","125,937.23",100.00%,新竹市,"125,937.23",100.00%,半導體製造業,半導體業
112,O1700798,元隆電子股份有限公司,元隆電子股份有限公司,22099174,"47,601.84","21,397.75","68,999.59",100.00%,"68,999.59","68,999.59",100.00%,新竹市,"68,999.59",100.00%,半導體製造業,半導體業
112,O1701115,漢磊科技股份有限公司研新廠,漢磊科技股份有限公司,54389725,"4,281.32","7,151.82","11,433.14",18.28%,"62,555.19","62,555.19",100.00%,新竹市,"11,433.14",18.28%,半導體製造業,半導體業
112,O17A0968,新唐科技股份有限公司,新唐科技股份有限公司,28112646,"18,725.68","35,031.35","53,757.02",100.00%,"53,757.02","53,757.02",100.00%,新竹市,"53,757.02",100.00%,半導體製造業,半導體業
112,O17N8209,盧森堡商達爾國際股份有限公司新竹分公司,盧森堡商達爾國際股份有限公司,51158518,"14,365.51","15,861.75","30,227.26",74.48%,"40,586.04","30,227.26",74.48%,新竹市,"30,227.26",74.48%,半導體製造業,半導體業
112,O17N6560,鴻揚半導體股份有限公司,鴻揚半導體股份有限公司,90505585,"8,320.13","26,711.55","35,031.68",100.00%,"35,031.68","35,031.68",100.00%,新竹市,"35,031.68",100.00%,半導體製造業,半導體業
112,O1713197,台亞半導體股份有限公司力行廠,台亞半導體股份有限公司,47255947,"2,123.72","27,347.23","29,470.95",100.00%,"29,470.95","29,470.95",100.00%,新竹市,"29,470.95",100.00%,半導體製造業,半導體業
112,O1707162,矽格聯測股份有限公司,矽格聯測股份有限公司,84149456,377.16,"28,468.88","28,846.04",100.00%,"28,846.04","28,846.04",100.00%,新竹市,"28,846.04",100.00%,半導體製造業,半導體業
112,O1706923,昇陽國際半導體股份有限公司,昇陽國際半導體股份有限公司,84149884,"4,520.54","18,655.89","23,176.43",100.00%,"23,176.43","23,176.43",100.00%,新竹市,"23,176.43",100.00%,半導體製造業,半導體業
112,O1745831,敦南科技股份有限公司新竹分公司廠,敦南科技股份有限公司,23528103,"11,482.13","7,137.71","18,619.83",100.00%,"18,619.83","18,619.83",100.00%,新竹市,"18,619.83",100.00%,半導體製造業,半導體業
112,O17M3787,晶成半導體股份有限公司竹科廠,晶成半導體股份有限公司,28114454,"2,123.67","5,110.94","7,234.61",100.00%,"7,234.61","7,234.61",100.00%,新竹市,"7,234.61",100.00%,半導體製造業,半導體業
112,O1707395,友達光電股份有限公司L5廠,友達光電股份有限公司,84149738,944.66,"32,640.25","33,584.91",1.70%,"1,971,912.89","1,971,912.89",100.00%,新竹市,"44,520.73",2.26%,光電材料及元件製造業,光電業
112,O1709193,友達光電股份有限公司L3B廠,友達光電股份有限公司,84149738,637.36,"10,298.46","10,935.82",0.55%,"1,971,912.89","1,971,912.89",100.00%,新竹市,"44,520.73",2.26%,光電材料及元件製造業,光電業
112,O1706049,元太科技工業股份有限公司,元太科技工業股份有限公司,22099890,399.46,"19,166.43","19,565.89",100.00%,"19,565.89","19,565.89",100.00%,新竹市,"19,565.89",100.00%,光電材料及元件製造業,光電業
112,O1749526,采鈺科技股份有限公司,采鈺科技股份有限公司,80601119,"4,229.05","26,418.15","30,647.20",73.02%,"41,970.21","30,647.20",73.02%,新竹市,"30,647.20",73.02%,其他電子零組件製造業,電子業
112,O1703351,台灣玻璃工業股份有限公司新竹廠,台灣玻璃工業股份有限公司,11914002,"120,304.40","42,695.83","163,000.23",27.22%,"598,879.83","598,879.83",100.00%,新竹市,"163,000.23",27.22%,玻璃及其製品製造業,非金屬製品加工業
112,O1703315,華夏玻璃股份有限公司,華夏玻璃股份有限公司,47109348,"76,030.98","26,120.55","102,151.53",100.00%,"102,151.53","102,151.53",100.00%,新竹市,"102,151.53",100.00%,玻璃及其製品製造業,非金屬製品加工業
112,O1702523,正隆股份有限公司新竹廠,正隆股份有限公司,33085508,"15,259.20","10,461.73","25,720.94",1.92%,"1,338,222.45","1,338,222.45",100.00%,新竹市,"25,720.94",1.92%,紙漿、紙及紙板製造業,造紙業
112,J5700222,遠東新世紀股份有限公司化學纖維總廠,遠東新世紀股份有限公司,	03522600,"267,507.45","117,561.72","385,069.17",67.61%,"569,531.79","552,113.34",96.94%,新竹縣,"402,487.62",70.67%,人造纖維製造業,石化業
112,J6300539,聯亞科技股份有限公司一廠,聯亞科技股份有限公司,22099456,7.42,"44,849.67","44,857.09",8.10%,"553,705.98","553,705.98",100.00%,新竹縣,"44,857.09",8.10%,化學原材料製造業,石化業
112,J63A1670,台灣積體電路製造股份有限公司十二廠七期,台灣積體電路製造股份有限公司,22099131,"48,023.07","375,839.94","423,863.02",3.71%,"11,418,277.62","11,418,277.62",100.00%,新竹縣,"1,890,136.76",16.55%,半導體製造業,半導體業
112,J63A1056,台灣積體電路製造股份有限公司十二廠四期/五期,台灣積體電路製造股份有限公司,22099131,"40,385.37","309,532.67","349,918.05",3.06%,"11,418,277.62","11,418,277.62",100.00%,新竹縣,"1,890,136.76",16.55%,半導體製造業,半導體業
112,J63A1591,台灣積體電路製造股份有限公司十二廠六期,台灣積體電路製造股份有限公司,22099131,"18,497.57","246,813.47","265,311.04",2.32%,"11,418,277.62","11,418,277.62",100.00%,新竹縣,"1,890,136.76",16.55%,半導體製造業,半導體業
112,J63A3567,台灣積體電路製造股份有限公司十二廠八期,台灣積體電路製造股份有限公司,22099131,"13,368.83","211,685.76","225,054.59",1.97%,"11,418,277.62","11,418,277.62",100.00%,新竹縣,"1,890,136.76",16.55%,半導體製造業,半導體業
112,J6301107,台灣積體電路製造股份有限公司三廠,台灣積體電路製造股份有限公司,22099131,"39,365.62","160,916.75","200,282.36",1.75%,"11,418,277.62","11,418,277.62",100.00%,新竹縣,"1,890,136.76",16.55%,半導體製造業,半導體業
112,J63A0107,台灣積體電路製造股份有限公司十二廠研新廠,台灣積體電路製造股份有限公司,22099131,"11,368.93","130,441.43","141,810.36",1.24%,"11,418,277.62","11,418,277.62",100.00%,新竹縣,"1,890,136.76",16.55%,半導體製造業,半導體業
112,J6301447,台灣積體電路製造股份有限公司五廠,台灣積體電路製造股份有限公司,22099131,"29,731.78","92,019.67","121,751.45",1.07%,"11,418,277.62","11,418,277.62",100.00%,新竹縣,"1,890,136.76",16.55%,半導體製造業,半導體業
112,J6300557,台灣積體電路製造股份有限公司二廠,台灣積體電路製造股份有限公司,22099131,"19,956.66","74,697.99","94,654.65",0.83%,"11,418,277.62","11,418,277.62",100.00%,新竹縣,"1,890,136.76",16.55%,半導體製造業,半導體業
112,J6300324,台灣積體電路製造股份有限公司三廠3E廠,台灣積體電路製造股份有限公司,22099131,"6,285.17","61,206.07","67,491.24",0.59%,"11,418,277.62","11,418,277.62",100.00%,新竹縣,"1,890,136.76",16.55%,半導體製造業,半導體業
112,J63A0048,聯華電子股份有限公司Fab8S廠,聯華電子股份有限公司,47217677,"15,108.79","65,979.33","81,088.12",5.67%,"1,430,026.92","1,430,026.92",100.00%,新竹縣,"81,088.12",5.67%,半導體製造業,半導體業
112,J6300959,世界先進積體電路股份有限公司晶圓一廠,世界先進積體電路股份有限公司,84149358,"55,186.76","107,146.43","162,333.19",25.67%,"632,278.14","632,278.14",100.00%,新竹縣,"162,333.19",25.67%,半導體製造業,半導體業
112,J63A1422,矽品精密工業股份有限公司新竹分公司三廠,矽品精密工業股份有限公司,55991080,391.19,"44,110.98","44,502.17",7.96%,"559,058.66","559,058.66",100.00%,新竹縣,"44,502.17",7.96%,半導體製造業,半導體業
112,J59A7436,力成科技股份有限公司3C廠,力成科技股份有限公司,16082267,"2,248.73","73,957.30","76,206.04",24.87%,"306,448.34","262,250.24",85.58%,新竹縣,"265,913.91",86.77%,半導體製造業,半導體業
