年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類
112,H53A0675,東和鋼鐵企業股份有限公司桃園廠,東和鋼鐵企業股份有限公司,75280209,"78,056.08","354,241.83","432,297.91",52.58%,"822,114.05","822,114.05",100.00%,桃園市,"432,297.91",52.58%,鋼鐵製造業,鋼鐵業
112,H5200617,聯成鋼鐵股份有限公司桃園廠,聯成鋼鐵股份有限公司,22822748,"28,884.62","68,394.89","97,279.52",100.00%,"97,279.52","97,279.52",100.00%,桃園市,"97,279.52",100.00%,鋼鐵製造業,鋼鐵業
112,H4502201,建榮工業材料股份有限公司楊梅廠,建榮工業材料股份有限公司,86691377,"8,926.83","17,292.37","26,219.20",100.00%,"26,219.20","26,219.20",100.00%,桃園市,"26,219.20",100.00%,織布業,紡織業
112,S2201109,台灣塑膠工業股份有限公司仁武廠,台灣塑膠工業股份有限公司,75708007,"2,256,559.80","71,351.06","2,327,910.86",28.63%,"8,130,027.41","8,130,027.41",100.00%,高雄市,"3,174,386.44",39.05%,化學原材料製造業,石化業
112,S1900685,台灣塑膠工業股份有限公司林園廠,台灣塑膠工業股份有限公司,75708007,"610,064.16","108,812.37","718,876.53",8.84%,"8,130,027.41","8,130,027.41",100.00%,高雄市,"3,174,386.44",39.05%,化學原材料製造業,石化業
112,S1900701,台灣塑膠工業股份有限公司林園聚丙烯廠,台灣塑膠工業股份有限公司,75708007,260.12,"127,338.93","127,599.05",1.57%,"8,130,027.41","8,130,027.41",100.00%,高雄市,"3,174,386.44",39.05%,化學原材料製造業,石化業
112,S1900710,台灣中油股份有限公司石化事業部,台灣中油股份有限公司,	03707901,"1,725,051.09","80,789.39","1,805,840.48",27.60%,"6,542,927.09","6,542,927.09",100.00%,高雄市,"4,886,391.26",74.68%,化學原材料製造業,石化業
112,S2001314,長春石油化學股份有限公司 大發廠,長春石油化學股份有限公司,11384806,"554,380.99","4,874.85","559,255.83",22.59%,"2,475,901.51","2,475,901.51",100.00%,高雄市,"559,255.83",22.59%,化學原材料製造業,石化業
112,S2005652,大連化學工業股份有限公司大發廠,大連化學工業股份有限公司,12233428,"76,649.34","526,082.76","602,732.10",43.53%,"1,384,650.66","1,384,650.66",100.00%,高雄市,"680,296.75",49.13%,化學原材料製造業,石化業
112,S2300465,大連化學工業股份有限公司高雄廠,大連化學工業股份有限公司,12233428,"34,570.12","42,994.52","77,564.65",5.60%,"1,384,650.66","1,384,650.66",100.00%,高雄市,"680,296.75",49.13%,化學原材料製造業,石化業
112,S2005081,長春人造樹脂廠股份有限公司大發廠,長春人造樹脂廠股份有限公司,11384708,"10,894.71","379,039.37","389,934.09",33.83%,"1,152,774.41","1,152,774.41",100.00%,高雄市,"851,395.78",73.86%,化學原材料製造業,石化業
112,S2015916,長春人造樹脂廠股份有限公司大發二廠,長春人造樹脂廠股份有限公司,11384708,"70,508.06","312,747.42","383,255.48",33.25%,"1,152,774.41","1,152,774.41",100.00%,高雄市,"851,395.78",73.86%,化學原材料製造業,石化業
112,E5600850,中國石油化學工業開發股份有限公司小港廠,中國石油化學工業開發股份有限公司,	03084741,"508,360.50","115,621.81","623,982.31",73.98%,"843,460.77","816,471.10",96.80%,高雄市,"783,572.47",92.90%,化學原材料製造業,石化業
112,S2300410,中國石油化學工業開發股份有限公司大社廠,中國石油化學工業開發股份有限公司,	03084741,"118,403.70","41,186.47","159,590.16",18.92%,"843,460.77","816,471.10",96.80%,高雄市,"783,572.47",92.90%,化學原材料製造業,石化業
112,S2300401,中國人造纖維股份有限公司高雄總廠,中國人造纖維股份有限公司,	07066907,"395,245.41","15,411.77","410,657.17",100.00%,"410,657.17","410,657.17",100.00%,高雄市,"410,657.17",100.00%,化學原材料製造業,石化業
112,E2300675,亞東工業氣體股份有限公司大社廠,亞東工業氣體股份有限公司,22522453,7.08,"56,369.55","56,376.63",15.81%,"356,607.21","356,607.21",100.00%,高雄市,"56,376.63",15.81%,化學原材料製造業,石化業
112,S1900578,東聯化學股份有限公司高雄林園廠,東聯化學股份有限公司,14057995,"26,542.06","317,216.83","343,758.89",100.00%,"343,758.89","343,758.89",100.00%,高雄市,"343,758.89",100.00%,化學原材料製造業,石化業
112,E5600305,李長榮化學工業股份有限公司高雄廠,李長榮化學工業股份有限公司,39054405,"24,368.18","57,211.81","81,579.99",37.81%,"215,745.08","215,745.08",100.00%,高雄市,"215,745.08",100.00%,化學原材料製造業,石化業
112,S1900676,李長榮化學工業股份有限公司林園廠,李長榮化學工業股份有限公司,39054405,"21,762.63","45,497.32","67,259.95",31.18%,"215,745.08","215,745.08",100.00%,高雄市,"215,745.08",100.00%,化學原材料製造業,石化業
