公司,事業統編,行業大類,2023,2024,2015,2016,2017,2018,2019,2020,2021
東和鋼鐵企業股份有限公司,75280209,鋼鐵業,"600,126.78","545,473.51","724,597.00","661,283.00","709,907.00","858,207.00","795,358.00","805,634.00","891,348.00"
新桃電力股份有限公司,16596337,電力業,"7,002.94","5,430.14","926,146.00","958,021.00","888,689.00","942,891.00","959,354.00","949,312.00","993,985.27"
榮成紙業股份有限公司,34202841,造紙業,"262,149.96","236,648.63","332,640.00","406,903.00","246,717.00","523,695.00","510,882.00","497,515.00","768,858.22"
中華紙漿股份有限公司,94025264,造紙業,"174,235.20","157,121.89","824,317.00","827,213.00","834,904.00","824,296.00","782,328.00","793,318.00","839,443.32"
豐興鋼鐵股份有限公司,55389357,鋼鐵業,"499,394.27","479,450.54","778,414.00","775,548.00","790,756.00","771,274.00","713,996.00","762,531.00","843,168.16"
潤泰精密材料股份有限公司,86871981,水泥業,"47,822.36","47,245.67","673,213.00","745,764.00","652,145.00","578,089.00","644,135.00","595,973.00","565,265.61"
世界先進積體電路股份有限公司,84149358,半導體業,"474,431.02","501,336.99","627,573.00","721,107.00","717,746.00","782,106.00","715,817.00","667,446.00","694,006.75"
永豐餘工業用紙股份有限公司,27719048,造紙業,"22,735.75","24,780.32","527,671.00","514,985.00","541,862.00","712,707.00","725,600.00","745,714.00","686,099.66"
幸福水泥股份有限公司,40601248,水泥業,"37,569.29","35,697.89","715,576.00","694,174.00","650,426.00","594,532.00","644,566.00","672,647.00","608,316.25"
錦州科技股份有限公司,53520959,電力業,"2,776.08","2,520.28","584,184.00","604,751.00","670,566.00","621,396.00","597,227.00","573,651.00","669,575.79"
台灣玻璃工業股份有限公司,11914002,非金屬製品加工業,"212,129.33","202,802.62","665,608.00","673,968.00","717,588.00","651,252.00","743,752.00","661,160.00","745,291.97"
信大水泥股份有限公司,	03279507,水泥業,"40,857.11","32,821.94","671,877.00","593,355.00","532,476.00","505,226.00","527,261.00","605,550.00","618,396.13"
力晶積成電子製造股份有限公司,28112667,半導體業,"533,798.51","614,772.18","110,413.00","118,854.00","127,200.00","128,246.00","116,093.00","628,568.00","673,128.09"
遠東新世紀股份有限公司,	03522600,石化業,"216,517.24","157,949.76","643,730.00","658,667.00","663,405.00","686,857.00","673,927.00","745,917.00","751,602.27"
大園汽電共生股份有限公司,84526079,電力業,"1,825.82","5,445.01","443,298.00","446,352.00","469,169.00","461,025.00","437,263.00","464,492.00","588,943.23"
矽品精密工業股份有限公司,55991080,半導體業,"542,599.02","536,582.23",0.00,0.00,0.00,0.00,0.00,0.00,0.00
三福氣體股份有限公司,11072509,石化業,"553,568.53","554,185.98",0.00,0.00,0.00,0.00,0.00,0.00,0.00
聯亞科技股份有限公司,22099456,石化業,"553,519.49","533,365.38",0.00,0.00,0.00,0.00,0.00,0.00,0.00
日月光半導體製造股份有限公司,76027628,半導體業,"519,628.21","518,610.23",0.00,0.00,0.00,0.00,0.00,0.00,0.00
奇美實業股份有限公司,68387705,石化業,"122,128.14","93,258.77","625,430.00","669,117.00","743,659.00","694,821.00","644,292.00","613,904.00","691,694.09"
欣興電子股份有限公司,23535435,電子業,"512,148.62","533,470.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00
燁聯鋼鐵股份有限公司,23218395,鋼鐵業,"294,245.97","305,517.84","553,965.00","648,670.00","728,857.00","682,538.00","602,505.00","579,293.00","705,756.77"
南亞電路板股份有限公司,16096804,電子業,"439,642.31","422,416.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00
國喬石油化學股份有限公司,	04212250,石化業,"20,354.38","3,253.54","654,081.00","630,979.00","637,046.00","630,190.00","586,970.00","561,832.00","541,040.96"
南亞科技股份有限公司,89390656,半導體業,"373,670.30","370,074.85","265,931.00","290,022.00","390,825.00","434,663.00","461,709.00","464,754.00","435,150.28"
台灣康寧顯示玻璃股份有限公司,	04388145,非金屬製品加工業,"376,432.32","353,115.63","343,357.00","363,496.00","406,884.00","404,233.00","389,791.00","375,913.00","380,174.79"
台灣肥料股份有限公司,	03795101,石化業,"41,432.07","39,439.08",0.00,0.00,0.00,0.00,0.00,0.00,0.00
中國人造纖維股份有限公司,	07066907,石化業,"15,411.77","12,375.67","459,304.00","471,038.00","455,799.00","554,465.00","481,379.00","429,872.00","442,863.97"
義芳化學工業股份有限公司,15395706,石化業,"43,349.56","34,525.38","411,372.00","438,626.00","436,216.00","446,678.00","438,716.00","465,148.00","440,221.29"
華邦電子股份有限公司,22099218,半導體業,"352,997.87","334,705.93","248,437.00","269,975.00","313,177.00","330,106.00","334,696.00","327,493.00","319,910.86"
艾杰旭顯示玻璃股份有限公司,70584724,非金屬製品加工業,"279,959.83","274,354.58","209,432.00","380,314.00","277,166.00","261,841.00","278,446.00","270,545.00","233,902.64"
亞東工業氣體股份有限公司,22522453,石化業,"342,450.57","369,963.28",0.00,0.00,0.00,0.00,0.00,0.00,0.00
旺宏電子股份有限公司,22099548,半導體業,"236,168.91","232,756.54","401,309.00","377,079.00","432,482.00","419,026.00","394,160.00","423,042.00","392,356.83"
慶欣欣鋼鐵股份有限公司,80354671,鋼鐵業,"215,342.11","194,753.33","295,104.00","291,775.00","401,406.00","366,359.00","355,247.00","410,251.00","372,209.60"
東聯化學股份有限公司,14057995,石化業,"317,216.83","291,738.64","320,946.00","340,429.00","342,939.00","347,361.00","326,715.00","332,807.00",0.00
亞東石化股份有限公司,22318678,石化業,"92,237.90","68,688.29","222,307.00","251,720.00","275,805.00","130,947.00","432,144.00","399,123.00","381,691.97"
台灣汽電共生股份有限公司,86685142,電力業,357.66,253.80,"371,166.00","384,523.00","403,012.00","423,524.00","376,991.00","372,734.00","381,999.17"
力成科技股份有限公司,16082267,半導體業,"294,316.02","298,553.83",0.00,0.00,0.00,0.00,0.00,0.00,0.00
華新麗華股份有限公司,35412204,鋼鐵業,"170,154.35","174,952.29","279,751.00","292,324.00","313,900.00","380,560.00","330,399.00","314,914.00","348,952.09"
新光合成纖維股份有限公司,	07435515,紡織業,"180,607.16","177,378.76","313,115.00","315,200.00","315,348.00","283,967.00","269,440.00","256,161.00","291,886.16"
京元電子股份有限公司,22507241,半導體業,"275,643.96","298,090.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00
協勝發鋼鐵廠股份有限公司,79254702,鋼鐵業,"190,747.73","174,113.21","303,877.00","248,989.00","300,709.00","292,615.00","285,645.00","271,769.00","292,153.74"
瀚宇彩晶股份有限公司,16450500,光電業,"249,063.44","195,629.77","339,659.00","344,183.00","381,424.00","359,378.00","366,686.00","376,426.00","371,450.37"
中鴻鋼鐵股份有限公司,	07838854,鋼鐵業,"117,802.42","98,318.30","266,762.00","304,393.00","305,725.00","299,432.00","279,722.00","285,187.00","269,930.86"
威致鋼鐵工業股份有限公司,69771636,鋼鐵業,"162,234.34","167,127.09","208,233.00","277,823.00","327,449.00","313,601.00","279,075.00","272,701.00","311,165.73"
景碩科技股份有限公司,70785139,電子業,"224,539.60","240,295.81",0.00,0.00,0.00,0.00,0.00,0.00,0.00
林園先進材料科技股份有限公司,42818882,石化業,"26,068.95","22,130.14",0.00,0.00,0.00,"217,207.00","216,509.00","256,730.00","285,787.93"
台塑勝高科技股份有限公司,89406518,半導體業,"223,231.51","281,014.17",0.00,0.00,0.00,0.00,0.00,0.00,0.00
南茂科技股份有限公司,16130042,半導體業,"221,132.85","235,796.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00
凌巨科技股份有限公司,16432742,光電業,"83,378.99","80,277.36","66,172.00","278,257.00","338,619.00","251,579.00","195,841.00","182,118.00","248,967.23"
李長榮化學工業股份有限公司,39054405,石化業,"151,712.45","139,410.98","172,194.00","107,490.00","100,181.00","94,792.00","135,772.00",0.00,0.00
力鵬企業股份有限公司,33955322,石化業,"80,863.51","88,687.87","278,928.00","268,667.00","300,009.00","292,458.00","279,556.00","240,551.00","240,707.61"
台灣苯乙烯工業股份有限公司,20844865,石化業,"25,923.75","28,866.10","277,241.00","404,398.00","390,905.00","412,917.00","384,851.00","364,683.00","365,702.76"
榮剛材料科技股份有限公司,84252697,鋼鐵業,"95,988.93","98,020.72","153,951.00","164,096.00","171,837.00","157,630.00","160,191.00","132,852.00","140,964.87"
