年度,公司,事業統編,統編補0,行業分類,行業大類,2020,2021,2022,2023,2024,2025
112,鉅輝鋼鐵股份有限公司,13079654,13079654,金屬結構及建築組件製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,聯成鋼鐵股份有限公司,22822748,22822748,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,燁聯鋼鐵股份有限公司,23218395,23218395,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,尚承鋼鐵股份有限公司,27208480,27208480,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,欣建工業股份有限公司,28042430,28042430,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,易昇鋼鐵股份有限公司,28098406,28098406,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,中國鋼鐵股份有限公司,30414175,30414175,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,華新麗華股份有限公司,35412204,35412204,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,羅東鋼鐵廠股份有限公司,42010509,42010509,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,豐興鋼鐵股份有限公司,55389357,55389357,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,建順煉鋼股份有限公司,55695790,55695790,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,宏全國際股份有限公司,58176511,58176511,其他金屬製品製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,威致鋼鐵工業股份有限公司,69771636,69771636,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,統一實業股份有限公司,73252657,73252657,金屬加工處理業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,東和鋼鐵企業股份有限公司,75280209,75280209,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,唐榮鐵工廠股份有限公司,75460005,75460005,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,海光企業股份有限公司,75470524,75470524,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,漢泰鋼鐵廠股份有限公司,75688109,75688109,其他基本金屬製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,燁輝企業股份有限公司,75947936,75947936,金屬加工處理業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,燁興企業股份有限公司,75992214,75992214,其他金屬製品製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,協勝發鋼鐵廠股份有限公司,79254702,79254702,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
