年度,公司,事業統編,統編補0,行業分類,行業大類,2020,2021,2022,2023,2024,2025
112,遠東氣體工業股份有限公司,22956507,22956507,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,中鋼碳素化學股份有限公司,23221384,23221384,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,泓達化工股份有限公司,23418128,23418128,塑膠及合成橡膠原料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,合興石化工業股份有限公司,23531178,23531178,未分類其他化學製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,三義化學工業股份有限公司,23827741,23827741,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,新科光電材料股份有限公司,27366467,27366467,塑膠製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,藍海氣體工業股份有限公司,28438186,28438186,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,環球橡膠股份有限公司,29058640,29058640,塑膠及合成橡膠原料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣石化合成股份有限公司,30974253,30974253,未分類其他化學製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,金元福包裝企業股份有限公司,34227006,34227006,塑膠製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,國聯矽業化學股份有限公司,36550632,36550632,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,李長榮化學工業股份有限公司,39054405,39054405,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,林園先進材料科技股份有限公司,42818882,42818882,石油及煤製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣普利司通股份有限公司,43031502,43031502,橡膠製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台塑科騰化學有限公司,53667030,53667030,塑膠及合成橡膠原料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,正新橡膠工業股份有限公司,59504506,59504506,橡膠製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,建大工業股份有限公司,59619900,59619900,橡膠製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,奇美實業股份有限公司,68387705,68387705,塑膠及合成橡膠原料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台南紡織股份有限公司,68919301,68919301,人造纖維製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,長興材料工業股份有限公司,75339004,75339004,未分類其他化學製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,勝一化工股份有限公司,75970680,75970680,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣醋酸化學股份有限公司,80087041,80087041,未分類其他化學製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,三芳化學工業股份有限公司,83387850,83387850,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,高雄塑酯化學工業股份有限公司,85803825,85803825,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,信昌化學工業股份有限公司,86120031,86120031,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,遠東先進纖維股份有限公司,89392269,89392269,人造纖維製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台耀化學股份有限公司,96922622,96922622,未分類其他化學製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,南中石化工業股份有限公司,97161348,97161348,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,超豐電子股份有限公司,5126366,05126366,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,敦南科技股份有限公司,23528103,23528103,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,力成科技股份有限公司,16082267,16082267,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,中華凸版電子股份有限公司,16083358,16083358,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,頎邦科技股份有限公司,16130009,16130009,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,南茂科技股份有限公司,16130042,16130042,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,宏捷科技股份有限公司,16130423,16130423,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,合晶科技股份有限公司,16138282,16138282,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,艾克爾國際科技股份有限公司,16631664,16631664,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,艾克爾先進科技股份有限公司,16847968,16847968,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣茂矽電子股份有限公司,22099110,22099110,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣積體電路製造股份有限公司,22099131,22099131,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,元隆電子股份有限公司,22099174,22099174,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,華邦電子股份有限公司,22099218,22099218,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,旺宏電子股份有限公司,22099548,22099548,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣福雷電子股份有限公司,22100242,22100242,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,華東科技股份有限公司,22101116,22101116,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,京元電子股份有限公司,22507241,22507241,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,矽格股份有限公司,23218022,23218022,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,福懋科技股份有限公司,23826736,23826736,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,新唐科技股份有限公司,28112646,28112646,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,力晶積成電子製造股份有限公司,28112667,28112667,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,環球晶圓股份有限公司,28113286,28113286,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,晶成半導體股份有限公司,28114454,28114454,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,晶兆成科技股份有限公司,28438025,28438025,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣美光記憶體股份有限公司,28518076,28518076,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,辛耘企業股份有限公司,30901647,30901647,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,德州儀器工業股份有限公司,33405832,33405832,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣半導體股份有限公司,34286449,34286449,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣通用器材股份有限公司,38119936,38119936,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,聯華電子股份有限公司,47217677,47217677,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,台亞半導體股份有限公司,47255947,47255947,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,盧森堡商達爾國際股份有限公司,51158518,51158518,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,聯穎光電股份有限公司,53170263,53170263,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,漢磊科技股份有限公司,54389725,54389725,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,矽品精密工業股份有限公司,55991080,55991080,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,欣銓科技股份有限公司,70751779,70751779,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,穩懋半導體股份有限公司,70752257,70752257,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,亞太優勢微系統股份有限公司,70815339,70815339,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,日月光半導體製造股份有限公司,76027628,76027628,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣美光晶圓科技股份有限公司,80353271,80353271,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,世界先進積體電路股份有限公司,84149358,84149358,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,矽格聯測股份有限公司,84149456,84149456,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,昇陽國際半導體股份有限公司,84149884,84149884,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣恩智浦半導體股份有限公司,89002500,89002500,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,南亞科技股份有限公司,89390656,89390656,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,台塑勝高科技股份有限公司,89406518,89406518,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
112,鴻揚半導體股份有限公司,90505585,90505585,半導體製造業,半導體業,0.0,0.0,0.0,0.0,0.0,0.0
