管制編號,廠名,公司全名,事業統編,業別,縣市,wgs84經度,wgs84緯度,座標來源,用煤量2020,用煤量2021,用煤量2022,用煤量2023,用煤量2024,用煤量2025
E5600841,中國鋼鐵股份有限公司,中國鋼鐵股份有限公司,30414175,鋼鐵業,高雄市,120.354687,22.529525,ems_s_01,0,0,6709191.552,6018497.828,6193158.943,0
S2201109,台灣塑膠工業股份有限公司仁武廠,台灣塑膠工業股份有限公司,75708007,石化業,高雄市,120.3350783,22.70571112,ems_s_01,272214,432894,772702,896195,900823,914066
S2001314,長春石油化學股份有限公司大發廠,長春石油化學股份有限公司,11384806,石化業,高雄市,120.422382,22.572015,ems_s_01,0,0,179344.8,234530.27,230236.09,0
E2000554,錦州科技股份有限公司大發廠,錦州科技股份有限公司,53520959,石化業,高雄市,120.4256748,22.57481219,ems_s_01,0,0,112643,251518,225284,0
S2100223,中華紙漿股份有限公司久堂廠,中華紙漿股份有限公司,94025264,造紙業,高雄市,120.4202426,22.65979597,ems_s_01,0,161648.41,190902.26,201670.62,202244.24,184461.23
Q7100254,台灣化學纖維股份有限公司新港廠,台灣化學纖維股份有限公司,58650902,石化業,嘉義縣,120.374116,23.52465102,ems_s_01,519542,454113,503794,853300,931216,982165
S2300429,國喬石油化學股份有限公司高雄廠,國喬石油化學股份有限公司,4212250,石化業,高雄市,120.341507,22.721489,ems_s_01,0,0,47709,137443,191366,196732
U9400115,亞洲水泥股份有限公司花蓮製造廠,亞洲水泥股份有限公司,3244509,水泥業,花蓮縣,121.6398407,24.13354031,ems_s_01,0,489192,515975,439508,427140,439823
G3700791,台灣化學纖維股份有限公司龍德廠,台灣化學纖維股份有限公司,58650902,石化業,宜蘭縣,121.814023,24.6254,ems_s_01,0,107341,413274,578370,422106,448510
U0100187,台灣水泥股份有限公司和平分公司和平廠,台灣水泥股份有限公司,11913502,水泥業,花蓮縣,121.7533455,24.2982959,ems_s_01,656125.76,582246.14,532332.12,345648.22,347996.04,378707.22
K6801089,長春石油化學股份有限公司苗栗廠,長春石油化學股份有限公司,11384806,石化業,苗栗縣,120.825312,24.580279,ems_s_01,0,147682.8,428158.33,272107.46,337347.98,418124.93
H4601398,南亞塑膠工業股份有限公司錦興廠,南亞塑膠工業股份有限公司,75370905,石化業,桃園市,121.2848763,25.0535427,OSM 街道級（ems_s_01 座標為 0，以登記地址街道定位）,46459,336437,270390,309234,319759,318575
S1900685,台灣塑膠工業股份有限公司林園廠,台灣塑膠工業股份有限公司,75708007,石化業,高雄市,120.4105883,22.50719182,ems_s_01,0,45008,167346,199261,154378,102155
S2300401,中國人造纖維股份有限公司高雄總廠,中國人造纖維股份有限公司,7066907,石化業,高雄市,120.3389775,22.72602454,ems_s_01,0,157852.74,146729.9,130425.15,120329.75,100544.21
S1900658,台灣苯乙烯工業股份有限公司高雄廠,台灣苯乙烯工業股份有限公司,20844865,石化業,高雄市,120.4068289,22.50862496,ems_s_01,11752.234,118787.113,15575.245,19203.43,76627.875,110419.193
E1901105,台合科技股份有限公司,台合科技股份有限公司,12691423,石化業,高雄市,120.414066,22.500547,ems_s_01,0,17775.507,11806.862,13593.772,30765.762,3743.985
H5200215,永豐餘工業用紙股份有限公司新屋廠,永豐餘工業用紙股份有限公司,27719048,造紙業,桃園市,121.040552,24.979551,ems_s_01,0,62125.38,166653.37,204949.42,192748.58,183096.86
E3000638,長輝事業股份有限公司,長輝事業股份有限公司,97140061,食品業,高雄市,120.2512245,22.87918492,ems_s_01,2661.8,7662.7,7748.7,8069.92,5057.26,0
H4601227,義芳化學工業股份有限公司桃園廠,義芳化學工業股份有限公司,15395706,石化業,桃園市,121.271935,25.106513,ems_s_01,77609.9,150047.8,167011,162488.2,174970.73,168302.81
J5700222,遠東新世紀股份有限公司化學纖維總廠,遠東新世紀股份有限公司,3522600,石化業,新竹縣,121.0650003,24.827628,ems_s_01,167495.51,175309.812,154235.14,109234.508,152563.919,100375.084
G3200778,台灣水泥股份有限公司蘇澳廠,台灣水泥股份有限公司,11913502,水泥業,宜蘭縣,121.8557714,24.58892429,ems_s_01,185548.17,175170.12,170262.92,153286.99,118092.83,151474.86
N14A1507,榮成紙業股份有限公司蒸汽廠,榮成紙業股份有限公司,34202841,造紙業,彰化縣,120.359357,23.872677,ems_s_01,63920.69,112677,126609.47,110726.68,106397.8,109646.07
G4100017,幸福水泥股份有限公司東澳廠,幸福水泥股份有限公司,40601248,水泥業,宜蘭縣,121.8294645,24.51673398,ems_s_01,95875.05,91084.29,88057.06,97473.645,98185.6,117084.49
G37A0585,潤泰精密材料股份有限公司宜蘭冬山廠,潤泰精密材料股份有限公司,86871981,水泥業,宜蘭縣,121.782193,24.625286,ems_s_01,88480,82652,41402,93926.4,83902,48150
N1400562,榮成紙業股份有限公司,榮成紙業股份有限公司,34202841,造紙業,彰化縣,120.3628122,23.87611396,ems_s_01,0,23374.32,91364.91,100831.62,82980.56,82390.23
H4700645,正隆股份有限公司大園廠,正隆股份有限公司,33085508,造紙業,桃園市,121.1790104,25.07102427,ems_s_01,0,84561.576,83313.719,87038.764,78589.736,76687.52
G3200849,信大水泥股份有限公司南聖湖廠,信大水泥股份有限公司,3279507,水泥業,宜蘭縣,121.825172,24.612066,ems_s_01,19581,88414,74086,87606,69014,75617
J5901658,長春人造樹脂廠股份有限公司新竹廠,長春人造樹脂廠股份有限公司,11384708,石化業,新竹縣,121.005723,24.866001,ems_s_01,0,0,66903.7,60585.7,55972.2,60509.6
V7500777,中華紙漿股份有限公司台東廠,中華紙漿股份有限公司,94025264,造紙業,臺東縣,121.095356,22.77377,ems_s_01,0,0,24610.98,47272.11,47952.3,18642.3
N2904318,力鵬企業股份有限公司彰化尼龍總廠,力鵬企業股份有限公司,33955322,石化業,彰化縣,120.354142,23.921896,ems_s_01,2996.13,15271.71,21673.27,34979.9,37763.33,32066.65
R0500240,宏遠興業股份有限公司,宏遠興業股份有限公司,22817999,紡織業,臺南市,120.3406679,23.1147826,ems_s_01,0,21900,31666,30314.1,36609.14,27738.63
H4500458,力鵬企業股份有限公司楊梅廠,力鵬企業股份有限公司,33955322,石化業,桃園市,121.157451,24.954811,ems_s_01,3859.21,36072.6,37929.94,31783.06,30757.11,26053.5
N1607141,台灣鋼聯股份有限公司,台灣鋼聯股份有限公司,89528054,石化業,彰化縣,120.452788,24.155801,ems_s_01,0,4700.3,15223.3,26570.4,26843,26226.5
H5300210,遠東新世紀股份有限公司觀音化學纖維廠,遠東新世紀股份有限公司,3522600,石化業,桃園市,121.1199239,25.0641652,OSM 街道級（ems_s_01 座標為 0，以登記地址街道定位）,0,32688.21,49604.96,28898.79,25432.95,27602.21
H4601290,台硝股份有限公司桃園廠,台硝股份有限公司,38033305,石化業,桃園市,121.275696,25.108322,ems_s_01,7002,20747,21175,19647,21562,24489
J5500366,正隆股份有限公司竹北廠,正隆股份有限公司,33085508,造紙業,新竹縣,120.963339,24.85987,ems_s_01,0,26949.241,27220.254,13521.507,17706.509,19162.864
H5100952,新光合成纖維股份有限公司中壢廠,新光合成纖維股份有限公司,7435515,紡織業,桃園市,121.2021713,24.93849786,ems_s_01,0,9688,16118,17888,16778,6469.55
H4202215,新隆纖維染整股份有限公司桃園廠,新隆纖維染整股份有限公司,7472834,紡織業,桃園市,121.3039389,25.02771633,ems_s_01,3685.6,14359.6,19133.4,18068,16557.2,16115.4
N2902234,力麗企業股份有限公司彰化化纖總廠,力麗企業股份有限公司,7663290,石化業,彰化縣,120.354819,23.924313,ems_s_01,0,14057.02,27993.15,22365.4,15427.8,6791.45
K8000366,立安東化工股份有限公司三義廠,立安東化工股份有限公司,20939460,石化業,苗栗縣,120.7668365,24.34398377,ems_s_01,33058.83,27791.64,8162.01,1734.56,15386.27,22341.33
Q76A0767,曜智實業股份有限公司嘉義廠,曜智實業股份有限公司,12617727,紡織業,嘉義縣,120.3595341,23.5085192,ems_s_01,0,0,6492.52,12020.01,13314.71,10545.84
H45A1887,永豐餘消費品實業股份有限公司楊梅廠,永豐餘消費品實業股份有限公司,22327037,造紙業,桃園市,121.151286,24.947302,ems_s_01,0,0,11078.665,12286.63,13072.47,9651.795
H53A6138,東齊染整股份有限公司,東齊染整股份有限公司,54796568,紡織業,桃園市,121.129391,25.005451,ems_s_01,0,0,6953.65,11140.6,12439.9,11804.9
H4602313,環泰企業股份有限公司南崁廠,環泰企業股份有限公司,12529007,食品業,桃園市,121.272854,25.055417,ems_s_01,0,0,2881.48,12125.85,11842.76,11135.64
R0300606,得力實業股份有限公司,得力實業股份有限公司,73686632,紡織業,臺南市,120.29552,23.084781,ems_s_01,0,13894.36,22349.35,17407.85,11497.76,454.78
H42A3066,臺群工業股份有限公司,臺群工業股份有限公司,25049986,紡織業,桃園市,121.2786987,25.02601158,ems_s_01,0,0,2348.17,10509.27,11261.34,10387.34
H5300363,銓盟企業股份有限公司,銓盟企業股份有限公司,23313356,紡織業,桃園市,121.134944,24.985328,ems_s_01,0,3985.73,10965.36,12198.98,10946.55,12031
H4605609,東明纖維工業股份有限公司蘆竹廠,東明纖維工業股份有限公司,7205416,紡織業,桃園市,121.2780567,25.07053396,ems_s_01,0,3135.86,7488.9,8005.92,9966.13,8786.02
H47A0889,連大興有限公司,連大興有限公司,80445899,紡織業,桃園市,121.184654,25.076788,ems_s_01,0,0,6547.97,9637.55,9786.05,9446.02
H4504705,紘楷股份有限公司,紘楷股份有限公司,70738116,紡織業,桃園市,121.128966,24.92994899,ems_s_01,0,0,8967.74,7322.2,9332.8,9753.659
H5302107,東欣實業股份有限公司,東欣實業股份有限公司,89356756,紡織業,桃園市,121.128533,25.050331,ems_s_01,2121.86,2820.43,8199.4,6322.94,8619.08,9217.45
H4204264,翔新企業股份有限公司桃園廠,翔新企業股份有限公司,84570243,紡織業,桃園市,121.3275837,24.98013003,ems_s_01,0,0,3133.99,3754.61,8293.05,7169.93
H4814797,香榮實業股份有限公司,香榮實業股份有限公司,13035951,紡織業,桃園市,121.3284914,24.98259098,ems_s_01,2667.33,10467.28,10440.5,8651.14,8259.9,7927.53
S2005081,長春人造樹脂廠股份有限公司大發廠,長春人造樹脂廠股份有限公司,11384708,石化業,高雄市,120.424832,22.57486571,ems_s_01,0,0,95914.5,2623.2,1503,0
N1601854,獻麒紡織工業股份有限公司,獻麒紡織工業股份有限公司,22474430,紡織業,彰化縣,120.5067152,24.17168818,ems_s_01,0,9147.13,10877.13,7789.85,7764.63,8319.4
E2902704,環球水泥股份有限公司路竹石膏板廠,環球水泥股份有限公司,7568009,水泥業,高雄市,120.2823773,22.8793968,OSM 街道級（ems_s_01 座標為 0，以登記地址街道定位）,0,0,0,10.52,86.748,0
P5802421,台塑石化股份有限公司麥寮一廠,台塑石化股份有限公司,86522210,石化業,雲林縣,120.217602,23.79862,ems_s_01,4106368,4972018,4415770,4590816,4699568,5289194
O1702523,正隆股份有限公司新竹廠,正隆股份有限公司,33085508,造紙業,新竹市,120.946009,24.799985,ems_s_01,2319.126,8524.138,7127.978,7326.338,6480.065,6195.596
H4604488,環球水泥股份有限公司海湖石膏板廠,環球水泥股份有限公司,7568009,水泥業,桃園市,121.261583,25.106837,ems_s_01,1472.44,5602.2,2436.66,5315.12,6327.49,3798.75
K7101248,廣源造紙股份有限公司,廣源造紙股份有限公司,50301500,造紙業,苗栗縣,120.87778,24.70214094,ems_s_01,4989.73,7623.52,6199.4,5568.386,5449.2,4037.75
H5300425,錦美紙業股份有限公司觀音廠,錦美紙業股份有限公司,34175598,造紙業,桃園市,121.1300933,25.05866834,ems_s_01,0,2678,9698.2,9125.6,5362,7365.17
