基本資料,基本資料,基本資料,基本資料,基本資料,基本資料,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,碳費衝擊,碳費衝擊,碳費衝擊,碳費衝擊,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,策略與行動,策略與行動,策略與行動,策略與行動,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024
03244509,1102,亞洲水泥股份有限公司,亞泥,水泥業,花蓮縣,3073716.446,2481182.99,148714.1251,98847,3379,NA,95446,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,922.1149338,0.07464350615,,,2050,相較 2019 基準年，於 2030 年減量（百分比未揭露）,資料不足,2019,2030,,,3032583,是,否,"使用生質或低碳排係數燃料取代傳統化石燃料。推估減少10,495噸煤碳。無實際作為。",無實際作為,有提供,0.8811,電力: 1093 TJ; 煤炭: 9895 TJ; 柴油: 42 TJ; 汽油: 0.8 TJ; 重油: 11 TJ; 替代燃料: 650 TJ;,441000000,42/164,0.001,4466,未達成 / 未說明,自發自用、轉供,NA,0.01,0.04627476664,3162727,3073593.905,3073716.446,35.00895938,38.33233491,40.28596085,2102196389,1975655000,441000000,,,4466,645932,439508,427140
11384806,1764,長春石油化學股份有限公司,長春石化,石化業,苗栗縣,3131951.993,1487363.36,1143328.751,5232000,,,,,,,,,,,,,,,,939.5855979,0.1419192302,,,2050,相較 2021 基準年，於 2030 年減量 30%,相較 2019 基準年，於 2030 年增加 75.6%,2021,2030,0.3,7516000,2995424,否,否,汰換燃煤鍋爐改用天然氣，評估導入氫能與氨能，設置生質燃料鍋爐。預計到 2030 年每年煤炭用量將減少 55 萬噸，規劃將汽電廠燃料由煤炭轉為天然氣。供應商碳排係數下降、推動綠色採購、運輸供應商管理。,供應商碳排係數下降、推動綠色採購、運輸供應商管理,有提供,57400000000,煤: 26355559 GJ; 外購蒸汽: 14253126 GJ; 外購電力: 10487452 GJ; 天然氣: 3807755 GJ; 再生能源: 523130 GJ; 重油/燃料油: 383577 GJ; 柴油: 52019 GJ; 車用汽油: 556 GJ;,4010025000,11/164,0.0349,6887,未達成 / 未說明,自發自用（太陽光電、沼氣、水力）、購電協議（離岸風電、陸域風電）,,0.015,0.1378964163,3470703,3355183.442,3131951.993,19.18706085,31.73091733,29.20125069,,,4010025000,,,6887,607503.13,506637.73,567584.07
12800225,3481,群創光電股份有限公司,群創,光電業,台南市,2477144.144,73697.01,2305279.789,2876000,2322000,NA,444000,5000,13000,3000,24000,NA,9000,NA,NA,NA,NA,NA,56000,743.1432432,淨利為負值,,,NA,相較 2020 基準年，於 2030 年減量 25%,相較 2019 基準年，於 2030 年減量 18.1%,2020,2030,0.25,3398000,3110748,是,否,低碳製程轉型、供應商參與減碳、資源循環回收。,低碳製程轉型、供應商參與減碳、資源循環回收,有提供,NA,電力: 17060938 GJ; 天然氣: 494553 GJ; 柴油: 20124 GJ;,4349978815,8/164,0.0128,85840,未達成 / 未說明,自發自用、購電協議,0.2,0.01,-0.03097230327,2937172,2952451.882,2477144.144,13.12903492,13.94372398,11.44125015,5210589522,5120762358,4349978815,,,85840,0,0,0
84149738,2409,友達光電股份有限公司,友達,光電業,台中市,1950003.712,47817.45,1921049.565,4631035.07,930953.5,463972.76,412424.88,166477.55,22201.3,1423.1,17537.92,0,13920.46,40810.7,2422521.74,NA,106758.04,NA,32033.11,585.0011136,淨利為負值,,,2050,相較 2021 基準年，於 2030 年減量 42%,相較 2019 基準年，於 2030 年減量 37.1%,2021,2030,0.42,2920400,2692689,是,是,原物料減碳、原燃物料減碳、產品使用能耗改善。,原物料減碳、原燃物料減碳、產品使用能耗改善,有提供,0.347,外購電力: 15582321.46 GJ; 天然氣: 641245.97 GJ; 柴油: 56177.87 GJ; 液化石油氣: 16533.88 GJ; 外購蒸氣: 35297.21 GJ; 汽油: 983.30 GJ,4307008.95,161/164,0.0667,524000,已達成,自發自用、再生能源購售電合約 (CPPA)、綠電憑證,0.3,0.3,-0.0751648203,2262801,2235582.732,1950003.712,9.168833756,9.01573935,6.958200084,4452214890,4557567560,4307008.95,,,524000,0,0,0
47217677,2303,聯華電子股份有限公司,聯電,半導體業,台南市,1491934.344,247585.11,1196742.427,1713507,656013,424251,370697,52229,31025,3255,11652,NA,3267,NA,NA,NA,9418,NA,151700,447.5803032,0.006128079086,,,2050,相較 2020 基準年，於 2030 年減量 42%,相較 2019 基準年，於 2030 年減量 0.2%,2020,2030,0.42,2883000,1676095,是,是,承諾2050年100%採用再生能源(RE100)，並持續推動電氣化取代天然氣設備。原物料碳足跡盤查及減量、推動低碳供應鏈專案、降低非必要的資本支出。,原物料碳足跡盤查及減量、推動低碳供應鏈專案、降低非必要的資本支出,有提供,0.823,外購電力: 3218294 MWh; 再生能源: 665254 MWh; 天然氣: 230382 MWh; 柴油、液化石油氣等其他外購能源: 15777 MWh;,3218294000,13/164,0.171,14000,未達成 / 未說明,自發自用太陽光電、外購再生能源（如綠電採購協議）、再生能源憑證,0.5,0.3,,1519872,1554671.523,1491934.344,5.453330799,6.986251581,6.422375155,2800837000,2863241000,3218294000,,,14000,0,0,0
12233428,1766,大連化學工業股份有限公司,大連化工,石化業,雲林縣,1586877.567,158565.95,1193469.859,,,,,,,,,,,,,,,,,476.0632701,0.9722240869,,,,未規劃 / 資訊不足,資料不足,,,,,1756017,否,否,,,未提供,,,,無資料,,,未達成 / 未說明,,,,,823830,1005441.298,1586877.567,7.96961102,21.20220323,37.35959154,,,,,,,0,0,0
33085508,1904,正隆股份有限公司,正隆,造紙業,台中市,1343835.115,1070014.22,222145.9232,376792.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.1505345,0.3981593369,,,2050,相較 2018 基準年，於 2030 年減量 20%,,2018,2030,0.2,NA,1332729,否,否,擴大SRF與生質能應用，推動汽電鍋爐使用天然氣。目標2030年替代燃料比例25%。供應商碳盤查輔導、綠色採購、低碳物流。,供應商碳盤查輔導、綠色採購、低碳物流,有提供,0.5293,煤炭: 9449230 GJ; 外購電力: 1349900 GJ; 生質燃料: 521144 GJ; SRF: 996162 GJ; 木屑: 338483 GJ; 重油: 21958 GJ; 漿紙污泥: 32018 GJ; 廢輪胎: 24628 GJ;,374972222,48/164,0.0004,12056.3,已達成,自發自用、再生能源憑證,NA,0.01,0.03273116066,1336282,1414034.144,1343835.115,30.42416728,33.53536227,29.74554928,432782568,409202272,374972222,12056.3,12056.3,12056.3,461672.721,406131.539,381977.68
28518076,非上市櫃公司,台灣美光記憶體股份有限公司,無簡稱,半導體業,台中市,1135953.481,194666.78,995024.3288,,,,,,,,,,,,,,,,,340.7860443,無法計算,,,2050,相較 2020 基準年，於 2030 年減量 42%,相較 2019 基準年，於 2030 年增加 242.6%,2020,2030,0.42,3047919,515973,否,否,逐步淘汰鍋爐改用熱泵、實施電氣化。要求供應商揭露範疇三排放、將GHG排放納入採購決策、舉辦供應商研討會分享減碳專案。,要求供應商揭露範疇三排放、將GHG排放納入採購決策、舉辦供應商研討會分享減碳專案,有提供,,外購非再生電力: 8384845 MWh; 外購再生電力: 783604 MWh; 燃料: 2436577 MWh; 外購冷卻: 107832 MWh; 外購蒸汽: 79669 MWh; 現場再生電力: 270 MWh;,9168449000,5/164,0.09,11600,未達成 / 未說明,綠色費率、實體與虛擬購電協議(PPA)、再生能源憑證(REC)、現場太陽能,1,,,803355,1002502.019,1135953.481,,,,8543033000,8785039000,9168449000,,,11600,0,0,0
11384708,1765,長春人造樹脂廠股份有限公司,長春樹脂,石化業,高雄市,1372391.039,305352.45,845766.6819,,,,,,,,,,,,,,,,,411.7173117,0.055575,,,,未規劃 / 資訊不足,資料不足,,,,,1375369,否,否,,,未提供,,,,無資料,,,未達成 / 未說明,,,,,1413656,1528029.378,1372391.039,9.406818955,13.86184349,11.71750201,,,,,,,162818.2,63208.9,57475.2
80353271,非上市櫃公司,台灣美光晶圓科技股份有限公司,無簡稱,半導體業,桃園市,1113108.33,100701.33,877477.7754,,,,,,,,,,,,,,,,,333.932499,無法計算,,,,未規劃 / 資訊不足,資料不足,,,,,1193957,否,否,,,未提供,,,,無資料,,,未達成 / 未說明,,,,,1363934,1163252.216,1113108.33,,,,,,,,,,0,0,0
03084741,1314,中國石油化學工業開發股份有限公司,中石化,石化業,高雄市,1027986.884,683822.66,184782.9718,1356334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.3960652,無法計算,,,2050,相較 2005 基準年，於 2030 年減量 50%,相較 2019 基準年，於 2030 年減量 43.6%,2005,2030,0.5,2450918,2174634,否,否,能源轉型與製程改善。汽電工場轉型專案。,NA,有提供,0.16,天然氣: 1312705234 MJ; 外購電力: 880323480 MJ; 外購蒸汽: 721267626 MJ; 煤: 180205094 MJ; 液化石油氣: 242918 MJ; 重油/燃料油: 20725862 MJ; 柴油: 2507976 MJ; 汽油: 149324 MJ;,253028,163/164,0.0037,3367,已達成,自發自用,NA,0.01,-0.2316174767,1078055,1946894.458,1027986.884,43.07430998,73.70620643,34.91545322,265035000,263766000,253028,,,3367,0,1719.235,7083.89
75280209,2006,東和鋼鐵企業股份有限公司,東和鋼鐵,鋼鐵業,桃園市,792716.9,211659.49,600126.7845,1584014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.81507,0.04551311079,,,2050,相較 2005 基準年，於 2030 年減量 30%,相較 2019 基準年，於 2030 年減量 18.1%,2005,2030,0.3,831012,709907,否,否,高雄廠-大業加熱爐改用天然氣取代低硫燃料油。與供應商簽署協同減碳協議書、舉辦溫室氣體減碳說明會及盤查工作坊、將氣候相關責任納入供應廠商評估基準表。,與供應商簽署協同減碳協議書、舉辦溫室氣體減碳說明會及盤查工作坊、將氣候相關責任納入供應廠商評估基準表,有提供,NA,"電力: 4,139,621 GJ; 天然氣: 44,552,165 立方公尺; 柴油: 1,952,133 公升; 汽油: 26,164 公升; 液化石油氣: 947,361 公斤; 外購再生能源: 131,435 GJ;",1149894723,24/164,0.0308,28486,已達成,購電協議、轉供,0.3,NA,0.01958030868,805634,891348.001,792716.9,13.4334752,14.62139277,13.17615377,,,1149894723,,,28486,0,0,0
34202841,1909,榮成紙業股份有限公司,榮成,造紙業,彰化縣,879171.896,465175.31,262149.9648,1196371.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.7515688,淨利為負值,,,NA,相較 2022 基準年，於 2030 年減量 20%,相較 2019 基準年，於 2030 年增加 746.7%,2022,2030,0.2,2611211.916,246717,否,否,綠色包裝廠鍋爐全面改用天然氣，造紙廠導入生質能鍋爐與SRF鍋爐。規劃中，持續提升鍋爐效率減少煤炭用量，並導入生質能鍋爐取代燃煤。執行綠色採購、主要供應商簽署環保承諾、推動廢棄物資源再利用。,執行綠色採購、主要供應商簽署環保承諾、推動廢棄物資源再利用,有提供,NA,煤炭: 1007018.77 噸; 外購電力: 426490.53 千度; 天然氣: 93901.40 GJ; 重油柴油: 1059 公秉;,426490530,45/164,0.0033,8212.16,未達成 / 未說明,自發自用,NA,NA,0.08271140205,497515,768858.219,879171.896,9.392674924,16.45953377,18.39281984,1624237650,1792355760,426490530,,,8212.16,250718.91,211558.3,235807.28
94025264,1905,中華紙漿股份有限公司,華紙,造紙業,高雄市,766444.55,555959.22,174235.1976,26780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.933365,淨利為負值,,,2050,相較 2018 基準年，於 2030 年減量 30%,相較 2019 基準年，於 2030 年減量 14.5%,2018,2030,0.3,1020000,834904,是,否,減少石化燃料，電力結構中替代燃料占比達30%以上；大使用替 代能源 （含生質能質能、 SRF、太陽能等）。擴大使用替代能源(生質能、SRF)取代燃煤。,NA,有提供,0.436,木質素黑液: 7343792 GJ; 化石燃料(煤油氣): 7990220 GJ; 外購電: 1316787 GJ; 廢木材樹皮紙漿污泥: 706743 GJ; SRF固體燃料: 355629 GJ; 廢橡膠: 15748 GJ; 太陽能: 8329 GJ;,366000000,49/164,0.2928,1997,未達成 / 未說明,自發自用、再生能源憑證,0.6,NA,,793318,839443.322,766444.55,33.54250023,40.0584708,36.90590792,,,366000000,21997,21997,1997,215513.24,261555.38,250196.54
55389357,2015,豐興鋼鐵股份有限公司,豐興,鋼鐵業,台中市,736173.568,181292.11,499394.2676,119844.48,NA,NA,117343,NA,2501.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.8520704,0.08483389364,,,2050,相較 2018 基準年，於 2030 年減量 25%,相較 2019 基準年，於 2030 年減量 26.8%,2018,2030,0.25,771274,790756,否,否,推動燃料轉換，如將加熱爐燃料由重油改為天然氣。,NA,有提供,NA,電力: 3613352.76 GJ; 天然氣: 1191712.69 GJ; 柴油: 25358.32 GJ; 再生能源: 54986.26 GJ;,1003709101,25/164,0.0113,18700,已達成,自發自用、再生能源憑證,NA,0.01,0.04737433298,762531,843168.161,736173.568,19.75216688,24.17199716,21.41326479,1031462400,1012040575,1003709101,,,18700,0,0,0
86871981,8463,潤泰精密材料股份有限公司,潤泰材,水泥業,宜蘭縣,602892.895,589798.8,47822.3616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.8678685,0.9234452809,,,,相較 2023 基準年，於 2030 年減量 15%,相較 2019 基準年，於 2030 年減量 11.4%,2023,2030,0.15,679669.5348,652145,否,否,建立SRF資料庫與投入量產，增加替代燃料使用比例。透過SRF替代燃料降低煤炭使用量，目標替代預熱器煤粉使用量15%以上。,NA,有提供,0.3535,電力: 104819357.4 度; 煤炭: 95380 噸; 柴油: 230221 公升; 汽油: 3422 公升; 液化石油氣: 3098.98 GJ; 天然氣: 419.60 m³; 重油: 1221500 公升;,104819357.4,98/164,0,NA,未達成 / 未說明,自發自用,NA,0.01,-0.2124632722,595973,565265.61,602892.895,140.2561674,102.7592734,90.41986492,86324172,99834271,104819357.4,,,NA,41402,93926.4,190760
84149358,5347,世界先進積體電路股份有限公司,世界,半導體業,桃園市,695440.873,225714.99,474431.0243,228828.73,106906.79,NA,90196.42,1375.53,3148.69,72.61,26451.71,NA,676.99,NA,NA,NA,NA,NA,NA,208.6322619,0.02166647562,,,2050,相較 2021 基準年，於 2030 年減量 45%,相較 2019 基準年，於 2030 年減量 27.5%,2021,2030,0.45,946000,717746,否,是,鼓勵供應商完成ISO查證、輔導供應商進行減碳、採用低碳原物料。,鼓勵供應商完成ISO查證、輔導供應商進行減碳、採用低碳原物料,有提供,0.67,外購電力(灰電): 969582 千度; 再生能源(綠電): 12175 千度; 天然氣: 27831 千度當量; 柴油: 55 千度當量; 蒸氣: 2471 千度當量;,981757501,27/164,0.012,272,未達成 / 未說明,自發自用、再生能源憑證,1,0.01,0.09496974299,667446,694006.75,695440.873,12.91140166,18.13326751,15.78582749,,,981757501,,,272,0,0,0
27719048,非上市櫃公司,永豐餘工業用紙股份有限公司,無簡稱,造紙業,桃園市,561924.311,515705.75,22735.7508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.5772933,無法計算,,,2050,相較 2021 基準年，於 2030 年減量 16%,相較 2019 基準年，於 2030 年增加 299.1%,2021,2030,0.16,2574291,541862,否,是,2050年淨零排放，能源結構轉型以替代燃料代煤為核心。以替代燃料代煤為核心，提高替代燃料比例，回應脫煤倡議。,NA,有提供,NA,外購能源: 2790388 GJ; 化石燃料: 20004035 GJ; 替代燃料: 3068675 GJ; 生質能源: 8939741 GJ; 太陽能: 15554 GJ;,670341305,31/164,0.1,25200,已達成,自發自用、再生能源憑證,0.6,0.015,,745714,686099.658,561924.311,,,,,,670341305,,,25200,166653.37,204949.42,192748.58
