基本資料,基本資料,基本資料,基本資料,基本資料,基本資料,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,排放概況,碳費衝擊,碳費衝擊,碳費衝擊,碳費衝擊,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,承諾目標,策略與行動,策略與行動,策略與行動,策略與行動,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,能源與再生能源,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024,趨勢數據 2022-2024
統一編號,公司代號,公司全稱,公司簡稱,行業大類,縣市別,2024 碳排放量 (範疇一+二),2024 範疇一量,2024 範疇二量,2024 範疇三排放量,Scope 3 類別 1 (購買商品或服務),Scope 3 類別 2 (資本商品),Scope 3 類別 3 (燃料與能源相關活動),Scope 3 類別 4 (上游運輸和配送),Scope 3 類別 5 (營運廢棄物),Scope 3 類別 6 (商務旅行),Scope 3 類別 7 (員工通勤),Scope 3 類別 8 (上游租賃資產),Scope 3 類別 9 (下游運輸和配送),Scope 3 類別 10 (銷售產品的加工),Scope 3 類別 11 (使用銷售產品),Scope 3 類別 12 (銷售產品廢棄處理),Scope 3 類別 13 (下游租賃資產),Scope 3 類別 14 (特許經營),Scope 3 類別 15 (投資),預估碳費（每噸300元）百萬元,佔淨利（%）,EPS 影響,屬高碳洩漏風險者,淨零目標規劃年份,中期減量規劃,（校正）中期減量規劃,中期減量基準年,中期減量目標年,中期減量目標值（%）,基準年排放量,2019 排放量,中期目標是否取得SBT認證,是否取得RE100認證,關鍵減量策略,範疇三減量實際作為,是否生產支持轉型至低碳經濟之產品/服務,支持轉型至低碳經濟產品營收占比,2024年能源使用構成,總用電量_2024,範疇二用電排名,實際再生能源使用比例 (2024),再生能源裝置容量,是否達成政府用電大戶再生能源建置義務,再生能源使用來源,再生能源目標比例（%）,年節電率目標,能效進步率_2022_2024,總碳排放量_2022,總碳排放量_2023,總碳排放量_2024,碳強度_2022,碳強度_2023,碳強度_2024,總用電量_2022,總用電量_2023,總用電量_2024,再生能源裝置量_2022,再生能源裝置量_2023,再生能源裝置量_2024,燃煤使用量_2022,燃煤使用量_2023,燃煤使用量_2024
86522210,6505,台塑石化股份有限公司,台塑化,石化業,雲林縣,24467046.58,23207725.54,229853.7525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7340.113973,0.3313173294,,,2050,相較 2007 基準年，於 2030 年減量 28%,相較 2019 基準年，於 2030 年減量 15.9%,2007,2030,0.28,31820000,27252561,否,否,評估朝向低(零)碳能源轉型，發展氫能、氨能、SAF及碳捕捉利用封存技術。評估以生質能燃料或其他低碳燃料取代燃煤電廠部分煤用量。,NA,未提供,NA,非再生能源: 351638000000 MJ; 再生能源: 4900000 MJ;,2466400000,16/164,0.00055,1204,未達成 / 未說明,自發自用,NA,0.01,0.09811174834,25633761,26680814.96,24467046.58,30.22676312,37.44275375,36.85778414,,,2466400000,,,1204,8141516,7875820,7790821
30414175,2002,中國鋼鐵股份有限公司,中鋼,鋼鐵業,高雄市,19630736.16,17586099.74,1257852.431,11036798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5889.220848,1.530614691,,,2050,相較 2018 基準年，於 2030 年減量 25%,相較 2019 基準年，於 2030 年減量 22.3%,2018,2030,0.25,22100460,21321686,否,否,透過鋼化聯產、氫能冶金與碳捕捉技術，於2050年達成碳中和。規劃透過高爐噴氫取代噴煤、全氫能冶煉製程來減少/替代燃煤使用。產品碳足跡盤查、廢棄物資源化。,產品碳足跡盤查、廢棄物資源化,有提供,NA,煤炭: 177098607 GJ; 天然氣: 10172297 GJ; 柴油: 94706 GJ; 汽油: 4282 GJ; 低硫燃料油: 89958 GJ; 外購電力: 8923840 GJ;,2478844446,15/164,0.0136,62000,未達成 / 未說明,自發自用、再生能源憑證,NA,0.015,0.08019646277,19586586,22325532.98,19630736.16,43.56762115,61.44757706,54.44879771,2775567222,2557876389,2478844446,,,62000,0,0,0
22099131,2330,台灣積體電路製造股份有限公司,台積電,半導體業,台中市,11085995.68,1574757.54,10130173.7,8223173,5656384,NA,2458773,1427,58775,3302,40017,NA,1211,NA,NA,NA,3284,NA,NA,3325.798704,0.003811299925,,,2050,相較 2020 基準年，於 2030 年減量（百分比未揭露）,資料不足,2020,2030,,9648694,6633853,否,是,成立供應鏈碳管理平台、推動供應鏈減碳行動策略、要求供應商簽署減排協議。,成立供應鏈碳管理平台、推動供應鏈減碳行動策略、要求供應商簽署減排協議,有提供,NA,電力: 255.5 億度(約); 天然氣: 19.2 億度 (約); 柴油: 0.2 億度 (約);,21944000000,4/164,0.141,15912,已達成,自發自用、購電協議、再生能源憑證,0.6,NA,-0.0346429344,9375966,10123691.97,11085995.68,4.141526598,4.683130926,3.830275435,21086000000,23222000000,21944000000,5805,7269,15912,0,0,0
84613756,2048,中龍鋼鐵股份有限公司,中龍鋼鐵,鋼鐵業,台中市,8970700.004,8791141.3,161898.0435,1384100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2691.210001,淨利為負值,,,2050,相較 2018 基準年，於 2030 年減量 25%,相較 2019 基準年，於 2030 年減量 13.9%,2018,2030,0.25,11298510,9840746,否,否,2050年邁向碳中和，導入全氫能冶煉製程，使用無碳燃料。2050年邁向碳中和，規劃無碳燃料。上游原料運輸與配送、貨物下游運輸和配送、商務旅行。,上游原料運輸與配送、貨物下游運輸和配送、商務旅行,有提供,NA,電力: 3909398 GJ; 天然氣: 2227009 GJ; 柴油: 28996 GJ; 汽油: 2775 GJ; 煤炭: 92719503 GJ; 洗油: 20371 GJ;,6512876394,6/164,0.0021,11857,已達成,自發自用、再生能源憑證,NA,0.015,0.09069394347,9142275,9612038.483,8970700.004,82.56448038,107.3081537,109.3588619,2722822931,2512375602,6512876394,,,11857,0,0,0
75708007,1301,台灣塑膠工業股份有限公司,台塑,石化業,雲林縣,8048723.834,3454584.9,4587923.161,12023680,3469669,29059,1019199,684424,2983,2880,6180,NA,1113676,2214949,NA,4393,NA,NA,3476268,2414.61715,0.3242167138,,,2050,相較 2020 基準年，於 2030 年減量 40%,相較 2019 基準年，於 2030 年減量 36.9%,2020,2030,0.4,8635000,8208337,是,否,燃煤朝向低(零)碳能源轉型。2025年仁武廠非夏月停一部燃煤機組。循環經濟回收再生、推動低碳物流、綠色採購。,循環經濟回收再生、推動低碳物流、綠色採購,有提供,0.198,外購電力: 15978736 GJ; 外購蒸汽: 7920314 GJ; 燃料: 35340917 GJ;,4438537778,7/164,0.00027,499,未達成 / 未說明,自發自用、與台朔重工聯合設置風力發電,0.02,0.05,0.1066146924,7933829,7911813.999,8048723.834,31.52756774,39.7301526,40.23550226,6579307383,6278621997,4438537778,0,0,499,940048,1095456,1180546
58650902,1326,台灣化學纖維股份有限公司,台化,石化業,雲林縣,7693238.619,4913084.85,2896090.766,11518905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2307.971586,0.3075135949,,,2050,相較 2020 基準年，於 2030 年減量 25%,相較 2019 基準年，於 2030 年減量 27.3%,2020,2030,0.25,8540000,8809089,是,否,持續推動鍋爐燃油改燃氣，並積極尋找氫能、氨能、生質能等低碳能源轉型。119年(2030)目標比2020年減碳量813千噸。推動內部碳定價機制、制定高碳排設備採購案件設備選用分析表、優先採購綠色標章產品。,推動內部碳定價機制、制定高碳排設備採購案件設備選用分析表、優先採購綠色標章產品,有提供,0.0046,企業內購電力: 5784258 GJ; 外購電(台電): 343661 GJ; 燃氣: 27406281 GJ; 燃油: 210581 GJ; 燃煤: 32479728 GJ; 企業內購蒸汽: 14797664 GJ;,1702199722,18/164,0.006549,42195,未達成 / 未說明,自建太陽能發電及水力發電設備（自發自用）,0.05,NA,0.03549781061,8327357,8480572.31,7693238.619,21.92006407,25.49631476,22.06847812,2078561944,1733244722,1702199722,,38398,42195,926522,1431670,1353322
03707901,1328,台灣中油股份有限公司,中油,石化業,高雄市,7026213.635,5770653.96,978195.9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2107.864091,淨利為負值,,,2050,相較 2005 基準年，於 2032 年減量 50%,相較 2019 基準年，於 2030 年減量 20.2%,2005,2032,0.502,11580000,7255389,否,否,推動「優油、減碳、潔能」三主軸轉型，規劃2050年達成淨零排放，發展氫能、地熱、太陽光電及負碳技術。,NA,有提供,NA,燃料氣: 4.22 千萬GJ; 天然氣: 2.81 千萬GJ; 殘碳: 1.27 千萬GJ; 外購電力: 0.692 千萬GJ; 低硫燃料油: 0.205 千萬GJ; 外購蒸汽: 0.09 千萬GJ; 液化石油氣: 0.009 千萬GJ;,1922222224,17/164,NA,21222,已達成,自發自用、再生能源憑證,NA,NA,,6669262,7252499.858,7026213.635,5.458300654,6.572457369,6.402940759,,1855555556,1922222224,12515,,21222,0,0,0
75370905,1303,南亞塑膠工業股份有限公司,南亞,石化業,雲林縣,4535698,1357668.71,2366726.193,11371413,4525275,19775,504753,17833,6055,942,7245,NA,251272,907450,NA,346875,NA,NA,4783938,1360.7094,0.1304877045,,,2050,相較 2007 基準年，於 2025 年減量 20%,相較 2019 基準年，於 2030 年減量 11.4%,2007,2025,0.2,6950000,6278524,是,否,低碳能源轉型，以天然氣取代煤炭、重油。公用廠燃煤鍋爐停止運轉，改燃氣蒸汽鍋爐。拓展回收料源、推廣回收產品品牌、綠色採購。,拓展回收料源、推廣回收產品品牌、綠色採購,未提供,0.117,外購電力: 890348 千度; 天然氣: 108508 公噸; 燃煤: 319759 公噸; 燃料油: 52862 公秉; 企業內購蒸汽: 1550643 公噸;,2486601000,14/164,0.00322,14713.02,已達成,自發自用、再生能源憑證,NA,0.03,-0.004713900479,5828643,6043452.802,4535698,16.41023945,23.26594213,17.4713012,,,2486601000,,,14713.02,343964.1,309234,319759
11913502,1101,台灣水泥股份有限公司,台泥,水泥業,花蓮縣,4518673.433,3301181.06,186326.6462,14943568,1220508,NA,1149386,664210,NA,NA,NA,NA,480331,NA,NA,NA,NA,NA,NA,1355.60203,0.1077643284,,,2050,相較 2016 基準年，於 2030 年減量（百分比未揭露）,資料不足,2016,2030,,,4397776,是,否,運用替代燃料、餘熱發電、再生能源及碳捕獲等。導入替代原燃料及AI智慧製程。成立綠色供應鏈聯盟。,成立綠色供應鏈聯盟,有提供,0.57,"外購電力: 4,297 百萬度; 煤炭: 11,680 仟公噸; 柴油: 43,598 仟公升; 天然氣: 9,541 立方公尺;",4297000000,9/164,0.0027,203000,已達成,自發自用、外購綠電,NA,0.01,-0.2817110491,4612649,5012760.274,4518673.433,40.48679806,45.85638539,29.22692844,2966197222,2979833333,4297000000,,,203000,750751.52,617443.39,466088.87
