,產業於各縣市排放佔比,,,,,,,,,,,,,,,,,,,,產業於各縣市家數,,,,,,,,,,,,,,,,,,,,產業於各縣市廠數
產業類別,全台,台中市,台東縣,台南市,宜蘭市,宜蘭縣,花蓮縣,南投縣,屏東縣,苗栗縣,桃園市,高雄市,基隆市,雲林縣,新北市,新竹市,新竹縣,嘉義縣,彰化縣,,全台,台中市,台東縣,台南市,宜蘭市,宜蘭縣,花蓮縣,南投縣,屏東縣,苗栗縣,桃園市,高雄市,基隆市,雲林縣,新北市,新竹市,新竹縣,嘉義縣,彰化縣,,全台,台中市,台東縣,台南市,宜蘭市,宜蘭縣,花蓮縣,南投縣,屏東縣,苗栗縣,桃園市,高雄市,基隆市,雲林縣,新北市,新竹市,新竹縣,嘉義縣,彰化縣
石化業,44.7%,5.80%,0.00%,9.81%,100.00%,32.61%,0.00%,0.00%,0.00%,48.41%,29.94%,39.51%,0.00%,96.32%,20.30%,7.87%,16.44%,91.82%,24.62%,,74,7,0,6,1,3,0,0,0,4,16,37,0,11,1,2,5,3,6,,132,11,0,8,1,3,0,0,0,5,18,48,0,17,2,3,5,4,7
水泥業,5.8%,0.22%,0.00%,0.00%,0.00%,62.72%,96.94%,0.00%,0.00%,0.00%,0.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.84%,,8,1,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,1,,10,1,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,1
半導體業,14.7%,24.53%,0.00%,59.00%,0.00%,0.30%,0.00%,0.00%,0.00%,16.59%,16.72%,1.77%,0.00%,0.90%,62.86%,80.72%,67.74%,0.00%,5.18%,,50,4,0,4,0,1,0,0,0,4,9,7,0,2,3,18,17,0,1,,132,10,0,20,0,1,0,0,0,6,16,14,0,2,3,27,32,0,1
光電業,4.3%,7.64%,0.00%,17.01%,0.00%,0.00%,0.00%,0.00%,0.00%,14.63%,14.30%,1.39%,0.00%,0.00%,0.00%,1.90%,0.98%,0.00%,0.00%,,15,4,0,7,0,0,0,0,0,3,4,2,0,0,0,2,1,0,0,,38,7,0,12,0,0,0,0,0,5,7,3,0,0,0,3,1,0,0
自行車業,0.0%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鋼鐵業,22.5%,53.08%,0.00%,8.39%,0.00%,2.95%,0.00%,0.00%,100.00%,13.57%,4.93%,54.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.49%,,32,4,0,6,0,1,0,0,1,2,4,17,0,0,0,0,0,0,1,,43,4,0,8,0,1,0,0,1,2,4,22,0,0,0,0,0,0,1
非金屬製品加工業,1.5%,2.80%,0.00%,1.18%,0.00%,0.00%,0.00%,0.00%,0.00%,2.72%,0.96%,0.19%,0.00%,1.35%,4.33%,7.84%,1.09%,5.90%,10.78%,,13,3,0,3,0,0,0,0,0,1,2,1,0,2,1,2,1,2,1,,24,4,0,3,0,0,0,0,0,1,2,2,0,4,1,2,1,2,2
食品業,0.4%,0.50%,0.00%,1.57%,0.00%,0.00%,0.00%,28.08%,0.00%,0.78%,1.24%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.10%,,12,2,0,3,0,0,0,1,0,1,4,1,0,0,0,0,0,0,1,,13,2,0,3,0,0,0,1,0,1,4,1,0,0,0,0,0,0,1
造紙業,2.6%,5.33%,100.00%,0.25%,0.00%,0.00%,3.06%,0.00%,0.00%,0.00%,9.22%,1.11%,0.00%,0.15%,0.00%,0.76%,2.91%,0.61%,35.02%,,11,3,1,1,0,0,1,0,0,0,5,1,0,1,0,1,1,1,1,,18,3,1,1,0,0,1,0,0,0,5,1,0,1,0,1,1,1,2
電池製造業,0.0%,0.00%,0.00%,0.25%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
電子業,1.7%,0.00%,0.00%,0.38%,0.00%,0.93%,0.00%,0.00%,0.00%,1.65%,12.85%,0.60%,100.00%,0.00%,12.52%,0.91%,9.61%,0.00%,0.00%,,29,0,0,1,0,1,0,0,0,2,12,5,1,0,2,1,8,0,0,,51,0,0,1,0,1,0,0,0,2,26,7,1,0,2,1,10,0,0
紡織業,1.1%,0.00%,0.00%,2.07%,0.00%,0.00%,0.00%,0.00%,0.00%,1.65%,7.93%,0.00%,0.00%,0.50%,0.00%,0.00%,0.39%,0.88%,4.97%,,35,0,0,4,0,0,0,0,0,2,22,0,0,2,0,0,1,1,4,,41,0,0,4,0,0,0,0,0,2,25,0,0,3,0,0,1,1,5
鋁製造業,0.1%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
銅製造業,0.3%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,71.92%,0.00%,0.00%,0.34%,0.16%,0.00%,0.47%,0.00%,0.00%,0.00%,0.00%,0.00%,,6,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,,8,0,0,0,0,0,0,1,0,0,2,1,0,4,0,0,0,0,0
汽機車業,0.1%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.84%,0.79%,0.00%,,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0
眼鏡製造業,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
航空業,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
造船業,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
機械器具批發業,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
