年度,管制編號,事業名稱,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類
104,F0701702,南亞塑膠工業股份有限公司樹林廠,75370905,"389,468.00","4,121.00","393,589.00",新北市,塑膠及合成橡膠原料製造業
104,F0801707,三洋窯業股份有限公司,34263157,"35,362.00","10,853.00","46,215.00",新北市,其他非金屬礦物製品製造業
104,F1507182,泰利實業股份有限公司五股廠,16007423,"30,204.00","6,086.00","36,290.00",新北市,染整業
104,F1600491,南亞塑膠工業股份有限公司林口二廠,75370905,"296,131.00","33,920.00","330,051.00",新北市,塑膠及合成橡膠原料製造業
104,F1606662,南亞科技股份有限公司三廠,89390656,"44,372.00","221,559.00","265,931.00",新北市,半導體製造業
104,F1700736,台灣電力股份有限公司林口發電廠,	03795904,"38,198.00","19,230.00","57,428.00",新北市,電力供應業
104,G3200778,台灣水泥股份有限公司蘇澳廠,11913502,"1,367,277.00","92,823.00","1,460,100.00",宜蘭縣,水泥及其製品製造業
104,G3200849,信大水泥股份有限公司南聖湖廠,	03279507,"621,143.00","50,734.00","671,877.00",宜蘭縣,水泥及其製品製造業
104,G3401079,元耀科技股份有限公司,16197211,13.00,"3,141.00","3,154.00",宜蘭縣,其他電子零組件製造業
104,G3700791,台灣化學纖維股份有限公司龍德廠,58650902,"1,376,079.00",,"1,376,079.00",宜蘭縣,化學原材料製造業
104,G37A0585,潤泰精密材料股份有限公司宜蘭冬山廠,86871981,"622,770.00","50,443.00","673,213.00",宜蘭縣,水泥及其製品製造業
104,G4100017,幸福水泥股份有限公司東澳廠,40601248,"667,690.00","47,886.00","715,576.00",宜蘭縣,水泥及其製品製造業
104,H4202215,新隆纖維染整股份有限公司桃園廠,	07472834,"34,968.00","9,825.00","44,793.00",桃園市,染整業
104,H4202813,東隆興業股份有限公司,18770509,"26,943.00","17,604.00","44,547.00",桃園市,染整業
104,H4204264,翔新企業股份有限公司,84570243,"18,800.00","4,461.00","23,261.00",桃園市,染整業
104,H4313348,精材科技股份有限公司中壢廠,16741846,"98,812.00","27,711.00","126,523.00",桃園市,其他電子零組件製造業
104,H43A2855,精材科技股份有限公司中壢二廠,16741846,"52,034.00","17,216.00","69,250.00",桃園市,其他電子零組件製造業
104,H43C0794,精材科技股份有限公司中壢三廠,16741846,"1,000.00","8,110.00","9,110.00",桃園市,其他電子零組件製造業
104,H4500458,力鵬企業股份有限公司楊梅廠,33955322,"68,548.00","19,218.00","87,766.00",桃園市,染整業
104,H4500743,中興紡織廠股份有限公司楊梅化纖廠,35082604,"68,949.00","83,873.00","152,822.00",桃園市,塑膠及合成橡膠原料製造業
104,H4500850,白馬窯業股份有限公司楊梅廠,34258318,"53,004.00","14,465.00","67,469.00",桃園市,耐火、黏土建材及其他陶瓷製品製造業
104,H4501231,中華映管股份有限公司楊梅廠,11085292,"3,305.00","92,391.00","95,696.00",桃園市,光電材料及元件製造業
104,H4504705,紘楷股份有限公司,70738116,"21,330.00","4,270.00","25,600.00",桃園市,染整業
104,H45A0938,勝華科技股份有限公司幼獅廠,22100398,3.00,"8,306.00","8,309.00",桃園市,光電材料及元件製造業
104,H45A1887,永豐餘消費品實業股份有限公司楊梅廠,22327037,"32,072.00","23,508.00","55,580.00",桃園市,其他紙製品製造業
104,H45A2122,勝華科技股份有限公司幼獅二廠,22100398,,"8,306.00","8,306.00",桃園市,其他電子零組件製造業
104,H4600551,大統精密染整股份有限公司染整廠,22267777,"29,481.00","8,095.00","37,576.00",桃園市,染整業
104,H4600560,黃家紡織股份有限公司桃園廠,23280117,"24,091.00","4,081.00","28,172.00",桃園市,染整業
104,H4600579,大同染整股份有限公司桃園廠,	07014916,"43,703.00","10,872.00","54,575.00",桃園市,染整業
104,H4601227,義芳化學工業股份有限公司桃園廠,15395706,"371,809.00","39,563.00","411,372.00",桃園市,化學原材料製造業
104,H4601290,台硝股份有限公司桃園廠,38033305,"33,771.00","13,134.00","46,905.00",桃園市,未分類其他化學製品製造業
104,H4601398,南亞塑膠工業股份有限公司錦興廠,75370905,"826,605.00","10,255.00","836,860.00",桃園市,其他非金屬礦物製品製造業
104,H4602313,環泰企業股份有限公司南崁廠,12529007,"30,308.00","5,014.00","35,322.00",桃園市,其他食品製造業
104,H4604488,環球水泥股份有限公司海湖石膏板廠,	07568009,"27,023.00","6,694.00","33,717.00",桃園市,其他非金屬礦物製品製造業
104,H4604568,長生電力股份有限公司,96933037,"1,484,861.00","5,187.00","1,490,048.00",桃園市,電力供應業
104,H46A3888,智晟實業股份有限公司二廠,22034187,"20,084.00",389.00,"20,473.00",桃園市,蒸汽供應業
104,H46B0495,世界先進積體電路股份有限公司晶圓三廠,84149358,"47,139.00","184,974.00","232,113.00",桃園市,半導體製造業
104,H4700645,正隆股份有限公司大園廠,33085508,"268,424.00","131,318.00","399,742.00",桃園市,紙漿、紙及紙板製造業
104,H4702336,大園汽電共生股份有限公司,84526079,"432,730.00","10,568.00","443,298.00",桃園市,電力供應業
104,H4800239,俊行記實業股份有限公司,84994452,"42,777.00","4,241.00","47,018.00",桃園市,耐火、黏土建材及其他陶瓷製品製造業
104,H4801478,南亞塑膠工業股份有限公司工三廠,75370905,"167,055.00","290,638.00","457,693.00",桃園市,紡紗業
104,H4802662,新瑞倡企業股份有限公司桃園廠,	07620770,"21,275.00","5,022.00","26,297.00",桃園市,染整業
104,H4803507,台灣中油股份有限公司煉製事業部桃園煉油廠,	03707901,"1,409,032.00","218,221.00","1,627,253.00",桃園市,石油及煤製品製造業
104,H4806348,穩懋半導體股份有限公司華亞廠,70752257,"10,655.00","21,889.00","32,544.00",桃園市,半導體製造業
104,H4810799,國光電力股份有限公司,70833553,"669,573.00","3,688.00","673,261.00",桃園市,電力供應業
104,H4810851,華亞汽電股份有限公司華亞汽電廠,70783006,"2,012,434.00","43,044.00","2,055,478.00",桃園市,電力供應業
104,H4886999,穩懋半導體股份有限公司華亞二廠,70752257,"30,981.00","49,391.00","80,372.00",桃園市,半導體製造業
104,H4888493,友達光電股份有限公司,84149738,"17,157.00","296,424.00","313,581.00",桃園市,光電材料及元件製造業
104,H4888582,華亞科技股份有限公司二廠,80353271,"32,513.00","425,284.00","457,797.00",桃園市,半導體製造業
104,H4889454,台灣美光晶圓科技股份有限公司一廠,80353271,"63,029.00","511,824.00","574,853.00",桃園市,半導體製造業
104,H4903093,中華凸版電子股份有限公司,16083358,120.00,"21,476.00","21,596.00",桃園市,半導體製造業
104,H4903244,中華映管股份有限公司桃園廠,11085292,"102,771.00","73,555.00","176,326.00",桃園市,光電材料及元件製造業
