公司,事業統編,公司總排放量,代表縣市,代表縣市排放量,在該縣市的排放量佔比,排碳大戶 tag,公司簡稱
中國石油化學工業開發股份有限公司,03084741,"843,461",高雄市,"783,572",93%,TRUE,中石化
亞洲水泥股份有限公司,03244509,"2,782,856",花蓮縣,"2,782,856",100%,TRUE,亞泥
萬洲化學股份有限公司,03244705,"39,754",桃園市,"39,754",100%,TRUE,萬洲化學
信大水泥股份有限公司,03279507,"592,622",宜蘭縣,"592,622",100%,TRUE,信大
遠東新世紀股份有限公司,03522600,"569,532",新竹縣,"402,488",71%,TRUE,遠東新
台榮產業股份有限公司,03543210,"38,842",雲林縣,"38,842",100%,TRUE,台榮
台橡股份有限公司,03553737,"144,345",高雄市,"144,345",100%,TRUE,台橡
台灣中油股份有限公司,03707901,"6,542,927",高雄市,"4,886,391",75%,TRUE,中油
台灣糖業股份有限公司,03794905,"62,529",高雄市,"62,529",100%,TRUE,台糖公司
台灣肥料股份有限公司,03795101,"413,921",台中市,"413,921",100%,TRUE,台肥
國喬石油化學股份有限公司,04212250,"437,353",高雄市,"437,353",100%,TRUE,國喬
台燿科技股份有限公司,04226091,"45,464",新竹縣,"45,464",100%,TRUE,台燿
和益化學工業股份有限公司,04312878,"67,653",高雄市,"67,653",100%,TRUE,和益
合眾紙業股份有限公司,04380087,"56,008",雲林縣,"56,008",100%,TRUE,合眾紙業
台灣康寧顯示玻璃股份有限公司,04388145,"418,258",台中市,"346,827",83%,TRUE,台灣康寧
華通電腦股份有限公司,04401392,"145,463",桃園市,"145,463",100%,TRUE,華通
台灣國際造船股份有限公司,04695235,"34,260",高雄市,"34,260",100%,TRUE,台船
聯成化學科技股份有限公司,04748660,"51,544",高雄市,"51,544",100%,TRUE,聯成
金車股份有限公司,05007903,"31,717",桃園市,"31,717",100%,TRUE,金車
超豐電子股份有限公司,05126366,"101,003",苗栗縣,"101,003",100%,TRUE,超豐
聯華氣體工業股份有限公司,05258865,"55,956",高雄市,"55,956",100%,TRUE,聯華氣體
燿華電子股份有限公司,05637971,"87,483",宜蘭縣,"45,124",52%,TRUE,燿華
大同染整股份有限公司,07014916,"34,252",桃園市,"34,252",100%,TRUE,大同染整
中國人造纖維股份有限公司,07066907,"410,657",高雄市,"410,657",100%,TRUE,中纖
東明纖維工業股份有限公司,07205416,"18,350",桃園市,"18,350",100%,TRUE,東明纖維
東培工業股份有限公司,07220508,"24,322",桃園市,"24,322",100%,TRUE,東培
宏洲纖維工業股份有限公司,07220710,"26,587",桃園市,"26,587",100%,TRUE,宏洲
新光合成纖維股份有限公司,07435515,"287,173",桃園市,"287,173",100%,TRUE,新纖
新隆纖維染整股份有限公司,07472834,"42,063",桃園市,"42,063",100%,TRUE,新隆纖維
環球水泥股份有限公司,07568009,"34,845",桃園市,"34,845",100%,TRUE,環泥
新瑞倡企業股份有限公司,07620770,"6,684",桃園市,"6,684",100%,TRUE,新瑞倡
力麗企業股份有限公司,07663290,"156,729",彰化縣,"156,729",100%,TRUE,力麗
中鴻鋼鐵股份有限公司,07838854,"260,634",高雄市,"260,634",100%,TRUE,中鴻
三福氣體股份有限公司,11072509,"554,928",台南市,"286,099",52%,TRUE,三福氣體
東南實業股份有限公司,11384405,"54,160",宜蘭縣,"54,160",100%,TRUE,東鹼
長春人造樹脂廠股份有限公司,11384708,"1,152,774",高雄市,"851,396",74%,TRUE,長春樹脂
長春石油化學股份有限公司,11384806,"2,475,902",苗栗縣,"1,377,248",56%,TRUE,長春石化
南港輪胎股份有限公司,11520909,"38,973",新竹縣,"38,973",100%,TRUE,南港
華夏海灣塑膠股份有限公司,11686106,"104,627",苗栗縣,"104,627",100%,TRUE,華夏
義美食品股份有限公司,11768704,"53,861",桃園市,"53,861",100%,TRUE,義美
台灣史谷脫紙業股份有限公司,11820053,"29,187",台南市,"29,187",100%,TRUE,史谷脫
台豐印刷電路工業股份有限公司,11833698,"30,601",新竹縣,"30,601",100%,TRUE,台豐印刷
台達化學工業股份有限公司,11893409,"38,292",高雄市,"38,292",100%,TRUE,台達化
台灣紙業股份有限公司,11912102,"27,017",台南市,"27,017",100%,TRUE,台紙
台灣水泥股份有限公司,11913502,"3,643,800",花蓮縣,"2,460,459",68%,TRUE,台泥
台灣玻璃工業股份有限公司,11914002,"598,880",彰化縣,"229,941",38%,TRUE,台玻
台灣聚合化學品股份有限公司,11917107,"142,391",高雄市,"142,391",100%,TRUE,台聚
