基金代號,基金名稱,基金全稱,總市值（百萬新台幣）,持股企業數,排碳大戶家數,排碳大戶佔比,排碳大戶總碳排量（公噸CO2e）,使用燃煤家數,是否為 ESG ETF,排碳大戶總燃煤量（公噸）,基金統編
永豐ESG全球數位基礎建設基金,永豐ESG全球數位基礎建設基金,永豐ESG全球數位基礎建設基金,445,19,0,0.00%,0,0,TRUE,0,88321772
中國信託 ESG 碳商機多重資產基金,中國信託 ESG 碳商機多重資產基金,中國信託 ESG 碳商機多重資產基金,336,18,1,5.56%,12140434.02,0,TRUE,0,88281188
中國信託ESG金融收益多重資產基金,中國信託ESG金融收益多重資產基金,中國信託ESG金融收益多重資產基金,1071,28,0,0.00%,0,0,TRUE,0,88346529
中國信託15年期以上已開發市場投資級優化收益ESG美元公司債券ETF基金,中國信託15年期以上已開發市場投資級優化收益ESG美元公司債券ETF基金,中國信託15年期以上已開發市場投資級優化收益ESG美元公司債券ETF基金,38644,18,0,0.00%,0,0,TRUE,0,93218545
聯邦低碳目標多重資產基金,聯邦低碳目標多重資產基金,聯邦低碳目標多重資產基金,131,14,0,0.00%,0,0,TRUE,0,88236255
東方匯理全球投資等級綠色債券基金,東方匯理全球投資等級綠色債券基金,東方匯理全球投資等級綠色債券基金,749,39,0,0.00%,0,0,TRUE,0,88255082
東方匯理全球淨零碳排企業債券基金,東方匯理全球淨零碳排企業債券基金,東方匯理全球淨零碳排企業債券基金,618,41,0,0.00%,0,0,TRUE,0,93151896
安聯全球綠能趨勢基金,安聯全球綠能趨勢基金,安聯全球綠能趨勢基金,6582,44,0,0.00%,0,0,TRUE,0,48806595
國泰美國ESG基金,國泰美國ESG基金,國泰美國ESG基金,2962,37,0,0.00%,0,0,TRUE,0,88259257
富達永續減碳商機多重資產收益基金,富達永續減碳商機多重資產收益基金,富達永續減碳商機多重資產收益基金,242,32,0,0.00%,0,0,TRUE,0,88267382
富達永續全球股票收益基金,富達永續全球股票收益基金,富達永續全球股票收益基金,118,35,0,0.00%,0,0,TRUE,0,88315666
凱基全球ESG永續非投資等級債券基金,凱基全球ESG永續非投資等級債券基金,凱基全球ESG永續非投資等級債券基金,673,50,0,0.00%,0,0,TRUE,0,88091960
凱基環球傘型基金之凱基 15 年期以上美元 BBB 級 ESG 永續公司債券 ETF 基金,凱基環球傘型基金之凱基 15 年期以上美元 BBB 級 ESG 永續公司債券 ETF 基金,凱基環球傘型基金之凱基 15 年期以上美元 BBB 級 ESG 永續公司債券 ETF 基金,615,27,0,0.00%,0,0,TRUE,0,88176480
凱基新興市場ESG永續主題債券基金,凱基新興市場ESG永續主題債券基金,凱基新興市場ESG永續主題債券基金,1141,33,0,0.00%,0,0,TRUE,0,88196444
台新ESG新興市場債券基金,台新ESG新興市場債券基金,台新ESG新興市場債券基金,2014,17,0,0.00%,0,0,TRUE,0,88120326
台新ESG環保愛地球成長基金,台新ESG環保愛地球成長基金,台新ESG環保愛地球成長基金,580,29,1,3.45%,12140434.02,0,TRUE,0,88185431
合庫樂活安養ESG穩健成長組合基金,合庫樂活安養ESG穩健成長組合基金,合庫樂活安養ESG穩健成長組合基金,412,7,0,0.00%,0,0,TRUE,0,88183150
合庫樂活安養ESG積極成長組合基金,合庫樂活安養ESG積極成長組合基金,合庫樂活安養ESG積極成長組合基金,428,5,0,0.00%,0,0,TRUE,0,88183172
大華銀亞洲ESG債券基金,大華銀亞洲ESG債券基金,大華銀亞洲ESG債券基金,284,24,0,0.00%,0,0,TRUE,0,88169306
路博邁ESG新興市場債券基金,路博邁ESG新興市場債券基金,路博邁ESG新興市場債券基金,470,46,0,0.00%,0,0,TRUE,0,88105731
路博邁ESG優選平衡基金,路博邁ESG優選平衡基金,路博邁ESG優選平衡基金,237,41,0,0.00%,0,0,TRUE,0,93162079
