於該縣市合計排放量(公噸CO2e),全台,全台(%),台中市,台中市(%),台東縣,台南市,台南市(%),宜蘭市,宜蘭縣,宜蘭縣(%),花蓮縣,花蓮縣(%),南投縣,屏東縣,苗栗縣,苗栗縣(%),桃園市,桃園市(%),高雄市,高雄市(%),基隆市,雲林縣,雲林縣(%),新北市,新北市(%),新竹市,新竹市(%),新竹縣,新竹縣(%),嘉義縣,嘉義縣(%),彰化縣,彰化縣(%)
長春石油化學股份有限公司,"2,475,902",1.70%,0,0.00%,x,0,0.00%,0,0,0.00%,0,0.00%,0,0,"1,377,248",42.30%,0,0.00%,"559,256",1.50%,0,"488,898",1.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"50,500",2.40%
群創光電股份有限公司,"2,412,736",1.70%,0,0.00%,0,"1,501,342",13.00%,0,0,0.00%,0,0.00%,0,0,"423,832",13.00%,0,0.00%,"487,562",1.30%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
友達光電股份有限公司,"1,971,913",1.40%,"1,218,138",6.40%,0,"24,579",0.20%,0,0,0.00%,0,0.00%,0,0,0,0.00%,"658,479",5.60%,"26,197",0.10%,0,0,0.00%,0,0.00%,"44,521",1.30%,0,0.00%,0,0.00%,0,0.00%
聯華電子股份有限公司,"1,430,027",1.00%,0,0.00%,0,"794,301",6.90%,0,0,0.00%,0,0.00%,0,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,"554,638",16.40%,"81,088",1.80%,0,0.00%,0,0.00%
大連化學工業股份有限公司,"1,384,651",1.00%,0,0.00%,0,0,0.00%,0,0,0.00%,0,0.00%,0,0,0,0.00%,0,0.00%,"680,297",1.80%,0,"704,354",1.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
正隆股份有限公司,"1,338,222",0.90%,"839,855",4.40%,0,0,0.00%,0,0,0.00%,0,0.00%,0,0,0,0.00%,"343,763",2.90%,0,0.00%,0,0,0.00%,0,0.00%,"25,721",0.80%,"128,884",2.90%,0,0.00%,0,0.00%
台灣美光記憶體股份有限公司,"1,156,889",0.80%,"1,156,889",6.10%,0,0,0.00%,0,0,0.00%,0,0.00%,0,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
長春人造樹脂廠股份有限公司,"1,152,774",0.80%,0,0.00%,0,0,0.00%,0,0,0.00%,0,0.00%,0,0,0,0.00%,0,0.00%,"851,396",2.30%,0,0,0.00%,0,0.00%,0,0.00%,"230,869",5.20%,0,0.00%,"70,510",3.30%
台灣美光晶圓科技股份有限公司,"981,257",0.70%,0,0.00%,0,0,0.00%,0,0,0.00%,0,0.00%,0,0,0,0.00%,"981,257",8.40%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
中國石油化學工業開發股份有限公司,"843,461",0.60%,0,0.00%,0,0,0.00%,0,0,0.00%,0,0.00%,0,0,"32,899",1.00%,0,0.00%,"783,572",2.10%,0,"26,990",0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
總計(全台包含21名後所有企業),145092643,100.00%,18893767,100.00%,153460,11535560,100.00%,24895,4873972,100.00%,5408691,100.00%,133261,26431,3253208,100.00%,11721140,100.00%,36972572,100.00%,10359,37843794,100.00%,837076,100.00%,3380694,100.00%,4424663,100.00%,3465366,100.00%,2133736,100.00%
