管制編號,事業名稱,縣市,wgs84經度,wgs84緯度,座標來源,備註
P5802421,台塑石化股份有限公司麥寮一廠,雲林縣,120.217602,23.79862,ems_s_01,沿用燃煤工廠地圖廠座標登錄
P5802430,台塑石化股份有限公司麥寮三廠,雲林縣,120.22403,23.809151,ems_s_01,沿用燃煤工廠地圖廠座標登錄
P5801728,台塑石化股份有限公司麥寮二廠,雲林縣,120.2519883,23.75349512,ems_s_01,沿用燃煤工廠地圖廠座標登錄
E5600841,中國鋼鐵股份有限公司,高雄市,120.354687,22.529525,ems_s_01,沿用燃煤工廠地圖廠座標登錄
E56A4792,中國鋼鐵股份有限公司第三冷軋廠,高雄市,120.359472,22.559028,ems_s_01
O1709308,台灣積體電路製造股份有限公司十二廠,新竹市,121.013281,24.772665,ems_s_01
O1713311,台灣積體電路製造股份有限公司八廠,新竹市,121.019495,24.76199,ems_s_01
J63A1056,台灣積體電路製造股份有限公司十二廠四期五期,新竹縣,121.011314623615,24.772347225236,ems_s_01
J63A1670,台灣積體電路製造股份有限公司十二廠七期,新竹縣,121.014481,24.768737,ems_s_01
J63A1591,台灣積體電路製造股份有限公司十二廠六期,新竹縣,120.999985,24.777783,ems_s_01
J6301107,台灣積體電路製造股份有限公司三廠,新竹縣,120.991626072435,24.77516464062,ems_s_01
J63A4298,台灣積體電路製造股份有限公司二十廠一期,新竹縣,121.005998,24.759314,ems_s_01
J63A3567,台灣積體電路製造股份有限公司十二廠八期,新竹縣,121.0080798,24.7672339,OSM 街道級（ems_s_01 座標為 0，以登記地址街道定位）,"街道查詢：「科環路, 寶山鄉, 新竹縣」"
J63A0107,台灣積體電路製造股份有限公司十二廠研新廠,新竹縣,120.9898946,24.7763997,OSM 街道級（ems_s_01 座標為 0，以登記地址街道定位）,"街道查詢：「研新二路, 寶山鄉, 新竹縣」"
J6301447,台灣積體電路製造股份有限公司五廠,新竹縣,121.001933,24.771775,ems_s_01
J6300557,台灣積體電路製造股份有限公司二廠,新竹縣,121.001933,24.771775,ems_s_01
J6300324,台灣積體電路製造股份有限公司三廠3E廠,新竹縣,120.9898946,24.7763997,OSM 街道級（ems_s_01 座標為 0，以登記地址街道定位）,"街道查詢：「研新二路, 寶山鄉, 新竹縣」"
H50A6430,台灣積體電路製造股份有限公司先進封測三廠,桃園市,121.185149,24.883437,ems_s_01
B23B6125,台灣積體電路製造股份有限公司十五B廠,臺中市,120.607528,24.207989,ems_s_01
L95A2041,台灣積體電路製造股份有限公司15廠,臺中市,120.615776,24.214257,ems_s_01
B9503479,台灣積體電路製造股份有限公司先進封測五廠,臺中市,120.618493,24.216064,ems_s_01
R9001677,台灣積體電路製造股份有限公司十四廠,臺南市,120.271869999186,23.110276018535,ems_s_01
