於該縣市合計排放量(公噸CO2e),全台,台中市,台東縣,台南市,宜蘭市,宜蘭縣,花蓮縣,南投縣,屏東縣,苗栗縣,桃園市,高雄市,基隆市,雲林縣,新北市,新竹市,新竹縣,嘉義縣,彰化縣
南亞塑膠工業股份有限公司,"3,752,539",0,0,0,0,0,0,0,0,0,"1,119,107","27,590",0,"1,604,778","169,895",0,0,"831,169",0
唐榮鐵工廠股份有限公司,"86,380",0,0,0,0,0,0,0,0,0,0,"86,380",0,0,0,0,0,0,0
海光企業股份有限公司,"185,131",0,0,0,0,0,0,0,0,0,0,"185,131",0,0,0,0,0,0,0
漢泰鋼鐵廠股份有限公司,"46,990",0,0,0,0,0,0,0,0,0,0,"46,990",0,0,0,0,0,0,0
台灣塑膠工業股份有限公司,"8,130,027",0,0,0,0,"127,254",0,0,0,0,0,"3,174,386",0,"4,564,374",0,0,0,"264,013",0
燁輝企業股份有限公司,"145,362",0,0,0,0,0,0,0,"26,431",0,0,"118,931",0,0,0,0,0,0,0
勝一化工股份有限公司,"59,136",0,0,0,0,0,0,0,0,0,0,"59,136",0,0,0,0,0,0,0
燁興企業股份有限公司,"28,089",0,0,0,0,0,0,0,0,0,0,"28,089",0,0,0,0,0,0,0
楠梓電子股份有限公司,"30,188",0,0,0,0,0,0,0,0,0,0,"30,188",0,0,0,0,0,0,0
日月光半導體製造股份有限公司,"543,558",0,0,0,0,0,0,0,0,0,"240,791","302,767",0,0,0,0,0,0,0
協勝發鋼鐵廠股份有限公司,"274,545",0,0,0,0,0,0,0,0,0,0,"274,545",0,0,0,0,0,0,0
盛餘股份有限公司,"74,472",0,0,0,0,0,0,0,0,0,0,"74,472",0,0,0,0,0,0,0
台灣醋酸化學股份有限公司,"136,187",0,0,0,0,0,0,0,0,0,0,0,0,"136,187",0,0,0,0,0
台灣美光晶圓科技股份有限公司,"981,257",0,0,0,0,0,0,0,0,0,"981,257",0,0,0,0,0,0,0,0
慶欣欣鋼鐵股份有限公司,"351,944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"351,944"
連大興有限公司,"31,443",0,0,0,0,0,0,0,0,0,"31,443",0,0,0,0,0,0,0,0
采鈺科技股份有限公司,"41,970",0,0,0,0,0,0,0,0,0,"11,323",0,0,0,0,"30,647",0,0,0
三芳化學工業股份有限公司,"22,860",0,0,0,0,0,0,0,0,0,0,"22,860",0,0,0,0,0,0,0
世界先進積體電路股份有限公司,"632,278",0,0,0,0,0,0,0,0,0,"258,973",0,0,0,0,"210,972","162,333",0,0
矽格聯測股份有限公司,"28,846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,846",0,0,0
友達光電股份有限公司,"1,971,913","1,218,138",0,"24,579",0,0,0,0,0,0,"658,479","26,197",0,0,0,"44,521",0,0,0
晶元光電股份有限公司,"77,386","24,173",0,"53,213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
昇陽國際半導體股份有限公司,"23,176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,176",0,0,0
榮剛材料科技股份有限公司,"192,034",0,0,"192,034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
翔新企業股份有限公司,"19,026",0,0,0,0,0,0,0,0,0,"19,026",0,0,0,0,0,0,0,0
中龍鋼鐵股份有限公司,"9,216,366","9,216,366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巧新科技工業股份有限公司,"41,909",0,0,0,0,0,0,0,0,0,0,0,0,"41,909",0,0,0,0,0
龍慶鋼鐵企業股份有限公司,"60,183",0,0,0,0,0,0,0,0,0,0,"60,183",0,0,0,0,0,0,0
高雄塑酯化學工業股份有限公司,"87,790",0,0,0,0,0,0,0,0,0,0,"87,790",0,0,0,0,0,0,0
裕鐵企業股份有限公司,"97,697",0,0,0,0,0,0,0,0,0,0,"97,697",0,0,0,0,0,0,0
中聯資源股份有限公司,"129,511","57,836",0,0,0,0,0,0,0,0,0,"71,676",0,0,0,0,0,0,0
信昌化學工業股份有限公司,"138,448",0,0,0,0,0,0,0,0,0,0,"138,448",0,0,0,0,0,0,0
台塑石化股份有限公司,"24,234,494",0,0,0,0,0,0,0,0,0,0,0,0,"24,234,494",0,0,0,0,0
建榮工業材料股份有限公司,"26,219",0,0,0,0,0,0,0,0,0,"26,219",0,0,0,0,0,0,0,0
潤泰精密材料股份有限公司,"674,336",0,0,0,0,"674,336",0,0,0,0,0,0,0,0,0,0,0,0,0
嘉聯益科技股份有限公司,"21,346",0,0,0,0,0,0,0,0,0,"21,346",0,0,0,0,0,0,0,0
東盟開發實業股份有限公司,"55,475",0,0,"55,475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
春雨工廠股份有限公司,"21,094",0,0,0,0,0,0,0,0,0,0,"21,094",0,0,0,0,0,0,0
晉禾企業股份有限公司,"25,589",0,0,0,0,0,0,0,0,0,0,"25,589",0,0,0,0,0,0,0
台灣恩智浦半導體股份有限公司,"63,084",0,0,0,0,0,0,0,0,0,0,"63,084",0,0,0,0,0,0,0
華泰電子股份有限公司,"71,037",0,0,0,0,0,0,0,0,0,0,"71,037",0,0,0,0,0,0,0
東欣實業股份有限公司,"24,850",0,0,0,0,0,0,0,0,0,"24,850",0,0,0,0,0,0,0,0
南亞科技股份有限公司,"430,324",0,0,0,0,0,0,0,0,0,0,0,0,0,"430,324",0,0,0,0
遠東先進纖維股份有限公司,"21,530",0,0,0,0,0,0,0,0,0,"21,530",0,0,0,0,0,0,0,0
台鹽實業股份有限公司,"25,475",0,0,0,0,0,0,0,0,"25,475",0,0,0,0,0,0,0,0,0
台塑勝高科技股份有限公司,"229,103",0,0,0,0,0,0,0,0,0,0,0,0,"229,103",0,0,0,0,0
中聯油脂股份有限公司,"46,277","46,277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣鋼聯股份有限公司,"82,523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"82,523"
晉瑜企業股份有限公司,"69,772",0,0,0,0,0,0,0,0,0,"30,614",0,0,0,0,0,0,0,"39,158"
鴻揚半導體股份有限公司,"35,032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"35,032",0,0,0
上評資源循環股份有限公司,"21,031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,031",0
中華紙漿股份有限公司,"727,556",0,"153,460",0,0,0,"165,376",0,0,0,0,"408,720",0,0,0,0,0,0,0
台耀化學股份有限公司,"35,349",0,0,0,0,0,0,0,0,0,"35,349",0,0,0,0,0,0,0,0
中鋼鋁業股份有限公司,"147,580",0,0,0,0,0,0,0,0,0,0,"147,580",0,0,0,0,0,0,0
漢翔航空工業股份有限公司,"26,878",0,0,0,0,0,0,0,0,0,0,"26,878",0,0,0,0,0,0,0
南中石化工業股份有限公司,"77,712",0,0,0,0,0,0,0,0,0,0,0,0,"77,712",0,0,0,0,0
台日古河銅箔股份有限公司,"51,121",0,0,0,0,0,0,0,0,0,0,0,0,"51,121",0,0,0,0,0
李長榮科技股份有限公司,"58,723",0,0,0,0,0,0,0,0,0,0,"58,723",0,0,0,0,0,0,0
