於該縣市合計排放量(公噸CO2e),全台,台中市,台東縣,台南市,宜蘭市,宜蘭縣,花蓮縣,南投縣,屏東縣,苗栗縣,桃園市,高雄市,基隆市,雲林縣,新北市,新竹市,新竹縣,嘉義縣,彰化縣
東南實業股份有限公司,"54,160",0,0,0,0,"54,160",0,0,0,0,0,0,0,0,0,0,0,0,0
長春人造樹脂廠股份有限公司,"1,152,774",0,0,0,0,0,0,0,0,0,0,"851,396",0,0,0,0,"230,869",0,"70,510"
長春石油化學股份有限公司,"2,475,902",0,0,0,0,0,0,0,0,"1,377,248",0,"559,256",0,"488,898",0,0,0,0,"50,500"
南港輪胎股份有限公司,"38,973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38,973",0,0
華夏海灣塑膠股份有限公司,"104,627",0,0,0,0,0,0,0,0,"104,627",0,0,0,0,0,0,0,0,0
義美食品股份有限公司,"53,861",0,0,0,0,0,0,0,0,0,"53,861",0,0,0,0,0,0,0,0
台灣史谷脫紙業股份有限公司,"29,187",0,0,"29,187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台豐印刷電路工業股份有限公司,"30,601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,601",0,0
台達化學工業股份有限公司,"38,292",0,0,0,0,0,0,0,0,0,0,"38,292",0,0,0,0,0,0,0
台灣紙業股份有限公司,"27,017",0,0,"27,017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣水泥股份有限公司,"3,643,800",0,0,0,0,"1,183,341","2,460,459",0,0,0,0,0,0,0,0,0,0,0,0
台灣玻璃工業股份有限公司,"598,880","123,553",0,0,0,0,0,0,0,0,"82,386",0,0,0,0,"163,000",0,0,"229,941"
台灣聚合化學品股份有限公司,"142,391",0,0,0,0,0,0,0,0,0,0,"142,391",0,0,0,0,0,0,0
中環股份有限公司,"54,694",0,0,0,0,0,0,0,0,0,"54,694",0,0,0,0,0,0,0,0
南帝化學工業股份有限公司,"21,690",0,0,0,0,0,0,0,0,0,0,"21,690",0,0,0,0,0,0,0
大連化學工業股份有限公司,"1,384,651",0,0,0,0,0,0,0,0,0,0,"680,297",0,"704,354",0,0,0,0,0
國瑞汽車股份有限公司,"38,699",0,0,0,0,0,0,0,0,0,"38,699",0,0,0,0,0,0,0,0
環泰企業股份有限公司,"32,770",0,0,0,0,0,0,0,0,0,"32,770",0,0,0,0,0,0,0,0
曜智實業股份有限公司,"30,521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,521",0
台合科技股份有限公司,"32,001",0,0,0,0,0,0,0,0,0,0,"32,001",0,0,0,0,0,0,0
群創光電股份有限公司,"2,412,736",0,0,"1,501,342",0,0,0,0,0,"423,832",0,"487,562",0,0,0,0,0,0,0
敦南科技股份有限公司,"18,620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,620",0,0,0
香榮實業股份有限公司,"19,430",0,0,0,0,0,0,0,0,0,"19,430",0,0,0,0,0,0,0,0
鉅輝鋼鐵股份有限公司,"24,461",0,0,0,0,0,0,0,0,0,"24,461",0,0,0,0,0,0,0,0
福懋興業股份有限公司,"161,770",0,0,0,0,0,0,0,0,0,0,0,0,"161,770",0,0,0,0,0
中美和石油化學股份有限公司,"185,234","185,234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東聯化學股份有限公司,"343,759",0,0,0,0,0,0,0,0,0,0,"343,759",0,0,0,0,0,0,0
義芳化學工業股份有限公司,"404,894",0,0,0,0,0,0,0,0,0,"404,894",0,0,0,0,0,0,0,0
力成科技股份有限公司,"306,448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,534","265,914",0,0
中華凸版電子股份有限公司,"19,021",0,0,0,0,0,0,0,0,0,"19,021",0,0,0,0,0,0,0,0
南亞電路板股份有限公司,"442,870",0,0,0,0,0,0,0,0,0,"380,434",0,0,0,"62,436",0,0,0,0
頎邦科技股份有限公司,"135,476",0,0,0,0,0,0,0,0,0,0,"46,894",0,0,0,"43,717","44,865",0,0
南茂科技股份有限公司,"224,960",0,0,"110,760",0,0,0,0,0,0,0,0,0,0,0,0,"114,200",0,0
宏捷科技股份有限公司,"46,239",0,0,"46,239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
合晶科技股份有限公司,"63,726",0,0,0,0,0,0,0,0,0,"63,726",0,0,0,0,0,0,0,0
凌巨科技股份有限公司,"224,923",0,0,0,0,0,0,0,0,0,"224,923",0,0,0,0,0,0,0,0
能元科技股份有限公司,"28,686",0,0,"28,686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台塑旭彈性纖維股份有限公司,"43,545",0,0,0,0,0,0,0,0,0,0,0,0,"43,545",0,0,0,0,0
金居開發股份有限公司,"104,357",0,0,0,0,0,0,0,0,0,0,0,0,"104,357",0,0,0,0,0
瀚宇彩晶股份有限公司,"265,840",0,0,"265,840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
艾克爾國際科技股份有限公司,"78,213",0,0,0,0,0,0,0,0,0,"43,667",0,0,0,0,0,"34,546",0,0
豐年豐和企業股份有限公司,"28,842",0,0,"28,842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
旭德科技股份有限公司,"30,641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,641",0,0
精材科技股份有限公司,"118,493",0,0,0,0,0,0,0,0,0,"118,493",0,0,0,0,0,0,0,0
富喬工業股份有限公司,"151,359",0,0,0,0,0,0,0,0,0,0,0,0,"151,359",0,0,0,0,0
艾克爾先進科技股份有限公司,"11,571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,571",0,0
東隆興業股份有限公司,"36,235",0,0,0,0,0,0,0,0,0,"13,326",0,0,0,0,0,0,0,"22,910"
華新科技股份有限公司,"55,942",0,0,0,0,0,0,0,0,0,0,"55,942",0,0,0,0,0,0,0
台灣氯乙烯工業股份有限公司,"176,354",0,0,0,0,0,0,0,0,0,0,"176,354",0,0,0,0,0,0,0
亞洲聚合股份有限公司,"107,965",0,0,0,0,0,0,0,0,0,0,"107,965",0,0,0,0,0,0,0
台灣苯乙烯工業股份有限公司,"200,747",0,0,0,0,0,0,0,0,0,0,"200,747",0,0,0,0,0,0,0
大統益股份有限公司,"100,777",0,0,"100,777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
立安東化工股份有限公司,"60,074",0,0,0,0,0,0,0,0,"60,074",0,0,0,0,0,0,0,0,0
台灣茂矽電子股份有限公司,"125,937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125,937",0,0,0
台灣積體電路製造股份有限公司,"11,418,278","2,790,366",0,"5,854,438",0,0,0,0,0,"117,667","216,680",0,0,0,0,"548,990","1,890,137",0,0
元隆電子股份有限公司,"69,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"69,000",0,0,0
