年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類,永續報告書有無,是否有報告,報告書收錄連結,報告書／資訊狀態,所屬集團,資訊來源,統編_trim,收錄 ETF
112,U0100187,台灣水泥股份有限公司和平分公司和平廠,台灣水泥股份有限公司,11913502,"2,337,377.75","123,081.48","2,460,459.23",67.52%,"3,643,800.26","3,643,800.26",100.00%,花蓮縣,"2,460,459.23",67.52%,水泥及其製品製造業,水泥業,水泥工業,是,https://drive.google.com/file/d/12aLMp8EU5FZFS0iMpflpjnQJykGzkM_X/view,,,,11913502,"0050, 0057, 006203, 006204, 006208, 00692, 00701, 00850, 00896, 00912, 00922, 009804, 009808"
112,U9400115,亞洲水泥股份有限公司花蓮製造廠,亞洲水泥股份有限公司,	03244509,"2,634,141.98","148,714.13","2,782,856.11",100.00%,"2,782,856.11","2,782,856.11",100.00%,花蓮縣,"2,782,856.11",100.00%,水泥及其製品製造業,水泥業,水泥工業,是,https://drive.google.com/file/d/1dFxVpv0zMtepgQQvZ6JhNLpAV2ZA4sPx/view,,,,03244509
112,K6801089,長春石油化學股份有限公司 苗栗廠,長春石油化學股份有限公司,11384806,"651,306.86","70,689.69","721,996.56",29.16%,"2,475,901.51","2,475,901.51",100.00%,苗栗縣,"1,377,247.59",55.63%,未分類其他化學製品製造業,石化業,非屬公開發行,是,,永續報告書,長春,https://ccp.com.tw/ccpweb.nsf/ProfileTW?OpenAgent&ProfileName=CSR,11384806
112,R03A1913,群創光電股份有限公司D廠,群創光電股份有限公司,12800225,"13,676.65","572,230.42","585,907.07",24.28%,"2,412,735.52","2,412,735.52",100.00%,台南市,"1,501,341.56",62.23%,光電材料及元件製造業,光電業,光電業,是,https://drive.google.com/file/d/17lK4QNJ1CZjrb7wszqQB6hPtoho9iLW9/view,,,,12800225,"0051, 0052, 0053, 0057, 006203, 006204, 00733, 00850, 00901, 00905"
112,R0503072,森霸電力股份有限公司,森霸電力股份有限公司,70783499,"2,193,251.41","2,371.20","2,195,622.61",100.00%,"2,195,622.61","2,195,622.61",100.00%,台南市,"2,195,622.61",100.00%,電力供應業,電力業,非屬公開發行,否,,電力業歸在不收的範疇,,https://www.sunbapower.com.tw/csr/#envArea,70783499
112,B2313780,友達光電股份有限公司台中廠,友達光電股份有限公司,84149738,"19,097.41","847,846.82","866,944.23",43.96%,"1,971,912.89","1,971,912.89",100.00%,台中市,"1,218,138.16",61.77%,光電材料及元件製造業,光電業,光電業,是,https://drive.google.com/file/d/1yljuUSRkY1q2n36zbfaZ9jV0cJWnCfJM/view,,,,84149738,"0051, 0052, 0053, 0057, 006203, 006204, 00731, 00850, 00901, 00930, 00943"
112,H4604568,長生電力股份有限公司,長生電力股份有限公司,96933037,"1,887,559.66","1,912.77","1,889,472.43",100.00%,"1,889,472.43","1,889,472.43",100.00%,桃園市,"1,889,472.43",100.00%,電力供應業,電力業,非屬公開發行,否,,電力業歸在不收的範疇,,http://www.everpoweripp.com.tw/annual.html,96933037
112,H4810851,華亞汽電股份有限公司華亞汽電廠,華亞汽電股份有限公司,70783006,"1,748,171.28","17,376.15","1,765,547.43",95.72%,"1,844,407.99","1,844,407.99",100.00%,桃園市,"1,844,407.99",100.00%,電力供應業,電力業,非屬公開發行,否,,電力業歸在不收的範疇,,,70783006
112,Q6907286,嘉惠電力股份有限公司,嘉惠電力股份有限公司,96976990,"1,756,929.01","18,091.32","1,775,020.33",100.00%,"1,775,020.33","1,775,020.33",100.00%,嘉義縣,"1,775,020.33",100.00%,電力供應業,電力業,非屬公開發行,否,,電力業歸在不收的範疇,遠東,http://www.chiahui.com.tw/index.php/oinfo,96976990
112,R0304131,聯華電子股份有限公司Fab12A廠,聯華電子股份有限公司,47217677,"47,738.46","401,583.01","449,321.47",31.42%,"1,430,026.92","1,430,026.92",100.00%,台南市,"794,300.87",55.54%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1nJ052z4bHTX2qZYKZFxPJ4bG50-lH4QN/view,,,,47217677,"0050, 0052, 0053, 0056, 0057, 006203, 006204, 006208, 00690, 00692, 00713, 00728, 00731, 00850, 00878, 00881, 00891, 00892, 00896, 00900, 00901, 00904, 00912, 00913, 00915, 00918, 00919, 00922, 00923, 00927, 00929, 00930, 00932, 00934, 00935, 00939, 00940, 00943, 00944, 00946, 00952, 00961, 009802, 009803, 009804, 009808"
