年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類,永續報告書有無,是否有報告,報告書收錄連結,報告書／資訊狀態,所屬集團,資訊來源,統編_trim,收錄 ETF
112,R9702160,台灣汽電共生股份有限公司官田廠,台灣汽電共生股份有限公司,86685142,"336,811.82",357.66,"337,169.48",100.00%,"337,169.48","337,169.48",100.00%,台南市,"337,169.48",100.00%,電力供應業,電力業,油電燃氣業,是,https://drive.google.com/file/d/1sqfMSkZTCSrKheCFRT5UneT6sHkpmajU/view,電力業歸在不收的範疇,,,86685142,"006204, 00692"
112,J59A7436,力成科技股份有限公司3C廠,力成科技股份有限公司,16082267,"2,248.73","73,957.30","76,206.04",24.87%,"306,448.34","262,250.24",85.58%,新竹縣,"265,913.91",86.77%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/10emPhUCZDoZmHhlMoeA97xC0AKpD5dCb/view,,,,16082267,"0051, 0052, 0053, 0056, 006204, 00713, 00733, 00850, 00881, 00891, 00904, 00905, 00913, 00918, 00919, 00927, 00929, 00932, 00934, 00935, 00936, 00939, 00940, 00943, 00944, 00946, 00961"
112,R8500582,華新麗華股份有限公司鹽水廠,華新麗華股份有限公司,35412204,"82,120.05","130,952.73","213,072.78",72.54%,"293,729.54","293,729.54",100.00%,台南市,"213,072.78",72.54%,鋼鐵製造業,鋼鐵業,電器電纜,是,https://drive.google.com/file/d/1Xyq3nrMN2EeALWnttyXYlGtu_9P0F7jO/view,,,,35412204,"0051, 006204, 00692, 00850, 00896, 00901, 00918"
112,H5100952,新光合成纖維股份有限公司中壢廠,新光合成纖維股份有限公司,	07435515,"92,771.26","150,351.44","243,122.69",84.66%,"287,173.16","287,173.16",100.00%,桃園市,"287,173.16",100.00%,紡紗業,紡織業,紡織纖維,是,https://drive.google.com/file/d/1JDQ4w9c02t2HZ-AHcy6m0uKBLI4Ca4iw/view,,,,07435515
112,K7195124,京元電子股份有限公司竹南分公司中華廠,京元電子股份有限公司,22507241,"3,983.24","206,898.73","210,881.97",75.28%,"280,120.09","280,120.09",100.00%,苗栗縣,"280,120.09",100.00%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1UnKL-7Rt8T3wmUhv6T6VRFR-Q_rju0jQ/view,,,,22507241,"0051, 0052, 0053, 0056, 006204, 00690, 00850, 00881, 00891, 00896, 00904, 00913, 00918, 00927, 00929, 00935, 00939, 00962, 009803"
112,E5600332,協勝發鋼鐵廠股份有限公司,協勝發鋼鐵廠股份有限公司,79254702,"83,797.40","190,747.73","274,545.14",100.00%,"274,545.14","274,545.14",100.00%,高雄市,"274,545.14",100.00%,鋼鐵製造業,鋼鐵業,非屬公開發行,否,,只出到2023年,,http://www.ssf-steel.com.tw/,79254702
112,R0305156,瀚宇彩晶股份有限公司南科TFT-LCD三廠,瀚宇彩晶股份有限公司,16450500,"15,534.45","212,868.17","228,402.62",85.92%,"265,839.99","265,839.99",100.00%,台南市,"265,839.99",100.00%,光電材料及元件製造業,光電業,光電業,是,https://drive.google.com/file/d/176WAUO9KAhRQ06Vm1XmrTDQxVYzWXMxJ/view,,,,16450500,006204
112,S1602102,中鴻鋼鐵股份有限公司熱軋廠,中鴻鋼鐵股份有限公司,	07838854,"132,159.33","101,533.58","233,692.91",89.66%,"260,634.45","260,634.45",100.00%,高雄市,"260,634.45",100.00%,鋼鐵製造業,鋼鐵業,鋼鐵工業,是,https://drive.google.com/file/d/1orthyboY-WUTBc3ESiKvGCiwfg6VnStK/view,,,,07838854
112,R9701341,威致鋼鐵工業股份有限公司官田廠,威致鋼鐵工業股份有限公司,69771636,"86,682.61","162,234.34","248,916.95",100.00%,"248,916.95","248,916.95",100.00%,台南市,"248,916.95",100.00%,鋼鐵製造業,鋼鐵業,鋼鐵工業,是,https://drive.google.com/file/d/1SvpXxxXoKNQM5tyHmYhMd4E5pOWoXqn2/view,,,,69771636
112,H5205514,景碩科技股份有限公司清華一廠,景碩科技股份有限公司,70785139,"4,661.41","85,725.40","90,386.81",38.18%,"236,714.85","236,714.85",100.00%,桃園市,"152,000.76",64.21%,印刷電路板製造業,電子業,半導體業,是,https://drive.google.com/file/d/1hZ7lWJjmCYSBJu0VF_fan64H22lnkrxm/view,,,,70785139,"0053, 006204, 00918, 00935, 009802"
112,E1902497,林園先進材料科技股份有限公司,林園先進材料科技股份有限公司,42818882,"204,778.65","26,068.95","230,847.60",100.00%,"230,847.60","230,847.60",100.00%,高雄市,"230,847.60",100.00%,石油及煤製品製造業,石化業,非屬公開發行,是,https://drive.google.com/file/d/1HEDymeL2rcECv--rDyp22qUdx5yCSweW/view,永續報告書,國際中橡,,42818882
112,P5801871,台塑勝高科技股份有限公司麥寮矽晶圓廠,台塑勝高科技股份有限公司,89406518,"5,871.80","223,231.51","229,103.31",100.00%,"229,103.31","229,103.31",100.00%,雲林縣,"229,103.31",100.00%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1GN121xBlvj_9gtiOuzIt9Fz--MbT9o8T/view,,,,89406518,"0053, 006204, 00692, 00850, 00918, 00943, 00944"
112,J6300860,南茂科技股份有限公司竹科一廠,南茂科技股份有限公司,16130042,566.15,"47,481.70","48,047.85",21.36%,"224,959.77","224,959.77",100.00%,新竹縣,"114,199.78",50.76%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1H-xaogD5PsqfHV5Zvv-9m-Bs7a9A87H0/view,,,,16130042,"0053, 006204, 00943, 00944, 00962"
112,H49A2429,凌巨科技股份有限公司八德廠,凌巨科技股份有限公司,16432742,"141,543.88","83,378.99","224,922.87",100.00%,"224,922.87","224,922.87",100.00%,桃園市,"224,922.87",100.00%,光電材料及元件製造業,光電業,光電業,是,https://drive.google.com/file/d/19MXGzJCUgF9hhq-L5KlLiyceORSoYe7z/view,,,,16432742
112,E5600305,李長榮化學工業股份有限公司高雄廠,李長榮化學工業股份有限公司,39054405,"24,368.18","57,211.81","81,579.99",37.81%,"215,745.08","215,745.08",100.00%,高雄市,"215,745.08",100.00%,化學原材料製造業,石化業,非屬公開發行,是,,永續報告書,,https://www.lcycic.com/zh/sustainability,39054405
112,N2904318,力鵬企業股份有限公司彰化尼龍總廠,力鵬企業股份有限公司,33955322,"69,916.34","60,357.44","130,273.78",62.49%,"208,485.03","130,273.78",62.49%,彰化縣,"130,273.78",62.49%,人造纖維製造業,石化業,紡織纖維,是,https://drive.google.com/file/d/1ZF7xa5935ATCYy1QDuuCK-Om4_M9qkHB/view,,,,33955322
112,S1900658,台灣苯乙烯工業股份有限公司高雄廠,台灣苯乙烯工業股份有限公司,20844865,"174,823.14","25,923.75","200,746.89",100.00%,"200,746.89","200,746.89",100.00%,高雄市,"200,746.89",100.00%,化學原材料製造業,石化業,塑膠工業,是,https://drive.google.com/file/d/1ee9nLytVunzoXG1qBs4iX6TJ18B2N18D/view,,,,20844865
112,R8400827,榮剛材料科技股份有限公司新營廠,榮剛材料科技股份有限公司,84252697,"62,850.05","76,992.73","139,842.79",72.82%,"192,033.58","192,033.58",100.00%,台南市,"192,033.58",100.00%,鋼鐵製造業,鋼鐵業,鋼鐵工業,是,https://drive.google.com/file/d/1jg2eXl4bKsOc0LBPa9SeHkitnko7Y3Zg/view,,,,84252697,"00730, 00915, 00932, 00944"
112,L9101748,中美和石油化學股份有限公司台中廠,中美和石油化學股份有限公司,14040691,"155,795.34","29,438.19","185,233.53",100.00%,"185,233.53","185,233.53",100.00%,台中市,"185,233.53",100.00%,化學原材料製造業,石化業,非屬公開發行,否,,無發行資訊,,http://www.capco.com.tw/default6.htm,14040691
112,E5600501,海光企業股份有限公司,海光企業股份有限公司,75470524,"29,306.89","97,258.42","126,565.31",68.37%,"185,130.89","185,130.89",100.00%,高雄市,"185,130.89",100.00%,鋼鐵製造業,鋼鐵業,鋼鐵工業,是,https://drive.google.com/file/d/1x2WGrSwXDlo2eWoRMh0h5S4o0BGD7lUf/view,,,,75470524
112,R14A1883,易昇鋼鐵股份有限公司,易昇鋼鐵股份有限公司,28098406,"52,436.10","103,211.22","155,647.32",85.78%,"181,447.44","181,447.44",100.00%,台南市,"181,447.44",100.00%,鋼鐵製造業,鋼鐵業,非屬公開發行,否,,無發行資訊,台鋼,https://www.essteel.com.tw/about-ess/,28098406
112,S1900372,台灣氯乙烯工業股份有限公司林園廠,台灣氯乙烯工業股份有限公司,19084015,"121,335.88","55,018.15","176,354.03",100.00%,"176,354.03","176,354.03",100.00%,高雄市,"176,354.03",100.00%,化學原材料製造業,石化業,非屬公開發行,否,,無發行資訊,,https://www.tvcm.com.tw/zh-tw/dirEnv/frmEnv.aspx,19084015
112,E56A2617,尚承鋼鐵股份有限公司,尚承鋼鐵股份有限公司,27208480,"92,727.24","77,861.45","170,588.69",100.00%,"170,588.69","170,588.69",100.00%,高雄市,"170,588.69",100.00%,鋼鐵製造業,鋼鐵業,非屬公開發行,否,,無發行資訊,,http://www.sssteel.com.tw/%E5%B0%9A%E6%89%BFASP/default.asp,27208480
112,B24B8988,大立光電股份有限公司七廠,大立光電股份有限公司,22480876,489.46,"70,346.66","70,836.12",43.12%,"164,275.32","164,275.32",100.00%,台中市,"164,275.32",100.00%,光學儀器及設備製造業,光電業,光電業,是,https://drive.google.com/file/d/1JAjWi9LFxDCwG67vPJmrJKxms8TBdx9B/view,,,,22480876,"0050, 0052, 0053, 0057, 006203, 006204, 006208, 00690, 00728, 00850, 00881, 00901, 00905, 00912, 00921, 00922, 00934, 009803, 009804, 009808"
112,P4600987,福懋興業股份有限公司,福懋興業股份有限公司,14001199,"70,239.06","57,355.54","127,594.61",78.87%,"161,770.50","161,770.50",100.00%,雲林縣,"161,770.50",100.00%,染整業,紡織業,紡織纖維,是,https://drive.google.com/file/d/1rdCLDP_3Ntjx5UWpnjHsXqkjKSWS__5A/view,,,,14001199,"006204, 00850"
112,N2902234,力麗企業股份有限公司彰化化纖總廠,力麗企業股份有限公司,	07663290,"48,275.70","63,742.82","112,018.52",71.47%,"156,729.03","112,018.52",71.47%,彰化縣,"156,729.03",100.00%,人造纖維製造業,石化業,紡織纖維,是,https://drive.google.com/file/d/16OCBScFuZDcvf2pnQ1X1lFexRmBz1eTk/view,,,,07663290
112,Q7100245,台灣必成股份有限公司新港廠,台灣必成股份有限公司,22662355,"40,358.44","114,311.00","154,669.44",100.00%,"154,669.44","154,669.44",100.00%,嘉義縣,"154,669.44",100.00%,玻璃及其製品製造業,非金屬製品加工業,非屬公開發行,否,,無發行資訊,台塑,http://www.pfg.com.tw/j2pfg/zhtw/about#c,22662355
112,P48A0851,富喬工業股份有限公司雲林分公司,富喬工業股份有限公司,16834268,"37,640.07","39,143.77","76,783.84",50.73%,"151,358.74","151,358.74",100.00%,雲林縣,"151,358.74",100.00%,玻璃及其製品製造業,非金屬製品加工業,電子零組件業,是,https://drive.google.com/file/d/1EPoV9YGLbr1aegMcFUsvqUXfVRoSqUxW/view,,,,16834268
112,E5600092,中鋼鋁業股份有限公司,中鋼鋁業股份有限公司,96971313,"54,489.56","93,090.68","147,580.24",100.00%,"147,580.24","147,580.24",100.00%,高雄市,"147,580.24",100.00%,鋁製造業,鋁製造業,非屬公開發行,是,,永續報告書,,https://www.csalu.com.tw/donwload_csr.html,96971313
112,H4601272,華通電腦股份有限公司三廠,華通電腦股份有限公司,	04401392,660.21,"57,888.50","58,548.71",40.25%,"145,462.96","145,462.96",100.00%,桃園市,"145,462.96",100.00%,印刷電路板製造業,電子業,電子零組件業,是,https://drive.google.com/file/d/1q_DsfTvhJkdRal9wZOuiQnBMWcbpxCn_/view,,,,04401392
112,S2500536,燁輝企業股份有限公司高雄一廠,燁輝企業股份有限公司,75947936,"49,540.49","69,390.80","118,931.29",81.82%,"145,362.35","145,362.35",100.00%,高雄市,"118,931.29",81.82%,金屬加工處理業,鋼鐵業,鋼鐵工業,是,https://drive.google.com/file/d/1dfISrbazogslOCjH-7Zfa54YR8zQvKRS/view,,,,75947936,006204
112,J6301090,環球晶圓股份有限公司中德廠,環球晶圓股份有限公司,28113286,"1,531.51","122,507.42","124,038.92",85.43%,"145,193.38","124,038.92",85.43%,新竹縣,"124,038.92",85.43%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1fYlbhcBAlrTLJvmhR5PyRx2Plya4HU8k/view,,,,28113286,"0057, 006203, 00891, 00901, 00904, 00913, 00915, 00918, 00927, 00935"
112,H4886999,穩懋半導體股份有限公司華亞二廠,穩懋半導體股份有限公司,70752257,"19,855.76","46,265.80","66,121.57",45.64%,"144,868.65","144,868.65",100.00%,桃園市,"144,868.65",100.00%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1TEkzwZLW8P8TP1XCCtgUGcgMgWEYhNIs/view,,,,70752257,"00891, 00901, 00913, 00935, 009802"
112,S2300438,台橡股份有限公司高雄廠,台橡股份有限公司,	03553737,"101,347.44","42,997.72","144,345.17",100.00%,"144,345.17","144,345.17",100.00%,高雄市,"144,345.17",100.00%,塑膠及合成橡膠原料製造業,石化業,橡膠工業,是,https://drive.google.com/file/d/1GB3_VFuCZpmMlNn6JfMrK4S04zKRkOzd/view,,,,03553737
112,G32A0540,羅東鋼鐵廠股份有限公司煉鋼廠,羅東鋼鐵廠股份有限公司,42010509,"38,794.88","105,144.97","143,939.85",100.00%,"143,939.85","143,939.85",100.00%,宜蘭縣,"143,939.85",100.00%,鋼鐵製造業,鋼鐵業,非屬公開發行,否,,無發行資訊,,http://www.ltsteel.tw/about_us/,42010509
112,S2201056,台灣聚合化學品股份有限公司高雄廠,台灣聚合化學品股份有限公司,11917107,"20,983.00","121,408.27","142,391.27",100.00%,"142,391.27","142,391.27",100.00%,高雄市,"142,391.27",100.00%,化學原材料製造業,石化業,塑膠工業,是,https://drive.google.com/file/d/1yvOQnZCMrechA_piRRQgcRTfgMPCBht7/view,,,,11917107
112,S1901066,信昌化學工業股份有限公司林園廠,信昌化學工業股份有限公司,86120031,"96,379.65","42,068.82","138,448.47",100.00%,"138,448.47","138,448.47",100.00%,高雄市,"138,448.47",100.00%,化學原材料製造業,石化業,非屬公開發行,是,,永續報告書,,https://www.tpcc.com.tw/tw/esgReport.html,86120031
112,E5600136,台灣志氯化學股份有限公司?氯廠,台灣志氯化學股份有限公司,22318516,111.53,"136,331.11","136,442.64",100.00%,"136,442.64","136,442.64",100.00%,高雄市,"136,442.64",100.00%,化學原材料製造業,石化業,非屬公開發行,否,,無發行資訊,,https://www.tciwestlake.com.tw/html/about_us.html#2,22318516
112,P5805780,台灣醋酸化學股份有限公司醋酸廠,台灣醋酸化學股份有限公司,80087041,"16,203.87","119,983.09","136,186.96",100.00%,"136,186.96","136,186.96",100.00%,雲林縣,"136,186.96",100.00%,未分類其他化學製品製造業,石化業,非屬公開發行,否,,無發行資訊,台塑,https://www.fpg.com.tw/tw/about/other-company/1,80087041
112,E54A1352,頎邦科技股份有限公司南六廠,頎邦科技股份有限公司,16130009,495.30,"23,937.46","24,432.76",18.03%,"135,476.18","113,014.52",83.42%,高雄市,"46,894.42",34.61%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1AoOXY5kcZA_Fu1cB3TMeCMZCpdsmZeT-/view,,,,16130009,"00730, 00891, 00900, 00904, 00913, 00918, 00927, 00929, 00930, 00932, 00934, 00935, 00936, 00940, 00943, 00944, 00946"
112,K7000513,建順煉鋼股份有限公司,建順煉鋼股份有限公司,55695790,"42,299.93","87,285.45","129,585.38",100.00%,"129,585.38","129,585.38",100.00%,苗栗縣,"129,585.38",100.00%,鋼鐵製造業,鋼鐵業,非屬公開發行,否,,無發行資訊,,https://chienshunsteel.com/aboutus/,55695790
112,E5602934,中聯資源股份有限公司臨海廠,中聯資源股份有限公司,86119908,"20,695.62","19,743.87","40,439.49",31.22%,"129,511.28","129,511.28",100.00%,高雄市,"71,675.67",55.34%,其他非金屬礦物製品製造業,非金屬製品加工業,綠能環保,是,https://drive.google.com/file/d/17XTUOcAXulwH52ivEn7A0x6F2CUVJADi/view,,,,86119908,00692
112,O1704812,台灣茂矽電子股份有限公司,台灣茂矽電子股份有限公司,22099110,"80,834.37","45,102.86","125,937.23",100.00%,"125,937.23","125,937.23",100.00%,新竹市,"125,937.23",100.00%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1GECiVmnwrwDEnGKlvq5i4ZYIkx6EJyk5/view,,,,22099110
112,R1001791,台南紡織股份有限公司太子廠,台南紡織股份有限公司,68919301,"23,813.18","53,816.76","77,629.94",62.61%,"123,999.30","77,629.94",62.61%,台南市,"123,999.30",100.00%,人造纖維製造業,石化業,紡織纖維,是,https://drive.google.com/file/d/1orOuy4bPk2VYvyK0XzSy5W9mMu7V6M1n/view,,,,68919301
112,E49A6412,台灣福雷電子股份有限公司三廠,台灣福雷電子股份有限公司,22100242,375.60,"61,551.61","61,927.21",52.09%,"118,894.17","61,927.21",52.09%,高雄市,"118,894.17",100.00%,半導體製造業,半導體業,非屬公開發行,是,https://drive.google.com/file/d/1B27JEf3yn0efts4UX38_LikS7c1bUOu6/view,同日月光投控,日月光,,22100242
112,H43C0794,精材科技股份有限公司中壢三廠,精材科技股份有限公司,16741846,839.35,"64,587.34","65,426.69",55.22%,"118,492.83","118,492.83",100.00%,桃園市,"118,492.83",100.00%,其他電子零組件製造業,電子業,半導體業,是,https://drive.google.com/file/d/1u5PNT_4b8SPDCpHxpQ3s3MRUKxwyP1YP/view,,,,16741846,"00891, 00892, 00935"
112,P4602196,福懋科技股份有限公司,福懋科技股份有限公司,23826736,987.86,"111,015.42","112,003.28",100.00%,"112,003.28","112,003.28",100.00%,雲林縣,"112,003.28",100.00%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/14CoP40eJFb5vgvRlTznWQ8R4rHinvvNI/view,,,,23826736,0053
112,H5304165,集盛實業股份有限公司第三廠,集盛實業股份有限公司,43295237,"8,107.01","41,530.10","49,637.12",44.87%,"110,625.59","110,625.59",100.00%,桃園市,"110,625.59",100.00%,紡紗業,紡織業,紡織纖維,是,https://drive.google.com/file/d/1HKUd3Y7XRwI4TRbDMGbV3auRT1f013yz/view,,,,43295237
112,L8900676,永豐餘消費品實業股份有限公司清水廠,永豐餘消費品實業股份有限公司,22327037,"35,845.76","27,731.66","63,577.42",58.03%,"109,560.84","109,560.84",100.00%,台中市,"63,577.42",58.03%,其他紙製品製造業,造紙業,造紙工業,是,https://drive.google.com/file/d/17j921Ejzg4uVFKGC7z_ubcA3zUVM3gYa/view,,,,22327037
112,S1900596,亞洲聚合股份有限公司 林園廠,亞洲聚合股份有限公司,20747385,"10,187.57","97,777.51","107,965.08",100.00%,"107,965.08","107,965.08",100.00%,高雄市,"107,965.08",100.00%,塑膠及合成橡膠原料製造業,石化業,塑膠工業,是,https://drive.google.com/file/d/1BPsuXyVGlZUJyuUP18eROqPjvYXdpdad/view,,,,20747385
112,K7200933,華夏海灣塑膠股份有限公司頭份總廠,華夏海灣塑膠股份有限公司,11686106,"29,583.74","75,042.86","104,626.60",100.00%,"104,626.60","104,626.60",100.00%,苗栗縣,"104,626.60",100.00%,化學原材料製造業,石化業,塑膠工業,是,https://drive.google.com/file/d/1PaWF70N5heo2XhlqpECW7ASo2DndoeKz/view,,,,11686106
112,P4606818,金居開發股份有限公司斗六二廠,金居開發股份有限公司,16447610,"1,269.06","53,741.86","55,010.92",52.71%,"104,357.19","104,357.19",100.00%,雲林縣,"104,357.19",100.00%,銅製造業,銅製造業,電子零組件業,是,https://drive.google.com/file/d/1FcE_HX0-Y7tE3leycw-KWBfY0IZJ8_3L/view,,,,16447610,00943
112,L8801052,廣源造紙股份有限公司台中廠,廣源造紙股份有限公司,50301500,"68,702.42","35,129.33","103,831.75",100.00%,"103,831.75","103,831.75",100.00%,台中市,"103,831.75",100.00%,紙漿、紙及紙板製造業,造紙業,非屬公開發行,否,,無發行資訊,,https://www.kyp.com.tw/tw/accommodations.html,50301500
112,O1703315,華夏玻璃股份有限公司,華夏玻璃股份有限公司,47109348,"76,030.98","26,120.55","102,151.53",100.00%,"102,151.53","102,151.53",100.00%,新竹市,"102,151.53",100.00%,玻璃及其製品製造業,非金屬製品加工業,非屬公開發行,否,,只出到2023年，而且抓不下來,,https://www.hwahsiaglass.com/tw/esg,47109348
112,K7103046,超豐電子股份有限公司公義廠,超豐電子股份有限公司,	05126366,776.40,"72,423.79","73,200.19",72.47%,"101,002.75","101,002.75",100.00%,苗栗縣,"101,002.75",100.00%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1K6aX_HdyvYWO9hQK0-l7NjfsjapQ7v09/view,,,,05126366
112,R9701056,大統益股份有限公司,大統益股份有限公司,20927014,"12,072.14","88,705.19","100,777.33",100.00%,"100,777.33","100,777.33",100.00%,台南市,"100,777.33",100.00%,動植物油脂製造業,食品業,食品工業,是,https://drive.google.com/file/d/1h2nd7iJMwj8ShLybMPh8iVkTkqVRaEAK/view,,,,20927014
112,S2602473,裕鐵企業股份有限公司岡山二廠,裕鐵企業股份有限公司,85978401,"24,470.29","38,470.31","62,940.60",64.42%,"97,696.59","97,696.59",100.00%,高雄市,"97,696.59",100.00%,金屬加工處理業,鋼鐵業,非屬公開發行,否,,無發行資訊,,https://www.ptgroup.com.tw/,85978401
112,H5200617,聯成鋼鐵股份有限公司桃園廠,聯成鋼鐵股份有限公司,22822748,"28,884.62","68,394.89","97,279.52",100.00%,"97,279.52","97,279.52",100.00%,桃園市,"97,279.52",100.00%,鋼鐵製造業,鋼鐵業,非屬公開發行,否,,無發行資訊,,,22822748
112,R0500240,宏遠興業股份有限公司,宏遠興業股份有限公司,22817999,"52,461.53","43,387.87","95,849.40",100.00%,"95,849.40","95,849.40",100.00%,台南市,"95,849.40",100.00%,染整業,紡織業,紡織纖維,是,https://drive.google.com/file/d/1t-cTNQb6GCJiDNlEfmMlEwSSPKy9AB4N/view,,,,22817999
112,M3302600,台灣銅箔股份有限公司,台灣銅箔股份有限公司,61932639,"11,796.82","84,040.47","95,837.29",100.00%,"95,837.29","95,837.29",100.00%,南投縣,"95,837.29",100.00%,銅製造業,銅製造業,非屬公開發行,否,,無發行資訊,,https://www.tcf.com.tw/esg/4/,61932639
112,K8201149,冠軍建材股份有限公司第二廠,冠軍建材股份有限公司,49701774,"61,784.65","26,632.19","88,416.84",100.00%,"88,416.84","88,416.84",100.00%,苗栗縣,"88,416.84",100.00%,耐火、黏土建材及其他陶瓷製品製造業,非金屬製品加工業,玻璃陶瓷,是,https://drive.google.com/file/d/1IN7Wig1r_XXBJZQFO3R1BUy4_TZNXdDe/view,,,,49701774,00921
112,S2300447,高雄塑酯化學工業股份有限公司,高雄塑酯化學工業股份有限公司,85803825,"67,502.81","20,286.69","87,789.50",100.00%,"87,789.50","87,789.50",100.00%,高雄市,"87,789.50",100.00%,化學原材料製造業,石化業,非屬公開發行,否,,無發行資訊,,https://www.kmc.com.tw/en/menupage/74?mainMenuId=60&subMenuId=74,85803825
112,G32A0609,燿華電子股份有限公司宜蘭廠,燿華電子股份有限公司,	05637971,"2,303.11","42,820.86","45,123.98",51.58%,"87,482.71","87,482.71",100.00%,宜蘭縣,"45,123.98",51.58%,印刷電路板製造業,電子業,電子零組件業,是,https://drive.google.com/file/d/1bkY1e7D9TEH2Z4R-iZAVgCDrMS_1QppT/view,,,,05637971
112,E5601197,唐榮鐵工廠股份有限公司,唐榮鐵工廠股份有限公司,75460005,"29,842.39","56,537.88","86,380.27",100.00%,"86,380.27","86,380.27",100.00%,高雄市,"86,380.27",100.00%,鋼鐵製造業,鋼鐵業,鋼鐵工業,是,https://drive.google.com/file/d/1zvVJxU1S9lm5IbkmDcwFqyB2o5MifNqZ/view,,,,75460005
112,S1900694,台灣石化合成股份有限公司林園廠,台灣石化合成股份有限公司,30974253,"46,948.23","37,895.67","84,843.90",100.00%,"84,843.90","84,843.90",100.00%,高雄市,"84,843.90",100.00%,未分類其他化學製品製造業,石化業,非屬公開發行,否,,無發行資訊,台灣石化合成,https://www.tasco.com.tw/tasco-chemical-corp/about-us/environmental,30974253
112,E5601437,中鋼碳素化學股份有限公司,中鋼碳素化學股份有限公司,23221384,"26,047.14","57,646.63","83,693.76",100.00%,"83,693.76","83,693.76",100.00%,高雄市,"83,693.76",100.00%,化學原材料製造業,石化業,化學工業,是,https://drive.google.com/file/d/13O0J3aJboQqgqAb21bkxO4VYB3_ezeCd/view,,,,23221384,"006204, 00896, 00944"
112,H4304929,金像電子股份有限公司中壢廠,金像電子股份有限公司,30955404,"17,955.67","65,303.53","83,259.20",100.00%,"83,259.20","83,259.20",100.00%,桃園市,"83,259.20",100.00%,印刷電路板製造業,電子業,非屬公開發行,是,,永續報告書,,https://www.gce.com.tw/csrreport.html,30955404,"0051, 0052, 0053, 006204, 00881, 00935, 009803"
112,N1607141,台灣鋼聯股份有限公司,台灣鋼聯股份有限公司,89528054,"73,123.37","9,399.67","82,523.04",100.00%,"82,523.04","82,523.04",100.00%,彰化縣,"82,523.04",100.00%,化學原材料製造業,石化業,綠能環保,是,https://drive.google.com/file/d/18t2fUPixeMSPJSPWXmflRYX9sFwC5gCp/view,,,,89528054,00905
112,H4603972,三義化學工業股份有限公司桃園海湖廠,三義化學工業股份有限公司,23827741,"7,409.27","73,274.51","80,683.78",100.00%,"80,683.78","80,683.78",100.00%,桃園市,"80,683.78",100.00%,化學原材料製造業,石化業,非屬公開發行,否,,無發行資訊,義芳,http://www.yeefong.com.tw/about_use.php,23827741
112,N2100552,正新橡膠工業股份有限公司,正新橡膠工業股份有限公司,59504506,"23,511.65","26,832.50","50,344.15",63.29%,"79,551.45","79,551.45",100.00%,彰化縣,"79,551.45",100.00%,橡膠製品製造業,石化業,橡膠工業,是,https://drive.google.com/file/d/16aor70zMMvoSuB-cTC0V5R1WjZuR6rmc/view,,,,59504506,"0051, 0056, 0057, 006203, 006204, 00731, 00850, 00878, 00896, 00900, 00901, 00907, 00918, 00921, 00939, 00944, 00961, 009808"
112,H5001589,艾克爾國際科技股份有限公司龍潭廠,艾克爾國際科技股份有限公司,16631664,"9,097.30","34,570.19","43,667.49",55.83%,"78,213.33","78,213.33",100.00%,桃園市,"43,667.49",55.83%,半導體製造業,半導體業,非屬公開發行,是,,簡中企業責任報告,amkor,https://amkor.com/cn/corporate-responsibility/cr-report/,16631664
112,E56B1498,環球橡膠股份有限公司小港廠,環球橡膠股份有限公司,29058640,"5,666.65","72,197.15","77,863.80",100.00%,"77,863.80","77,863.80",100.00%,高雄市,"77,863.80",100.00%,塑膠及合成橡膠原料製造業,石化業,非屬公開發行,否,,無發行資訊,,,29058640
112,P5802323,南中石化工業股份有限公司乙二醇廠,南中石化工業股份有限公司,97161348,"1,556.64","76,154.99","77,711.63",100.00%,"77,711.63","77,711.63",100.00%,雲林縣,"77,711.63",100.00%,化學原材料製造業,石化業,非屬公開發行,否,,無發行資訊,台塑,https://www.fpg.com.tw/tw/about/other-company/1,97161348
112,R0300384,統一企業股份有限公司新市廠,統一企業股份有限公司,73251209,"20,006.92","30,940.64","50,947.57",65.69%,"77,562.29","77,562.29",100.00%,台南市,"50,947.57",65.69%,乳品製造業,食品業,食品工業,是,https://drive.google.com/file/d/1hLmgizAbKiTzwRHfM5hxtM-UDHofQsdA/view,,,,73251209,"0050, 0056, 0057, 006203, 006204, 006208, 00701, 00713, 00731, 00850, 00878, 00912, 00921, 00922, 00923, 00940, 00944, 009802, 009804, 009808"
