公司,事業統編,工廠數,2023排放量,行業別,排放量扣除額,碳費基準每噸300元,碳費基準!00,碳費基準50,營業收入,營業成本,本期淨利,300佔營收,300佔成本-外加,300佔淨利
台灣電力股份有限公司,	03795904,12,"93,328,083.64",電力業,300000,"NT$2,790,842.51 萬元","NT$930,280.84 萬元","NT$465,140.42 萬元","NT$78,098,366.00 萬元","NT$94,347,385.00 萬元","-NT$19,993,553.00 萬元",3.57%,2.96%,淨利為負值
台塑石化股份有限公司,86522210,3,"24,234,494.00",石化業,75000,"NT$724,784.82 萬元","NT$241,594.94 萬元","NT$120,797.47 萬元","NT$71,257,619.00 萬元","NT$68,555,353.00 萬元","NT$2,187,585.00 萬元",1.02%,1.06%,33.13%
中國鋼鐵股份有限公司,30414175,2,"18,066,406.34",鋼鐵業,50000,"NT$540,492.19 萬元","NT$180,164.06 萬元","NT$90,082.03 萬元","NT$36,332,650.00 萬元","NT$34,655,375.00 萬元","NT$353,121.00 萬元",1.49%,1.56%,153.06%
台灣積體電路製造股份有限公司,22099131,31,"11,418,277.62",半導體業,775000,"NT$319,298.33 萬元","NT$106,432.78 萬元","NT$53,216.39 萬元","NT$216,173,584.00 萬元","NT$98,662,521.00 萬元","NT$83,776,752.00 萬元",0.15%,0.32%,0.38%
麥寮汽電股份有限公司,96975970,1,"9,443,380.10",電力業,25000,"NT$282,551.40 萬元","NT$94,183.80 萬元","NT$47,091.90 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
中龍鋼鐵股份有限公司,84613756,1,"9,216,366.06",鋼鐵業,25000,"NT$275,740.98 萬元","NT$91,913.66 萬元","NT$45,956.83 萬元","NT$8,957,417.00 萬元","NT$9,340,022.00 萬元","-NT$519,537.00 萬元",3.08%,2.95%,淨利為負值
台灣塑膠工業股份有限公司,75708007,8,"8,130,027.41",石化業,200000,"NT$237,900.82 萬元","NT$79,300.27 萬元","NT$39,650.14 萬元","NT$19,913,878.00 萬元","NT$18,931,232.00 萬元","NT$733,771.00 萬元",1.19%,1.26%,32.42%
台灣化學纖維股份有限公司,58650902,5,"8,022,912.66",石化業,125000,"NT$236,937.38 萬元","NT$78,979.13 萬元","NT$39,489.56 萬元","NT$33,261,953.00 萬元","NT$32,119,509.00 萬元","NT$770,494.00 萬元",0.71%,0.74%,30.75%
和平電力股份有限公司,16096852,1,"7,995,242.90",電力業,25000,"NT$239,107.29 萬元","NT$79,702.43 萬元","NT$39,851.21 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣中油股份有限公司,	03707901,5,"6,542,927.09",石化業,125000,"NT$192,537.81 萬元","NT$64,179.27 萬元","NT$32,089.64 萬元","NT$110,346,853.00 萬元","NT$109,280,886.00 萬元","-NT$2,045,171.00 萬元",0.17%,0.18%,淨利為負值
南亞塑膠工業股份有限公司,75370905,9,"3,752,539.36",石化業,225000,"NT$105,826.18 萬元","NT$35,275.39 萬元","NT$17,637.70 萬元","NT$25,975,534.00 萬元","NT$24,051,934.00 萬元","NT$811,005.00 萬元",0.41%,0.44%,13.05%
台灣水泥股份有限公司,11913502,2,"3,643,800.26",水泥業,50000,"NT$107,814.01 萬元","NT$35,938.00 萬元","NT$17,969.00 萬元","NT$10,931,434.00 萬元","NT$8,878,057.00 萬元","NT$1,000,461.00 萬元",0.99%,1.21%,10.78%
亞洲水泥股份有限公司,	03244509,1,"2,782,856.11",水泥業,25000,"NT$82,735.68 萬元","NT$27,578.56 萬元","NT$13,789.28 萬元","NT$8,018,280.00 萬元","NT$6,974,561.00 萬元","NT$1,108,411.00 萬元",1.03%,1.19%,7.46%
長春石油化學股份有限公司,11384806,5,"2,475,901.51",石化業,125000,"NT$70,527.05 萬元","NT$23,509.02 萬元","NT$11,754.51 萬元","NT$10,573,862.00 萬元","NT$9,424,159.00 萬元","NT$496,952.00 萬元",0.67%,0.75%,14.19%
群創光電股份有限公司,12800225,9,"2,412,735.52",光電業,225000,"NT$65,632.07 萬元","NT$21,877.36 萬元","NT$10,938.68 萬元","NT$21,174,056.00 萬元","NT$20,863,151.00 萬元","-NT$1,859,873.00 萬元",0.31%,0.31%,淨利為負值
森霸電力股份有限公司,70783499,1,"2,195,622.61",電力業,25000,"NT$65,118.68 萬元","NT$21,706.23 萬元","NT$10,853.11 萬元","NT$2,201,016.00 萬元","NT$2,006,211.00 萬元","NT$159,520.00 萬元",2.96%,3.25%,40.82%
友達光電股份有限公司,84149738,9,"1,971,912.89",光電業,225000,"NT$52,407.39 萬元","NT$17,469.13 萬元","NT$8,734.56 萬元","NT$24,796,444.00 萬元","NT$24,335,407.00 萬元","-NT$1,815,115.00 萬元",0.21%,0.22%,淨利為負值
長生電力股份有限公司,96933037,1,"1,889,472.43",電力業,25000,"NT$55,934.17 萬元","NT$18,644.72 萬元","NT$9,322.36 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
華亞汽電股份有限公司,70783006,2,"1,844,407.99",電力業,50000,"NT$53,832.24 萬元","NT$17,944.08 萬元","NT$8,972.04 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
嘉惠電力股份有限公司,96976990,1,"1,775,020.33",電力業,25000,"NT$52,500.61 萬元","NT$17,500.20 萬元","NT$8,750.10 萬元",#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
聯華電子股份有限公司,47217677,7,"1,430,026.92",半導體業,175000,"NT$37,650.81 萬元","NT$12,550.27 萬元","NT$6,275.13 萬元","NT$22,253,300.00 萬元","NT$14,478,916.00 萬元","NT$6,143,982.00 萬元",0.17%,0.26%,0.61%
