公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030 年減量目標設定,SBTi 承諾,有具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,再生能源設置容量,是否完成用電大戶再生能源設置義務,中期再生能源目標設定,RE100 承諾,燃煤使用量（公噸）
穩懋,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,p.18,p.18,"p.26, p.111",p.27,"p.18, p.26",p.29,"p.27p.26, p.111p.26, p.111",p.27,p.29,p.27,p.27,p.27,p.27,根據環境部燃料季用量申報資料
台橡,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.7, p.31","p.7, p.31",p.147,NA,"p.36, p.128","p.46, p.150",p.43p.43p.147,p.43,p.150,p.43,p.43,NA,NA,根據環境部燃料季用量申報資料
台聚,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.4, p.84, p.85","p.4, p.84, p.85",p.96,NA,"p.61, p.77, p.95",p.94,p.96p.96p.96,"p.95, p.96",p.94,p.96,p.96,p.96,NA,根據環境部燃料季用量申報資料
頎邦,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,"p.31, p.138","p.31, p.138",p.98,p.98,NA,p.101,p.98p.98p.98,p.98,p.101,p.98,p.98,p.98,p.98,根據環境部燃料季用量申報資料
中聯資源,非金屬製品加工業,根據台灣證券交易上市公司 2023 年度第四季報,"p.58, p.73","p.58, p.71",p.121,NA,"p.71, p.73",p.68,p.71p.71p.121,p.71,p.68,NA,NA,NA,NA,根據環境部燃料季用量申報資料
茂矽,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,"p.19, p.60",p.60,"p.62, p.77",NA,"p.33, p.63",p.63,"p.77p.77p.62, p.77",NA,p.63,NA,NA,NA,NA,根據環境部燃料季用量申報資料
南紡,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.126,p.126,p.67,NA,NA,p.66,p.67p.67p.67,p.67,p.66,p.67,p.67,p.67,p.67,根據環境部燃料季用量申報資料
精材,電子業,根據台灣證券交易上市公司 2023 年度第四季報,p.85,p.87,"p.86, p.87",p.87,p.85,p.87,"p.87p.87p.86, p.87",p.87,p.87,p.87,p.87,p.87,p.87,根據環境部燃料季用量申報資料
福懋科,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,"p.13, p.66","p.13, p.66","p.69, p.121",p.69,p.64,p.71,"p.69, p.121p.121p.69, p.121","p.69, p.121",p.71,"p.69, p.121","p.69, p.121","p.69, p.121",p.69,根據環境部燃料季用量申報資料
集盛,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,p.37,p.37,p.36,p.36,p.36,p.37,p.36p.36p.36,p.36,p.37,p.36,p.36,p.36,p.36,根據環境部燃料季用量申報資料
永豐實,造紙業,根據台灣證券交易上市公司 2023 年度第四季報,p.63,"p.63, p.69",p.70,p.105,p.61,p.67,p.105p.70p.70,p.105,p.67,p.105,p.105,p.105,p.105,根據環境部燃料季用量申報資料
亞聚,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.71,p.71,p.82,NA,p.83,p.81,p.83p.83p.82,p.83,p.81,p.83,p.83,p.83,p.83,根據環境部燃料季用量申報資料
華夏,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.77,p.77,p.179,p.92,"p.86, p.92",p.89,p.92p.92p.179,p.92,p.89,p.92,p.92,p.92,p.92,根據環境部燃料季用量申報資料
金居,銅製造業,根據台灣證券交易上市公司 2023 年度第四季報,p.55,NA,p.60,p.60,p.60,p.59,p.60p.60p.60,p.60,p.59,p.60,p.60,p.60,p.60,根據環境部燃料季用量申報資料
超豐,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,p.109,"p.48, p.109","p.108, p.126",p.108,"p.48, p.103",p.128,p.108p.108p.108,p.108,p.109,p.108,p.108,p.108,p.108,根據環境部燃料季用量申報資料
大統益,食品業,根據台灣證券交易上市公司 2023 年度第四季報,p.46,p.46,"p.39, p.46",NA,NA,p.39,"NAp.39p.39, p.46",NA,p.39,NA,NA,NA,NA,根據環境部燃料季用量申報資料
宏遠,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,"p.7, p.80","p.7, p.80","p.82, p.132",NA,p.79,"p.84, p.132","NAp.80, p.132, p.142p.82, p.132",NA,p.132,NA,NA,NA,NA,根據環境部燃料季用量申報資料
冠軍,非金屬製品加工業,根據台灣證券交易上市公司 2023 年度第四季報,"p.59, p.60",NA,p.66,NA,"p.58, p.110",p.61,p.66p.66p.66,NA,p.61,p.66,NA,p.66,NA,根據環境部燃料季用量申報資料
燿華,電子業,根據台灣證券交易上市公司 2023 年度第四季報,"p.6, p.167",p.167,p.164,NA,"p.6, p.43",p.62,p.164p.164p.164,NA,p.62,NA,NA,NA,NA,根據環境部燃料季用量申報資料
唐榮公司,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,"p.79, p.153","p.79, p.153","p.9, p.94, p.151",p.94,p.94,p.92,"p.94p.94p.9, p.94, p.151",p.94,p.92,p.94,p.94,p.94,p.94,根據環境部燃料季用量申報資料
中碳,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.67,p.67,"p.5, p.69",NA,"p.62, p.86",p.69,"p.37, p.73p.37, p.73p.5, p.69",NA,p.69,NA,NA,NA,NA,根據環境部燃料季用量申報資料
金像電,電子業,根據台灣證券交易上市公司 2023 年度第四季報,p.49,"p.49, p.59",p.59,p.59,p.61,p.52,p.59p.59p.59,p.59,p.52,p.59,p.59,p.59,p.59,根據環境部燃料季用量申報資料
鋼聯,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.9, p.77","p.9, p.77",p.130,NA,NA,p.124,p.79p.79p.130,p.79,p.82,NA,p.79,NA,p.79,根據環境部燃料季用量申報資料
正新,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.73,p.73,p.74,NA,p.70,p.67,NAp.74p.74,NA,p.67,NA,NA,NA,NA,根據環境部燃料季用量申報資料
統一,食品業,根據台灣證券交易上市公司 2023 年度第四季報,"p.12, p.97, p.169","p.12, p.95, p.97",p.169,p.97,"p.99, p.108-109",p.151,p.97p.169p.169,p.97,p.151,p.97,p.97,p.97,p.97,根據環境部燃料季用量申報資料
統一實,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,p.119,p.119,p.118,NA,NA,p.62,p.118p.118p.118,NA,p.62,NA,NA,NA,NA,根據環境部燃料季用量申報資料
國巨*,電子業,根據台灣證券交易上市公司 2023 年度第四季報,p.72,NA,p.82,NA,NA,p.83,NAp.82p.82,p.83,p.83,p.83,p.83,p.83,p.83,根據環境部燃料季用量申報資料
盛餘,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,p.89,"p.47, p.89",p.92,p.92,p.90,p.97,p.92p.92p.92,p.92,"p.47, p.48",p.92,p.92,p.92,p.92,根據環境部燃料季用量申報資料
華泰,電子業,根據台灣證券交易上市公司 2023 年度第四季報,"p.14, p.62","p.60, p.62",p.64,NA,"p.17, p.60",p.65,p.64p.64p.64,p.64,p.65,NA,NA,NA,NA,根據環境部燃料季用量申報資料
和益,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.72,p.72,p.74,p.75,"p.72, p.35",p.78,p.75p.74p.74,p.75,p.78,p.75,p.75,p.75,p.75,根據環境部燃料季用量申報資料
合晶,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,p.53,p.3,p.104,NA,"p.63, p.64",p.56,NAp.104p.104,NA,p.56,NA,NA,NA,NA,根據環境部燃料季用量申報資料
得力,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,"p.31, p.94","p.31, p.94","p.56, p.93","p.85, p.93",NA,p.53,"p.85, p.93p.85, p.93p.56, p.93","p.85, p.93",p.53,"p.85, p.93","p.85, p.93","p.85, p.93","p.85, p.93",根據環境部燃料季用量申報資料
漢磊,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,p.61,p.61,p.78,NA,"p.38, p.39",p.79,NAp.162p.78,NA,p.79,NA,NA,NA,NA,根據環境部燃料季用量申報資料
台糖公司,食品業,根據台灣證券交易上市公司 2023 年度第四季報,"p.66, p.123",NA,"p.184, p.186, p.188",NA,NA,p.88,"NANAp.89, p.184",NA,p.88,NA,NA,NA,NA,根據環境部燃料季用量申報資料
勝一,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.20,p.20,p.49,NA,"p.39, p.49",NA,p.49p.49p.49,NA,p.47,NA,NA,NA,NA,根據環境部燃料季用量申報資料
榮科,銅製造業,根據台灣證券交易上市公司 2023 年度第四季報,"p.10, p.38, p.41","p.38, p.41","p.39, p.40",NA,"p.10, p.27, p.51",p.42,"NANAp.39, p.40",NA,p.42,NA,NA,NA,NA,根據環境部燃料季用量申報資料
敬鵬,電子業,根據台灣證券交易上市公司 2023 年度第四季報,"p.42, p.57","p.42, p.57",p.55,NA,"p.57, p.152",p.133,NAp.55p.55,p.54,p.133,NA,NA,NA,NA,根據環境部燃料季用量申報資料
華東,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,p.55,p.55,"p.56, p.111",NA,"p.55, p.110",p.59,"p.56p.56, p.111p.56, p.111",p.56,p.59,NA,NA,p.56,NA,根據環境部燃料季用量申報資料
華新科,電子業,根據台灣證券交易上市公司 2023 年度第四季報,p.52,p.66,p.66,p.66,p.66,"p.67, p.68",p.66p.66p.66,p.66,"p.67, p.68",p.66,p.66,p.66,p.66,根據環境部燃料季用量申報資料
東盟開發,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
中環,電子業,根據台灣證券交易上市公司 2023 年度第四季報,"p.72, p.134",NA,"p.78, p.132",NA,"p.76, p.66, p.83",p.82,"p.78p.78, p.132p.78, p.132",NA,"p.82, p.130",NA,NA,NA,NA,根據環境部燃料季用量申報資料
東鹼,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.40,"p.40, p.41","p.4, p.80",NA,NA,p.42,"NAp.70p.4, p.80",NA,p.42,NA,NA,NA,NA,根據環境部燃料季用量申報資料
新唐,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,"p.94, p.187",p.187,"p.93, p.155",p.96,"p.90, p.94, p.187",p.98,"p.96, p.156p.156p.93, p.156",p.96,p.98,p.96,p.96,p.96,p.96,根據環境部燃料季用量申報資料
聯成,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.17, p.91",NA,p.78,NA,p.78,p.69,p.78p.78p.78,p.78,p.69,p.78,p.78,p.78,p.78,根據環境部燃料季用量申報資料
誠美材,光電業,根據台灣證券交易上市公司 2023 年度第四季報,"p.47, p.52","p.47, p.52",p.57,p.58,"p.45, p.50",p.56,p.58p.58p.57,p.58,p.56,p.58,p.58,p.58,p.58,根據環境部燃料季用量申報資料
宏捷科,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,"p.7, p.78","p.7, p.78",p.156,p.92,p.96,p.100,"p.92p.91, p.92p.156",p.92,p.100,p.92,p.92,p.92,p.92,根據環境部燃料季用量申報資料
精金,光電業,根據台灣證券交易上市公司 2023 年度第四季報,p.90,p.90,p.93,NA,"p.85, p.90",p.91,p.93p.93p.93,NA,p.91,NA,NA,NA,NA,根據環境部燃料季用量申報資料
