公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030 年減量目標設定,SBTi 承諾,有具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,再生能源設置容量,是否完成用電大戶再生能源設置義務,中期再生能源目標設定,RE100 承諾,燃煤使用量（公噸）
台塑化,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.48,p.48,p.111,p.54,p.50,p.56,"p.54p.54, p.111p.111",p.54,p.56,p.54,p.54,p.54,p.54,根據環境部燃料季用量申報資料
中鋼,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,"p.14, p.22",p.14,p.25,NA,"p.25, p.136, p.34",p.30,"p.25, p.149p.25p.25",NA,p.30,NA,NA,NA,NA,根據環境部燃料季用量申報資料
台積電,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,p.108,p.108,p.260,NA,"p.103, p.114",p.267,NAp.266p.260,p.115,"p.119, p.267",p.115,p.115,p.115,p.115,根據環境部燃料季用量申報資料
台塑,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.70,p.70,"p.79, p.169",p.79,"p.75, p.81, p.144",p.83,"NAp.79p.79, p.169",p.79,p.83,p.79,p.79,p.79,p.79,根據環境部燃料季用量申報資料
台化,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.55,p.55,p.75,p.75,"p.51, p.155",p.150,p.75p.75p.75,p.75,p.76,p.75,p.75,p.75,p.75,根據環境部燃料季用量申報資料
中油,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.66, p.79","p.66, p.80",p.158,p.80,"p.79, p.87, p.88",p.91,"p.80p.80, p.154p.158",p.80,p.91,p.80,p.80,p.80,p.80,根據環境部燃料季用量申報資料
南亞,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.67, p.74",p.74,"p.75, p.137",p.76,"p.63, p.72",p.131,"p.76p.76p.75, p.137",p.76,p.77,p.76,p.76,p.76,p.76,根據環境部燃料季用量申報資料
台泥,水泥業,根據台灣證券交易上市公司 2023 年度第四季報,p.13,p.13,p.208,NA,"p.12, p.72","p.211, p.212",NAp.208p.208,p.12,p.210,NA,p.12,NA,p.12,根據環境部燃料季用量申報資料
亞泥,水泥業,根據台灣證券交易上市公司 2023 年度第四季報,"p.7, p.20",p.20,p.137,p.23,p.23,p.142,p.23p.23p.137,p.23,p.26,p.23,p.23,p.23,p.23,根據環境部燃料季用量申報資料
群創,光電業,根據台灣證券交易上市公司 2023 年度第四季報,p.152,p.152,p.150,NA,"p.152, p.153",p.154,p.150p.150p.150,p.150,p.154,p.150,p.150,p.150,p.150,根據環境部燃料季用量申報資料
友達,光電業,根據台灣證券交易上市公司 2023 年度第四季報,"p.6, p.80",p.80,p.263,p.89,p.85,p.231,p.89p.263p.263,p.88,p.231,p.88,p.89,p.89,p.89,根據環境部燃料季用量申報資料
聯電,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,"p.96, p.98","p.96, p.98","p.99, p.209",p.100,p.98,p.105,"p.100p.100p.99, p.209",p.100,p.105,p.100,p.100,p.100,p.100,根據環境部燃料季用量申報資料
正隆,,根據台灣證券交易上市公司 2023 年度第四季報,"p.5, p.74","p.5, p.74",p.82,NA,"p.60, p.63",p.87,NAp.82p.82,NA,p.87,NA,NA,NA,NA,根據環境部燃料季用量申報資料
中石化,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.6,"p.6, p.165","p.164, p.165",NA,NA,p.96,"p.88p.88p.164, p.165",p.88,p.95,NA,NA,NA,NA,根據環境部燃料季用量申報資料
東和鋼鐵,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,"p.5, p.68",p.68,"p.83, p.140",NA,p.80,p.82,"p.84p.83p.83, p.140",NA,p.82,NA,NA,NA,NA,根據環境部燃料季用量申報資料
榮成,造紙業,根據台灣證券交易上市公司 2023 年度第四季報,p.44,p.12,p.103,NA,"p.95, p.96",p.110,p.103p.103p.103,NA,"p.110, p.112, p.113",NA,NA,NA,NA,根據環境部燃料季用量申報資料
華紙,造紙業,根據台灣證券交易上市公司 2023 年度第四季報,p.81,p.81,p.83,NA,NA,NA,p.83p.83p.83,NA,p.79,NA,p.83,NA,p.83,根據環境部燃料季用量申報資料
豐興,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,"p.7, p.55","p.53, p.55","p.63, p.106",NA,p.63,p.60,"NAp.63p.63, p.106",NA,p.60,p.63,NA,NA,NA,根據環境部燃料季用量申報資料
潤泰材,水泥業,根據台灣證券交易上市公司 2023 年度第四季報,p.64,p.64,p.64,NA,NA,p.42,NAp.63p.64,NA,p.42,NA,NA,NA,NA,根據環境部燃料季用量申報資料
世界,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,"p.34, p.251",p.251,p.250,p.122,p.123,"p.120, p.242","p.250p.122, p.250p.250",p.122,p.120,p.122,p.122,p.122,p.122,根據環境部燃料季用量申報資料
幸福,水泥業,根據台灣證券交易上市公司 2023 年度第四季報,"p.40, p.90","p.40, p.90","p.42, p.43, p.94",NA,NA,p.35,"p.43p.42, p.43p.42, p.43, p.94",NA,"p.35, p.36",NA,NA,NA,NA,根據環境部燃料季用量申報資料
台玻,非金屬製品加工業,根據台灣證券交易上市公司 2023 年度第四季報,p.125,NA,p.126,p.127,p.127,p.124,p.127p.127p.126,p.127,p.124,p.127,p.127,p.127,p.127,根據環境部燃料季用量申報資料
信大,水泥業,根據台灣證券交易上市公司 2023 年度第四季報,p.66,p.66,p.101,NA,"p.53, p.69",p.56,NAp.101p.101,NA,p.56,NA,NA,NA,NA,根據環境部燃料季用量申報資料
力積電,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,p.18,p.18,"p.63, p.151",p.64,"p.45, p.64",p.67,"p.64p.64, p.151p.63, p.151",p.64,p.67,p.64,p.64,p.64,p.64,根據環境部燃料季用量申報資料
遠東新,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.26, p.69, p.73","p.26, p.69",p.157,p.158,p.77,"p.82, p.159",p.158p.158p.157,p.158,p.159,p.158,p.158,p.158,p.158,根據環境部燃料季用量申報資料
奇美實業,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.82,p.82,"p.83, p.165",p.156,"p.16, p.82",p.87,"p.156p.83, p.165p.83, p.165",p.156,p.87,p.156,p.156,p.156,p.156,根據環境部燃料季用量申報資料
欣興,電子業,根據台灣證券交易上市公司 2023 年度第四季報,p.84,p.87,p.142,NA,"p.75, p.87",NA,p.87p.142p.142,NA,p.88,NA,NA,NA,NA,根據環境部燃料季用量申報資料
南電,電子業,根據台灣證券交易上市公司 2023 年度第四季報,"p.57, p.65","p.57, p.68",p.68,NA,p.67,p.69,p.68p.68p.68,NA,"p.58, p.69",NA,NA,NA,NA,根據環境部燃料季用量申報資料
國喬,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.74,p.74,p.76,NA,"p.72, p.131",p.73,NAp.76p.76,NA,p.73,NA,NA,NA,NA,根據環境部燃料季用量申報資料
南亞科,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,"p.96, p.99",p.96,"p.101, p.197, p.221",NA,"p.99, p.138",p.103,"NAp.101, p.197p.101, p.197, p.221",p.101,"p.103, p.199",p.101,p.101,p.101,p.101,根據環境部燃料季用量申報資料
台肥,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.33,p.33,p.33,p.33,NA,p.31,p.33p.33p.33,p.33,p.31,p.33,p.33,p.33,p.33,根據環境部燃料季用量申報資料
中纖,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.98,p.98,"p.58, p.99",NA,NA,p.52,"NAp.58, p.97p.58, p.99",NA,p.52,NA,NA,NA,NA,根據環境部燃料季用量申報資料
